,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0033744010951403,0.0595482546201231,0.05,-0.0533333333333332,0.7933333333333333,0.9433333333333334,0.0,0.0,0.0277777777777777,0.0,0.0416666666666666,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0060975609756097,0.0,-0.1363636363636363,0.0,0.2564943863724347,0.0,0.0,0.0095238095238095,0.0,0.0172413793103448,0.0,0.0,0.0101010101010101,0.0083333333333333,0.0,-0.063063063063063,0.0,0.1082625953315607,0.0,0.0
Atheist,0.0032779097387173,0.0546318289786222,0.0566666666666666,-0.1366666666666666,0.685,0.94,-9.649135642300025e-05,-0.004916425641500903,0.0277777777777777,0.0,0.0555555555555555,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0,-0.1439393939393939,0.0,0.2764808362369334,0.03513796501601389,0.019986449864498712,0.0133333333333333,0.0,0.02,0.0,0.0,0.0142857142857142,0.0099009900990099,0.0,-0.0566037735849056,0.0,0.11412381130296301,0.0187797949277171,0.005861215971402309
Christian,0.005037037037037,0.0755555555555556,0.0533333333333333,-0.1433333333333333,0.7316666666666667,0.9333333333333332,0.0016626359418966995,0.016007300935432497,0.0277777777777777,0.0128205128205128,0.0555555555555555,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0,-0.1515151515151515,0.0,0.3044528642089614,0.04795847783652669,0.04795847783652668,0.0106382978723404,0.0,0.0192307692307692,0.0083333333333333,0.0,0.0125,0.0095238095238095,0.0,-0.0566037735849056,0.0,0.116829983545158,0.021485967169912103,0.008567388213597302
Protestant,0.0050150489089541,0.0699774266365689,0.065,-0.14,0.72,0.9283333333333332,0.0016406478138137996,0.010429172016445803,0.0277777777777777,0.0128205128205128,0.0555555555555555,0.0227272727272727,0.0151515151515151,0.0142857142857142,0.0121951219512195,0.0,-0.1363636363636363,0.0,0.29687710663320377,0.0403827202607691,0.040382720260769056,0.0109890109890109,0.0,0.0196078431372549,0.017391304347826,0.0,0.0126582278481012,0.0093457943925233,0.0,-0.0467289719626168,0.0,0.1167211526773331,0.0411267395466648,0.008458557345772402
Catholic,0.0043209876543209,0.0648148148148148,0.0566666666666666,-0.1833333333333333,0.7016666666666667,0.9333333333333332,0.0009465865591805995,0.005266560194691697,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0303030303030303,0.0151515151515151,0.0142857142857142,0.0060975609756097,0.0,-0.1212121212121212,0.0,0.2767935316715801,0.05060217560217559,0.020299145299145394,0.0117647058823529,0.0,0.0196078431372549,0.0088495575221238,0.0,0.0136986301369863,0.0097087378640776,0.0,-0.0555555555555555,0.0,0.11918503009835099,0.025937449781805306,0.010922434766790293
Mormon,0.0019905213270142,0.028436018957346,0.0433333333333333,-0.18,0.69,0.93,-0.0013838797681261002,-0.0311122356627771,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0151515151515151,0.053030303030303,0.0142857142857142,0.0060975609756097,0.0,-0.1439393939393939,0.0,0.32224807712612547,0.08090520590520599,0.06575369075369075,0.0119047619047619,0.0,0.0196078431372549,0.0,0.0,0.0131578947368421,0.0103092783505154,0.0,-0.0380952380952381,0.0,0.0930750162246124,0.0347480708287015,-0.015187579106948304
Jewish,0.003301737756714,0.0521327014218009,0.0566666666666666,-0.1566666666666666,0.685,0.9366666666666666,-7.266333842630016e-05,-0.007415553198322197,0.0277777777777777,0.0,0.0416666666666666,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0060975609756097,0.0,-0.1363636363636363,0.0,0.2564943863724347,0.0,0.0,0.0123456790123456,0.0,0.0208333333333333,0.0,0.0,0.028169014084507,0.0103092783505154,0.0,-0.0388349514563106,0.0,0.1104922562370119,0.050685884118956,0.0022296609054511946
Muslim,0.0032081377151799,0.0469483568075117,0.055,-0.14,0.6866666666666666,0.9316666666666666,-0.0001662633799604002,-0.0125998978126114,0.0277777777777777,0.0064102564102564,0.0416666666666666,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0060975609756097,0.0,-0.1439393939393939,0.0,0.2629046427826911,0.021561771561771595,0.0064102564102563875,0.0120481927710843,0.0,0.0192307692307692,0.0087719298245614,0.0,0.0140845070422535,0.0105263157894736,0.0,-0.0648148148148148,0.0,0.1294765294729568,0.0212139341413961,0.021213934141396093
Sikh,0.0055582137161084,0.0813397129186603,0.065,-0.1733333333333333,0.6733333333333333,0.9316666666666666,0.0021838126209681,0.021791458298537195,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0303030303030303,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0138888888888888,-0.1363636363636363,0.0,0.3043557391118362,0.047861352739401494,0.04786135273940151,0.0131578947368421,0.0,0.0204081632653061,0.0,0.0,0.0136986301369863,0.0105263157894736,0.0204081632653061,-0.0679611650485436,0.0,0.1461603322424578,0.0378977369108971,0.03789773691089711
Hindu,0.0037320574162679,0.0574162679425838,0.0583333333333333,-0.1766666666666667,0.6783333333333333,0.935,0.0003576563211275998,-0.002131986677539298,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0227272727272727,0.0,0.0142857142857142,0.0,0.0,-0.1287878787878787,0.0,0.2555444555444552,0.04154822142627009,-0.000949930827979506,0.0123456790123456,0.0,0.02,0.0,0.0,0.0147058823529411,0.0101010101010101,0.0,-0.0686274509803921,0.0,0.1257800224466889,0.017517427115128194,0.0175174271151282
Buddhist,0.0035714285714285,0.0649350649350648,0.055,-0.1666666666666666,0.6233333333333333,0.945,0.00019702747628820008,0.0053868103149417035,0.0277777777777777,0.0,0.0555555555555555,0.0151515151515151,0.0,0.0142857142857142,0.0121951219512195,0.0,-0.1136363636363636,0.0,0.23860204835814558,0.05786523774328649,-0.017892338014289133,0.0144927536231884,0.0,0.0222222222222222,0.0,0.0,0.0166666666666666,0.0116279069767441,0.0,-0.0693069306930693,0.0,0.1343164801818906,0.026053884850329896,0.026053884850329903
