,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,diff_TB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0085765405058523,0.0125974805038993,0.0066860465116279,0.0401162790697674,0.751453488372093,0.3191860465116279,0.0,0.0,0.01,-0.0038461538461538,0.0248842592592592,0.0,0.0492021276595744,-0.0108695652173913,-0.0238095238095238,0.05,0.0441176470588235,-0.0121951219512195,0.032312925170068,0.0476190476190476,0.0325670498084291,0.0089285714285714,0.0368217054263565,0.3871736982544181,0.0,0.0,0.0,-0.004,0.0041617122473246,-0.0172413793103448,0.0232240437158469,0.0111111111111111,0.0597014925373134,0.0086206896551724,-0.0476190476190476,0.0256410256410256,0.0277777777777777,0.0140845070422535,0.019588638589618,0.037037037037037,0.018830525272547,0.3186389875564196,0.0,0.0
African,-0.0060625853858087,-0.0102887487553933,0.0,0.0005813953488371,0.6380813953488372,0.4107558139534883,-0.014639125891661,-0.022886229259292602,0.1,0.0961538461538461,0.0763888888888889,0.046875,0.0465425531914893,0.0108695652173913,0.0595238095238095,0.05,0.0147058823529411,-0.0060975609756097,0.0331632653061224,0.0476190476190476,0.0526819923371647,0.0267857142857142,0.0251937984496124,0.6926009243016371,0.4820713260459997,0.305427226047219,-0.0129870129870129,0.0235849056603773,0.0196326789107029,0.0384615384615384,0.0121028744326777,-0.0533333333333333,0.0634920634920634,-0.02,0.0175438596491228,-0.008,0.0306807286673058,0.0175438596491228,0.0341786108048511,0.03125,0.0216919739696312,0.4044834400177396,0.3481273717751354,0.08584445246132
African American,0.0062086622573074,0.0104849279161205,-0.0017441860465116,-0.0063953488372092,0.6712209302325581,0.4078488372093023,-0.0023678782485448994,-0.0021125525877787998,0.14,0.073076923076923,0.0515046296296296,0.03125,0.0465425531914893,-0.0326086956521739,0.0595238095238095,0.0583333333333333,0.0294117647058823,0.0121951219512195,0.042517006802721,0.0476190476190476,0.0613026819923371,0.0178571428571428,0.0465116279069767,0.7502543382426855,0.47751315284411433,0.3630806399882674,0.0,0.0,0.0182849936948297,0.0,0.0224215246636771,0.081081081081081,0.0317460317460317,0.0095238095238095,-0.0350877192982456,0.0615384615384615,0.0235183443085606,0.0491803278688524,0.0185589519650655,0.0412371134020618,0.0117395944503735,0.4039179535410499,0.23510044276571312,0.0852789659846303
Black,0.0005711574354815,0.0010159160176093,-0.0122093023255814,0.0267441860465116,0.6360465116279069,0.4377906976744186,-0.008005383070370799,-0.01158156448629,0.04,0.0653846153846153,0.0561342592592592,0.0625,0.0452127659574468,-0.0108695652173913,0.0595238095238095,0.0416666666666666,0.0588235294117647,-0.0182926829268292,0.0518707482993197,0.0119047619047619,0.0354406130268199,0.0446428571428571,0.0348837209302325,0.6371505956517736,0.4052381832004522,0.24997689739735546,-0.0129870129870129,0.0184331797235023,0.0103092783505154,0.0408163265306122,0.0327380952380952,0.015625,0.0,0.043010752688172,-0.0188679245283018,0.0598290598290598,0.0325123152709359,0.0178571428571428,0.0377777777777777,0.0444444444444444,0.0212527964205816,0.406461106646154,0.30721010896654244,0.08782211908973436
Caucasian,0.0025213141097174,0.0049904030710172,0.0174418604651162,-0.0145348837209302,0.5427325581395349,0.4947674418604651,-0.0060552263961348995,-0.0076070774328821,-0.01,-0.0076923076923076,0.0086805555555555,0.09375,0.0611702127659574,-0.0217391304347826,0.0238095238095238,0.0083333333333333,-0.0147058823529411,0.024390243902439,0.0246598639455782,0.0238095238095238,0.0296934865900383,0.0178571428571428,0.0251937984496124,0.3954850054987357,0.3962247440824891,0.008311307244317612,0.0,0.0123456790123456,0.0267921795800144,0.1,0.0197693574958813,0.0727272727272727,0.0952380952380952,0.0133333333333333,-0.0465116279069767,0.0210526315789473,0.0197368421052631,0.0952380952380952,0.0,0.0483870967741935,0.0205314009661835,0.5916636119566019,0.3890675315333667,0.27302462440018227
White,-0.0096193684362221,-0.0185902401239349,0.0055232558139534,-0.0470930232558139,0.5270348837209302,0.4825581395348837,-0.0181959089420744,-0.031187720627834203,0.03,-0.0076923076923076,0.0231481481481481,0.015625,0.0345744680851063,0.0108695652173913,-0.0119047619047619,0.0166666666666666,0.0147058823529411,0.0,0.0127551020408163,-0.0119047619047619,0.0402298850574712,-0.0089285714285714,0.0436046511627907,0.2826097716617344,0.2758035933573931,-0.10456392659268371,0.0535714285714285,-0.0193548387096774,0.0115440115440115,0.0263157894736842,0.0067226890756302,0.0,0.1578947368421052,-0.0136986301369863,0.0,0.06,0.0396912899669239,0.0434782608695652,0.0112781954887218,0.0307692307692307,0.0073349633251833,0.48165406477314815,0.41734986452064615,0.16301507721672853
European,0.0126456771501685,0.0209745079057761,0.0090116279069767,0.0290697674418605,0.6755813953488372,0.3970930232558139,0.0040691366443162,0.0083770274018768,0.02,-0.0115384615384615,0.0381944444444444,0.046875,0.0545212765957446,0.1195652173913043,0.0119047619047619,-0.0166666666666666,0.0735294117647058,0.0121951219512195,0.0544217687074829,0.0,0.0526819923371647,0.0089285714285714,0.0436046511627907,0.5646273458933183,0.4664401648332645,0.1774536476389002,0.0,0.0149253731343283,0.001863354037267,0.0416666666666666,0.0301724137931034,0.0129870129870129,0.0172413793103448,0.0520833333333333,-0.0714285714285714,0.03125,0.0294388224471021,0.0408163265306122,0.022703818369453,0.053763440860215,0.0230849947534102,0.4434255076514202,0.25678622158974257,0.12478652009500057
Roma,0.014336447306494,0.0240925152585929,0.0122093023255813,0.0267441860465116,0.688953488372093,0.4049418604651162,0.005759906800641701,0.011495034754693599,0.05,-0.0115384615384615,0.0347222222222222,0.078125,0.0398936170212766,0.0217391304347826,0.119047619047619,0.0416666666666666,-0.0147058823529411,0.0060975609756097,0.0493197278911564,0.0833333333333333,0.0488505747126436,0.0446428571428571,0.0436046511627907,0.6872873045023604,0.517381010265121,0.3001136062479423,0.0123456790123456,0.0045454545454545,0.0154702970297029,0.0980392156862745,0.0391304347826087,0.0909090909090909,0.0588235294117647,0.0,-0.0327868852459016,0.0592592592592592,0.0193370165745856,0.064516129032258,0.0209205020920502,0.0638297872340425,0.0138445154419595,0.5937577962572984,0.3931167396968618,0.2751188087008788
Native American,0.0136588849707628,0.0217530390275111,0.0061046511627906,0.0290697674418605,0.7034883720930233,0.3720930232558139,0.0050823444649105,0.0091555585236118,0.07,0.0346153846153846,0.0607638888888888,-0.03125,0.0611702127659574,0.0434782608695652,0.0238095238095238,0.125,0.0,-0.0121951219512195,0.0552721088435374,0.0357142857142857,0.0325670498084291,0.0625,0.0290697674418604,0.6774056047086519,0.4948310860965346,0.29023190645423375,0.0,0.0044052863436123,0.0149160969546302,0.0384615384615384,0.0262390670553935,0.0389610389610389,0.0923076923076923,0.0194174757281553,-0.0153846153846153,-0.0218978102189781,0.0341959334565619,0.044776119402985,0.0235294117647058,0.029126213592233,0.0177824267782426,0.42140072641038256,0.2789132571037851,0.10276173885396295
South American,0.000609120056218,0.0009442870632672,-0.0162790697674418,0.0459302325581395,0.7061046511627908,0.3549418604651163,-0.0079674204496343,-0.0116531934406321,0.06,0.0076923076923076,0.068287037037037,0.015625,0.0345744680851063,-0.0652173913043478,0.0238095238095238,0.0,0.1176470588235294,0.0365853658536585,0.0688775510204081,0.0,0.0344827586206896,0.0357142857142857,0.0329457364341085,0.6014584843950023,0.5262317377259057,0.21428478614058416,0.0352941176470588,0.0182648401826484,0.0183150183150183,0.0555555555555555,0.0100143061516452,0.073170731707317,0.0909090909090909,0.0093457943925233,-0.0151515151515151,0.0148148148148148,0.0361663652802893,0.03125,0.0206825232678386,0.07,0.0144927536231884,0.5134274269985035,0.35895370307738084,0.1947884394420839
Hispanic,0.0030651795601961,0.0048590864917394,-0.0052325581395348,0.0151162790697674,0.6651162790697674,0.3691860465116279,-0.0055113609456562,-0.0077383940121599,0.06,0.0192307692307692,0.0532407407407407,0.078125,0.0412234042553191,0.0,0.0833333333333333,0.0333333333333333,0.0147058823529411,0.0914634146341463,0.096938775510204,0.0714285714285714,0.0565134099616858,-0.0089285714285714,0.0251937984496124,0.7336590046592282,0.5971533024176265,0.34648530640481007,-0.0253164556962025,-0.0186046511627906,0.0187032418952618,0.0,0.0406386066763425,0.0405405405405405,0.1290322580645161,0.0196078431372549,0.0163934426229508,0.0769230769230769,0.0288909599254426,0.0793650793650793,0.0150862068965517,0.0729166666666666,0.0147679324894514,0.5967869620621281,0.42499887731681724,0.2781479745057085
Latino,0.0019382970742685,0.0032258064516128,-0.0229651162790697,0.0081395348837209,0.6604651162790698,0.3991279069767441,-0.0066382434315838,-0.0093716740522865,0.0,0.0307692307692307,0.0572916666666666,0.046875,0.0452127659574468,-0.0108695652173913,0.0714285714285714,0.0666666666666666,0.1176470588235294,0.0426829268292682,0.1045918367346938,0.0357142857142857,0.0450191570881226,0.0267857142857142,0.0242248062015503,0.7257792523831376,0.49528919900590507,0.33860555412871945,-0.0116279069767441,-0.0133928571428571,0.0118453865336658,0.0754716981132075,0.017391304347826,0.0131578947368421,0.0923076923076923,0.0101010101010101,-0.1034482758620689,0.0526315789473684,0.0381750465549348,0.0666666666666666,0.0138888888888888,0.0202020202020202,0.0127253446447507,0.5530335720265436,0.3378227161539398,0.23439458447012396
Jewish,-0.0062995582991857,-0.0114416475972539,0.001453488372093,0.0215116279069766,0.665406976744186,0.4494186046511628,-0.014876098805037999,-0.0240391281011532,0.04,0.0346153846153846,0.0289351851851851,0.03125,0.0518617021276595,0.0217391304347826,0.0476190476190476,-0.025,0.0441176470588235,0.0426829268292682,0.0399659863945578,0.1547619047619047,0.0584291187739463,0.0178571428571428,0.0358527131782945,0.6746878898359973,0.49089290572627986,0.28751419158157915,0.024390243902439,-0.0263157894736842,0.0234325522482583,0.0,0.0192023633677991,0.0142857142857142,0.0483870967741935,-0.0196078431372549,0.0,0.0158730158730158,0.0443396226415094,0.0769230769230769,0.0388349514563106,0.02,0.0236305048335123,0.39522277491676827,0.30782826636190713,0.07658378736034865
