,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0869183829138062,0.1212814645308923,0.0016666666666666,0.0099999999999999,0.405,0.2833333333333333,0.0,0.0,0.0555555555555555,0.0,-0.0416666666666666,0.0681818181818181,-0.0454545454545454,0.0428571428571428,0.0121951219512195,0.0694444444444444,0.0151515151515151,0.0,0.3505068102629074,0.0,0.0,0.036697247706422,-0.0078125,0.0535714285714285,0.0096153846153846,0.0404040404040404,0.0549450549450549,-0.0319148936170212,0.0816326530612244,0.0285714285714285,0.0512820512820512,0.39644668277405576,0.0,0.0
Atheist,0.0127884615384614,0.0192307692307691,-0.02,-0.0433333333333333,0.3883333333333333,0.335,-0.0741299213753448,-0.1020506953001232,0.0833333333333333,-0.0576923076923076,0.0138888888888888,0.0075757575757575,0.0,-0.05,0.0426829268292682,0.0416666666666666,0.0681818181818181,-0.0892857142857142,0.45430741345375436,0.5405249899152333,0.10380060319084694,0.0260869565217391,0.055045871559633,-0.0377358490566037,-0.0217391304347826,0.0319148936170212,-0.0104166666666666,0.0202020202020202,0.06,0.0714285714285714,0.025,0.3595699594870378,0.41287008484071586,-0.036876723287017965
Christian,0.0341407407407408,0.0488888888888889,0.0216666666666666,-0.0566666666666667,0.4383333333333333,0.3016666666666667,-0.0527776421730654,-0.0723925756420034,-0.0069444444444444,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0071428571428571,0.0426829268292682,0.0694444444444444,-0.0151515151515151,0.0535714285714285,0.36160428325062427,0.39818261007285355,0.01109747298771685,-0.037037037037037,0.0,0.0,0.0206185567010309,-0.0098039215686274,0.0,-0.009090909090909,0.0172413793103448,-0.031578947368421,-0.0208333333333333,0.1462040844097034,0.4707554211504823,-0.25024259836435236
Protestant,-0.0260393873085339,-0.037199124726477,0.0433333333333333,-0.0433333333333333,0.4516666666666666,0.3,-0.1129577702223401,-0.1584805892573693,-0.0138888888888888,0.0256410256410256,0.1388888888888889,0.053030303030303,0.0227272727272727,0.0071428571428571,0.0060975609756097,0.0416666666666666,-0.0075757575757575,0.0357142857142857,0.35237350725155564,0.4870055418835902,0.0018666969886482199,-0.0080645161290322,0.0075187969924812,-0.0338983050847457,0.0285714285714285,0.0101010101010101,0.0208333333333333,-0.0462962962962962,-0.0204081632653061,0.0198019801980198,0.0,0.19549382997165307,0.4074073090161708,-0.2009528528024027
Catholic,0.0215935672514619,0.0307017543859648,-0.025,-0.1099999999999999,0.435,0.2966666666666667,-0.0653248156623443,-0.0905797101449275,-0.0138888888888888,0.0192307692307692,0.0277777777777777,0.1818181818181818,0.0075757575757575,-0.0071428571428571,0.0304878048780487,0.0,-0.0227272727272727,0.0,0.31064931003955354,0.5004022400363858,-0.03985750022335388,0.0260869565217391,-0.0150375939849624,-0.0363636363636363,-0.0103092783505154,0.0,-0.0588235294117647,-0.009009009009009,-0.0188679245283018,-0.05,0.0,0.2244979281699287,0.5351276798824882,-0.17194875460412706
Mormon,0.0306567957479119,0.0432801822323463,0.0033333333333333,-0.0666666666666667,0.3933333333333333,0.2916666666666667,-0.0562615871658943,-0.078001282298546,-0.0208333333333333,-0.0192307692307692,-0.0138888888888888,0.0454545454545454,0.0,-0.0071428571428571,0.0365853658536585,-0.0138888888888888,-0.0227272727272727,0.0357142857142857,0.21546620723449952,0.42289590490809953,-0.1350406030284079,0.0377358490566037,0.008130081300813,-0.0677966101694915,0.03125,-0.029126213592233,-0.0396039603960396,0.02803738317757,-0.0408163265306122,-0.0103092783505154,0.1081081081081081,0.4009138106819865,0.6021711262483266,0.004467127907930746
Jewish,0.03125,0.0441176470588235,0.0066666666666666,-0.0333333333333333,0.36,0.2916666666666667,-0.0556683829138062,-0.0771638174720688,0.0347222222222222,-0.0448717948717948,-0.0277777777777777,0.0227272727272727,0.0303030303030303,-0.0142857142857142,0.0182926829268292,-0.0555555555555555,0.0151515151515151,0.0,0.2636875658217117,0.3890465564246047,-0.08681924444119571,-0.0104166666666666,0.0446428571428571,0.0408163265306122,0.0,-0.0319148936170212,0.0,0.0416666666666666,-0.0377358490566037,-0.0470588235294117,-0.024390243902439,0.2786423271122781,0.5934563568251094,-0.11780435566177766
Muslim,0.026863711001642,0.0394088669950738,0.0116666666666666,0.0166666666666666,0.3616666666666667,0.3183333333333333,-0.060054671912164195,-0.08187259753581849,0.0138888888888888,0.0,-0.0277777777777777,0.0075757575757575,0.0151515151515151,0.0285714285714285,0.024390243902439,0.0555555555555555,-0.0151515151515151,0.0357142857142857,0.2237769682891629,0.28315471791081526,-0.1267298419737445,-0.032258064516129,0.0476190476190476,0.0425531914893617,0.0375,0.0,-0.03125,0.02803738317757,-0.0425531914893617,0.0412371134020618,0.0952380952380952,0.398246086931627,0.5306486577892306,0.0017994041575712383
Sikh,0.0247094801223241,0.036697247706422,0.0166666666666666,-0.1,0.3933333333333333,0.3266666666666666,-0.0622089027914821,-0.08458421682447029,-0.0208333333333333,-0.0641025641025641,0.0138888888888888,0.0151515151515151,-0.0075757575757575,0.0071428571428571,0.0060975609756097,0.0694444444444444,0.0303030303030303,-0.0357142857142857,0.27025423763228595,0.3796337470117956,-0.08025257263062147,0.0,0.017094017094017,0.0,-0.0795454545454545,-0.02,-0.0416666666666666,-0.043859649122807,0.0576923076923076,-0.0396039603960396,0.0232558139534883,0.32271786947078057,0.49343852171920216,-0.07372881330327519
Hindu,0.0063862928348908,0.0093457943925232,0.035,-0.0666666666666667,0.41,0.3166666666666666,-0.0805320900789154,-0.1119356701383691,-0.0208333333333333,0.0128205128205128,0.0694444444444444,0.0454545454545454,0.0,0.0214285714285714,0.0,0.0416666666666666,0.0227272727272727,0.0,0.23437534687534664,0.3374795597356571,-0.11613146338756078,-0.0198019801980198,-0.0363636363636363,0.0,-0.0520833333333333,0.010204081632653,-0.03125,0.0267857142857142,-0.0416666666666666,-0.0288461538461538,0.0714285714285714,0.3184301377547484,0.5762795546993956,-0.07801654501930738
Buddhist,0.0897826086956521,0.1350114416475971,0.03,-0.0833333333333333,0.4283333333333333,0.335,0.0028642257818459055,0.013729977116704803,-0.0069444444444444,-0.032051282051282,0.0555555555555555,0.0757575757575757,-0.053030303030303,-0.0071428571428571,-0.0121951219512195,0.0694444444444444,0.0378787878787878,0.1428571428571428,0.4928575151136122,0.4468996789118736,0.14235070485070478,0.0956521739130434,-0.0084745762711864,0.0625,0.0109890109890109,-0.0194174757281553,-0.0421052631578947,-0.0186915887850467,0.0204081632653061,-0.0285714285714285,0.0465116279069767,0.3533213085880487,0.3631521096609752,-0.04312537418600704
