,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0149761129959149,0.0178217821782178,0.0294289044289044,-0.0233100233100232,0.5303030303030303,0.1596736596736596,0.0,0.0,0.0402097902097902,0.0107808857808857,0.0509906759906759,0.0,0.0,0.0042904290429042,0.0016501650165016,0.0059405940594058,0.0,0.0
chemical engineer,0.0600537711614251,0.0684505289359054,0.1043123543123543,0.0058275058275059,0.6130536130536131,0.1226689976689976,0.0450776581655102,0.05062874675768761,0.0713869463869463,-0.0329254079254079,0.1043123543123542,0.0748834498834497,0.05332167832167829,0.0276913503422526,-0.0003111387678904,0.028002489110143,0.025362225083740402,0.0220618950507372
chemist,0.061452898662201,0.0703959773727216,0.1162587412587412,0.0104895104895104,0.5961538461538461,0.127039627039627,0.0464767856662861,0.052574195194503806,0.0777972027972028,-0.0384615384615384,0.1162587412587412,0.08682983682983669,0.06526806526806529,0.0223130106851037,-0.0040854808296668,0.0263984915147705,0.0237582274883679,0.0204578974553647
dentist,0.0449773927163279,0.0519563822963438,0.0952797202797203,-0.0262237762237762,0.5935314685314685,0.1343240093240093,0.030001279720413,0.034134600118125996,0.0684731934731934,-0.0268065268065268,0.0952797202797202,0.0658508158508157,0.0442890442890443,0.0195638229634381,0.0006414368184733,0.0202052597819114,0.0162821221185622,0.0142646657225056
judge,0.0417203608247423,0.0496134020618557,0.0708041958041957,-0.0034965034965034,0.5833333333333334,0.1590909090909091,0.0267442478288274,0.031791619883637906,0.0594405594405594,-0.0113636363636363,0.0708041958041957,0.041375291375291195,0.019813519813519795,0.0148195876288659,0.0025773195876288,0.0173969072164947,0.0114563131570889,0.0114563131570889
lawyer,0.0387457332982625,0.0460440985732815,0.083041958041958,0.0052447552447553,0.571969696969697,0.1585081585081585,0.023769620302347604,0.028222316395063698,0.0643939393939393,-0.0186480186480186,0.0830419580419579,0.053613053613053394,0.03205128205128199,0.0197795071335927,0.0097276264591439,0.0295071335927366,0.0235665395333308,0.0235665395333308
optometrist,0.0351701386801673,0.0410697230181471,0.0993589743589743,-0.0064102564102563,0.5946969696969697,0.1436480186480186,0.020194025684252402,0.023247940839929298,0.0719696969696969,-0.0273892773892773,0.0993589743589742,0.0699300699300697,0.0483682983682983,0.0194205666985036,0.0066857688634192,0.026106335561922798,0.020165741502517,0.020165741502516998
pharmacist,0.0828053428053427,0.0946031746031745,0.1092657342657342,0.0244755244755243,0.5885780885780886,0.1247086247086247,0.0678292298094278,0.0767813924249567,0.0777972027972028,-0.0314685314685314,0.1092657342657342,0.0798368298368297,0.0582750582750583,0.0326984126984127,-0.0028571428571428,0.0355555555555555,0.0329152915291529,0.0296149614961497
physician,0.0393571186522727,0.0453115166771553,0.1171328671328671,-0.0104895104895105,0.5990675990675991,0.1314102564102564,0.0243810056563578,0.0274897344989375,0.0842074592074592,-0.0329254079254079,0.11713286713286711,0.0877039627039626,0.0661421911421912,0.0147891755821271,0.0066079295154185,0.0213971050975456,0.0154565110381398,0.0154565110381398
physics teacher,0.0655451348356005,0.0744377573645866,0.1171328671328671,-0.0005827505827505,0.6092657342657343,0.1194638694638694,0.0505690218396856,0.05661597518636881,0.0789627039627039,-0.0381701631701631,0.117132867132867,0.0877039627039625,0.0661421911421911,0.024390243902439,0.0003167564143173,0.0247070003167563,0.0214332234617191,0.0187664062573505
professor,0.0739512722271343,0.0842911877394636,0.1046037296037296,-0.0233100233100232,0.6083916083916084,0.1226689976689976,0.0589751592312194,0.06646940556124581,0.0757575757575757,-0.0288461538461538,0.1046037296037295,0.075174825174825,0.0536130536130536,0.0233077905491698,-0.0086206896551724,0.0319284802043422,0.0292882161779396,0.025987886144936398
psychologist,0.0430121430675754,0.050364269876465,0.0571095571095571,0.0151515151515152,0.5926573426573427,0.145979020979021,0.0280360300716605,0.032542487698247205,0.0585664335664335,0.0014568764568764,0.0600233100233099,0.027680652680652597,0.009032634032633997,0.0247070003167564,0.0110864745011086,0.035793474817865,0.029852880758459197,0.029852880758459197
scientist,0.0491099134411236,0.0560509554140127,0.0964452214452214,-0.0075757575757575,0.5882867132867133,0.1238344988344988,0.0341338004452087,0.0382291732357949,0.0734265734265734,-0.023018648018648,0.0964452214452214,0.06701631701631688,0.0454545454545455,0.021656050955414,0.0073248407643312,0.028980891719745203,0.023040297660339402,0.023040297660339402
bartender,0.0512321012321011,0.0581059390048153,0.0372960372960373,-0.0029137529137529,0.597027972027972,0.1182983682983683,0.0362559882361862,0.0402841568265975,0.0393356643356643,0.002039627039627,0.0413752913752913,0.0096153846153846,-0.009615384615384602,0.0173354735152487,-0.0019261637239165,0.0192616372391652,0.0166213732127626,0.0133210431797594
cashier,0.0400724699215017,0.0475877912701017,0.0448717948717948,-0.0565268065268065,0.5777972027972028,0.1579254079254079,0.025096356925586802,0.029766009091883903,0.0486596736596736,0.0037878787878787,0.0524475524475523,0.0154428904428904,0.0014568764568764006,0.0105021332458155,-0.0065638332786347,0.0170659665244502,0.014425702498047602,0.0111253724650444
construction worker,0.033291334316725,0.0397135416666667,0.0241841491841491,-0.0005827505827505,0.5935314685314685,0.1617132867132867,0.0183152213208101,0.0218917594884489,0.0285547785547785,0.0043706293706293,0.0329254079254078,0.018065268065268102,-0.0180652680652681,0.0146484375,0.0045572916666666,0.019205729166666602,0.013265135107260802,0.013265135107260802
farm worker,0.0154873375212358,0.0182529335071708,0.0093240093240093,-0.0005827505827505,0.5795454545454546,0.1515151515151515,0.000511224525320899,0.0004311513289530014,0.0198135198135198,0.0104895104895104,0.0303030303030302,0.020687645687645702,-0.020687645687645702,0.0120599739243807,0.0169491525423728,0.0290091264667535,0.0230685324073477,0.0230685324073477
janitor,0.0231052493296706,0.0285139215028513,0.0014568764568764,0.0093240093240093,0.5652680652680653,0.1896853146853147,0.0081291363337557,0.0106921393246335,0.0183566433566433,0.0168997668997669,0.0352564102564102,0.0279720279720281,-0.0157342657342657,0.0241529688024152,0.018450184501845,0.042603153304260205,0.0366625592448544,0.036662559244854405
line cook,0.021304571640142,0.0252476829658037,-0.0034965034965034,-0.0069930069930069,0.6136363636363636,0.1561771561771562,0.006328458644227099,0.007425900787585902,0.0203962703962703,0.0238927738927738,0.044289044289044094,0.032925407925408004,-0.006701631701631808,0.0115052732502396,0.005433045701502,0.0169383189517416,0.0109977248923358,0.0109977248923358
parking attendant,0.044169544494009,0.0519143413367941,0.0367132867132867,0.0029137529137529,0.5818764568764568,0.1491841491841491,0.0291934314980941,0.0340925591585763,0.0378787878787878,0.0011655011655011,0.039044289044288895,0.011946386946387005,-0.011946386946387007,0.0230369889682024,0.008436080467229,0.031473069435431406,0.025532475376025602,0.025532475376025605
receptionist,0.0342054863539239,0.0397135416666667,0.0512820512820512,-0.0110722610722611,0.5836247086247086,0.1386946386946387,0.019229373358009,0.0218917594884489,0.0405011655011655,-0.0107808857808857,0.0512820512820512,0.021853146853146696,0.0002913752913752954,0.0094401041666666,-0.001953125,0.0113932291666666,0.008752965140264,0.0054526351072608
sales clerk,0.0360549562796754,0.0414125200642054,0.0402097902097902,-0.0151515151515151,0.5909090909090909,0.1293706293706293,0.0210788432837605,0.0235907378859876,0.0402097902097902,0.0,0.0402097902097902,0.0107808857808857,-0.0107808857808857,0.0157303370786516,0.0032102728731942,0.0189406099518458,0.01300001589244,0.01300001589244
server,0.030888920090683,0.0355860267711394,0.013986013986014,-0.0297202797202796,0.583041958041958,0.131993006993007,0.015912807094768097,0.017764244592921603,0.0311771561771561,0.0171911421911421,0.0483682983682982,0.015442890442890503,-0.0026223776223777,0.0075089781260202,0.0003264773098269,0.0078354554358471,0.0045422367897907,0.0018948613764412994
taxi driver,0.0413760351539547,0.0472239948947033,0.0722610722610722,-0.0017482517482516,0.5999417249417249,0.1238344988344988,0.026399922158039803,0.029402212716485503,0.0562354312354312,-0.016025641025641,0.0722610722610722,0.0428321678321677,0.0212703962703963,0.0220165922144224,0.0089342693044033,0.0309508615188257,0.0250102674594199,0.0250102674594199
truck driver,0.027826619243339,0.0319081046585831,0.0311771561771561,-0.0087412587412587,0.6016899766899767,0.1279137529137529,0.012850506247424098,0.014086322480365298,0.0329254079254079,0.0017482517482517,0.0346736596736596,0.016317016317016302,-0.0163170163170163,0.0127632418634333,0.0028717294192724,0.0156349712827057,0.0096943772232999,0.0096943772232999
