,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,diff_TB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0086781577838153,0.0241725774665431,0.0241279069767441,0.0103488372093022,0.943779069767442,0.6419186046511628,0.0,0.0,0.0186662106703146,-0.078758828663094,-0.0208915307982107,0.0344677810077519,0.0779712089028795,0.1348526812334951,0.0362230465755175,-0.1764871514266356,-0.0055835853313173,-0.049018068898156,0.0144687781232485,0.1681561227510179,-0.0099638368838345,-0.1458720475261172,0.063875217129315,1.0352560959209054,0.0,0.0,0.036251937984496,-0.0120107973421926,-0.0267113918810975,-0.013610465116279,0.0393429256789721,0.0383517441860464,-0.0363372093023255,-0.0410406976744186,-0.0001162790697674,0.0120581395348837,0.0241445510578772,0.0488372093023255,0.0489803779069767,-0.0073953488372092,0.0291991369348547,0.41438821180972213,0.0,0.0
African,0.0067566305075347,0.0143088833579675,0.0034302325581395,-0.0041860465116279,0.8733720930232558,0.4163953488372093,-0.0019215272762806,-0.0098636941085756,0.0441066027802946,0.1145952087303301,0.067020052254996,0.0228658107666956,0.0459920724695869,0.0537173520432918,-0.0151119709063553,-0.0540071331587077,0.0407461154119392,-0.1262288701924027,0.0208677203532406,0.0087094899716992,0.0021233298563229,-0.0975278983675375,0.0297365504957601,0.7433561777591601,0.9891935437500697,-0.2918999181617453,0.063966505877843,0.0042141336538138,0.0114459541970068,-0.0061142026578073,0.0434683678518413,0.0660870708748615,-0.027816989925619,-0.0232758733514547,-0.0042468694096601,0.0091043670222066,0.0190282571985199,0.0443547150523894,-0.016749466102902,-0.0600848749119097,0.0230797799556178,0.42303742804345296,0.28896079801296337,0.008649216233730828
African American,0.0104621286263451,0.021464600951445,0.0018023255813953,-0.0141860465116278,0.8612790697674418,0.4923255813953487,0.0017839708425298004,-0.0027079765150981004,0.290486300467405,0.0345112303415384,0.0464857849237522,-0.0496931203940543,0.016589203437625,0.0080926313564394,0.1394794851417321,-0.0331183178555338,0.0321472108008567,0.0406486150281404,0.0265605765880561,-0.015781682585825,0.0324789226759583,-0.1266780690848569,0.0336120403729687,0.9263631910547424,1.386722692022639,-0.10889290486616299,0.0465100129198965,0.0061307124909569,-0.0065551647386735,0.0502214147286821,0.0229819010696729,0.0341360741971206,0.0092768602521509,-0.026852222390013,0.0014636397194536,0.0166690891472868,0.0168358610137532,0.0134883720930232,0.0235653077827325,-0.0388019732205778,0.0232474116915138,0.33673601745550735,0.30438874659904624,-0.07765219435421478
Black,0.0100024556851545,0.0170379745281042,0.0252906976744185,0.0288372093023255,0.871860465116279,0.3966279069767442,0.0013242979013391998,-0.0071346029384389,-0.0310131979455952,0.0611332276236863,-0.0114271702566027,0.0649394977481332,0.0543056863225345,0.0287709081931506,0.0340475882616015,-0.0600774746431941,0.0394111162691198,-0.0115764913833485,-0.0014708073793179,-0.0015335200870647,-0.0287270517948091,-0.1248733303862382,0.0486215727029837,0.60192864099738,0.8009210568358047,-0.4333274549235254,0.0264263565891472,0.0271767421021921,-0.0012663235484268,0.0087583979328165,0.0344793871182994,0.0449235241502682,-0.0194205426356589,-0.0027128588465797,-0.0458547266686801,0.0081395857761709,0.0271721452835118,0.0125769443734559,0.0217871323866143,-0.0331035011500127,0.0360832535765907,0.3498814221384252,0.3122372512279313,-0.06450678967129692
Caucasian,0.0172806183976221,0.0322321673923652,0.0454651162790697,-0.0336046511627906,0.8568023255813954,0.4723255813953488,0.0086024606138068,0.008059589925822102,-0.0205538511509148,-0.1866981028306119,-0.0251192456276158,0.5022840147811909,0.1573157546455031,0.3361939185044235,-0.0503381713400838,-0.1158328880144334,0.1159726220299993,-0.0218897980235226,0.0383867351770443,0.2233659646058799,-0.0383451262108829,-0.1419572439693774,0.0932069084926239,2.0674603454041076,1.3365446103246514,1.0322042494832022,0.0186029426569782,-0.0500196348429212,-0.0334929015213312,0.0777148897614013,0.0310819097639255,0.1193803497858729,-0.0314458245243128,-0.0128498062015503,0.0048403469915097,0.023758691566831,-0.010920853253383,0.0495208333333332,-0.0022128883620681,-0.0184588618745595,0.0025794994229746,0.4868802338629525,0.417419218365682,0.07249202205323035
White,0.016734996323022,0.031681054952443,0.0317441860465115,-0.0394186046511627,0.8730813953488372,0.483313953488372,0.0080568385392067,0.0075084774858999,-0.0346190742397137,-0.1121241368984558,-0.0221050395720119,0.2440711578230332,0.149208080832864,0.3184852297216225,0.0918540593916627,-0.0378886973633443,0.026190879332231,-0.0454821072015839,0.0559951457778106,0.2408087915483011,-0.0315259273728107,0.030720421186679,0.0679102866290862,1.5089890348912103,1.0982454575455303,0.4737329389703049,0.0391906607604281,-0.0340289835044573,-0.0512658844311355,0.081642441860465,0.0420098558293419,0.0832677851863897,-0.0719206810631228,0.0127432170542635,-0.0280260243632336,0.0424418604651162,0.0217404045118186,0.0237444096601073,-0.0030666162463253,-0.0589134954193093,0.0218214771830797,0.615823797538594,0.47844787900432384,0.20143558572887182
European,0.0149629703082114,0.029355293211083,0.0344186046511627,-0.0452325581395348,0.8715697674418605,0.4991279069767441,0.0062848125243961,0.005182715744539899,0.1142475408768158,-0.0939436358547592,-0.0471012209347344,0.2838953936816781,0.1319803179284888,0.3579157654076429,0.2387127081005329,-0.056873254192923,0.1260240346786016,-0.0527147038146061,0.0522438299004748,0.2757829683061293,0.027337969921747,-0.0755797382603156,0.0648694038889972,1.999222485748447,1.3748736472568734,0.9639663898275417,0.0637934662236987,-0.0445695567381771,-0.0497701587474818,0.0236226680296447,0.046598264851016,0.1402983564400715,-0.0502796234772978,0.0058623658318425,-0.0260852713178294,-0.0191197610529005,0.0043577380350833,0.0931209625322996,-0.0077427339624761,-0.0604860720674673,0.0039762710623752,0.6396832703696614,0.546693776815602,0.2252950585599393
Roma,0.0128882384918395,0.0261601146380353,0.0159302325581395,-0.0196511627906976,0.8630813953488371,0.5091279069767441,0.0042100807080242,0.0019875371714922,0.0529778063506261,-0.0936540559406249,-0.0028379302418615,0.1456689217758984,0.0394365280182673,0.0934937488870586,0.2515069900191413,-0.0322777095671433,0.0870298151460941,-0.0120586707617868,0.0205684586720759,0.0740439715832922,0.0098971404824022,-0.1418994963387311,0.0652215776185629,1.1225728214035666,0.8728130821897073,0.08731672548266123,0.0559910147991543,-0.0401456256921372,-0.02990903176422,0.0448572812846068,0.0349991191362191,0.0522288967492455,-0.0253477990033222,-0.0195439276485788,-0.0035382059800664,0.0398662790697674,0.0395270405059191,-0.0022529069767441,0.0124759884552418,0.0014121447028423,0.0164647680172696,0.4185600297853346,0.3159953549610721,0.004171817975612446
Native American,0.0078926526727715,0.0215420829172726,0.0016279069767441,-0.0917441860465116,0.7992441860465116,0.6430813953488372,-0.0007855051110437997,-0.002630494549270501,-0.0032739188086495,-0.0713371600754466,0.0373045030480388,0.1188876988984088,0.0247948103723034,-0.0096458519677996,0.0628265818104224,0.3347040162117406,-0.0511491323917936,-0.0627898955899261,0.0889736841755445,0.1131172480620154,0.0554787319977804,-0.1058933605154535,0.0301931872963523,1.1703697812216756,1.2354318246274563,0.13511368530077017,-0.0210130373502466,-0.0150698876551844,-0.02180811610341,0.0595415282392026,0.0145119573375998,0.031528821307891,0.0096999318510946,0.0566753875968991,0.0173191214470284,0.0055547480620155,0.0360419071130189,0.0848039992952783,-0.0179949683710245,-0.0289504933051444,0.0007568123710419,0.42127071740608,0.5025622057726769,0.006882505596357891
South American,0.0130661709573024,0.0231387618973321,0.0119186046511627,-0.0103488372093022,0.8742441860465118,0.4083139534883721,0.004388013173487101,-0.0010338155692109982,0.0546108556359869,-0.1094454709126687,-0.0150927373545464,0.0222587919296645,0.0298516579385179,0.0695712180231925,0.0643219893052431,-0.029523825313856,0.268781021304277,0.157229992147561,0.1323674656799575,-0.003243689493802,-0.0045325593436885,-0.0366766890039817,0.0141309994279728,1.0116389628149165,1.307384374000632,-0.023617133105988897,0.0058485603543742,-0.0409618551189521,-0.0281774457362398,-0.0011411205073995,0.0367064006941538,0.0920002453941406,0.014222478103292,-0.0199764044095439,0.0466322674418604,0.0329239713774597,0.0246258923247294,0.0504161381254403,0.0091014550570258,-0.0215718438538205,0.0353610196648665,0.45966709816329854,0.33109078977505246,0.04527888635357641
