,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.027743569385404,0.0938739006946511,0.0719999999999999,0.0633333333333332,0.8416666666666666,0.7046666666666667,0.0,0.0,0.0748488823685229,0.1081504623164197,0.1166464458247066,0.0447806267806267,-0.011405291005291,0.1319821428571428,0.0251544167544167,0.2575680142384947,-0.2231029453610918,0.2454171717171716,1.2390563992238843,0.0,0.0,0.0352470695970695,0.0263706349206349,0.1202261904761904,0.1110666666666666,-0.0768857142857142,0.0628681096681096,3.703703703704236e-05,0.1429404761904761,-0.1053583877995642,0.1493333333333333,0.8303336199747959,0.0,0.0
Atheist,0.0189234200345894,0.0967907297995578,0.0559999999999999,0.0179999999999999,0.5863333333333334,0.7926666666666666,-0.008820149350814599,0.002916829104906704,0.2785331746031746,0.0336836863619472,0.1462506876624523,-0.0127823848902956,-0.1316522962021293,0.1166710239651415,0.085396219058719,0.2594997594997594,-0.2036760329131652,0.2798438095238095,1.5479890746805935,0.6169035436067634,0.3089326754567092,0.1786954012171403,0.0138580373874491,0.2014714285714285,0.2190037878787878,-0.1395404761904761,0.0585255332902391,0.1018575757575757,0.1250047619047618,-0.153483166109253,0.1249333333333333,1.3163735016404448,0.6044216580591899,0.4860398816656488
Christian,0.0428178223748115,0.093509330307799,0.0553333333333332,0.0346666666666666,0.7713333333333334,0.5269999999999999,0.0150742529894075,-0.0003645703868521005,-0.0706872770237291,0.2265721473547593,0.0846342636831767,0.1514833009077217,-0.0316831115532448,0.1953320082372868,-0.0144974533202193,0.1355104506604506,-0.1794338590645244,0.0717298559548559,1.1615637277599684,0.8653662223388775,-0.07749267146391592,0.0363719124013241,0.2015522533022532,0.1175310606060605,0.1472343434343434,-0.1257334064327485,0.0255437908496731,0.0321598779557589,0.179275641025641,-0.1185870231133388,0.2042499999999999,1.1882393091211414,0.43794458652347845,0.35790568914634546
Protestant,0.0468596927765231,0.0957314013659175,0.1069999999999999,0.012,0.7553333333333333,0.4986666666666666,0.019116123391119098,0.0018575006712664016,-0.0544177499417933,0.1680340864038094,0.3499871416266765,0.05518778538363,-0.0031985352593337,0.0764001319079769,-0.0480771033144374,0.1255817566311683,-0.179807038527461,0.0819842190016103,1.1426755479978967,0.908633514723175,-0.09638085122598761,0.0189047878410623,0.1777256458346995,0.2806057276057275,0.2020980186480186,-0.1109619047619047,0.0367608333333333,-0.0313342857142856,0.0697833333333333,-0.1369288438487522,0.0374507936507936,1.1025541745719105,0.7272731099321207,0.2722205545971146
Catholic,0.0424038612592761,0.0894847115559809,0.0459999999999999,-0.0366666666666666,0.7323333333333334,0.52,0.014660291873872102,-0.004389189138670202,-0.0954516594802472,0.1591569955714263,0.0568884765332133,0.2967037804964413,-0.0305792230245133,0.1641974162171294,0.0434887441130298,0.0630366329231577,-0.1913014718614718,0.0616568051182085,1.1624612053388388,1.0128049522628266,-0.07659519388504554,-0.0133836317135549,0.1836897592603474,0.0095578643578643,0.2585358974358974,-0.1276287878787878,0.0481681422924901,-0.0129686868686868,0.1075555555555555,-0.1734955100880932,0.1279722222222222,1.0629560576734995,0.6674193014468713,0.2326224376987036
Mormon,0.045111469188345,0.1022954777047478,0.0223333333333333,-0.0433333333333333,0.7176666666666667,0.5613333333333334,0.017367899802941,0.0084215770100967,-0.1004180782596421,0.1037397049747321,0.04481637344593,0.1813963951986423,0.2032524022549554,0.207885594974729,0.0317806092966276,0.0584540983521265,-0.1978051393200593,0.1015460960092538,1.2310944920866982,1.0535936943220068,-0.007961907137186142,0.0257618833408307,0.0047668174962292,0.0882222222222222,0.0853307868601986,-0.0252261208576997,0.0635986842105263,0.0091494505494505,0.2037841269841269,-0.0842707503460744,0.0937400793650793,0.6838509222324378,0.28785597543931996,-0.14648269774235811
Jewish,0.0294815470019331,0.0775959826653009,0.0703333333333332,-0.036,0.7146666666666667,0.6003333333333334,0.0017379776165291003,-0.01627791802935019,-0.0217460819193577,0.0756790676109215,0.1602903341280607,0.1478183541327637,-0.0842861058897243,0.3009532038877561,0.0217350670966739,0.1480484299516907,-0.1651090840024172,0.1591786321423714,1.2848443607617372,0.7747711854419381,0.04578796153785292,0.0410857142857142,0.0788877005347593,0.1916666666666666,0.1783854636591478,-0.144938245614035,0.1100918444300796,0.0493760683760683,0.1643666666666666,-0.1192021565068858,0.1447563492063491,1.2227568759463723,0.40157722422554487,0.39242325597157635
Muslim,0.0296259008519865,0.0815052285317208,0.0396666666666666,-0.0493333333333332,0.6839999999999999,0.5996666666666667,0.0018823314665824993,-0.012368672162930291,-0.0582414112683778,-0.0110198187014649,0.0806589281866592,0.1358072220773072,-0.0665846913003845,0.1429748638344226,0.2796568656365408,0.2579514095200369,-0.1660582481292587,0.1597751322751322,1.3587285909295848,0.8430193896994251,0.11967219170570043,0.1076708228997321,0.116979365079365,0.1903333333333333,0.1420777777777777,-0.1587292330037428,0.0884207792207792,0.162601895206243,0.0975740259740259,-0.185552836052836,-0.0003499999999999,1.2502900685478349,0.809356015672606,0.41995644857303893
Sikh,0.0394082959654406,0.1115607466401033,0.0806666666666666,-0.0753333333333333,0.7036666666666667,0.635,0.011664726580036599,0.01768684594545221,-0.0261019980506822,0.0355862573719716,0.1108631468347779,0.0742879999349942,-0.0811498420462061,0.1216421563943302,0.1534842588783765,0.5101300288600288,-0.1808446442086663,0.2504690784933346,1.5445594110733685,0.7170923596857595,0.30550301184948414,0.0202797202797202,0.0890877401465636,0.1957667887667887,0.1717833333333333,-0.1645078037904124,0.0431876470588235,0.0022581196581196,0.299430303030303,-0.1817405508072174,-0.01405,1.1820920068712817,0.7197206774164233,0.35175838689648575
Hindu,0.0422680753104064,0.0945198941703227,0.0749999999999999,-0.0286666666666666,0.7089999999999999,0.5613333333333334,0.014524505925002398,0.0006459934756715968,-0.103653606637475,0.0300150006193149,0.080461111111111,0.0788161407926757,-0.0379317588595352,0.1050544418103941,0.0218956977193094,0.3035742194313623,0.0671997697689257,0.1367877938309826,0.9653895405810858,0.8285099855739216,-0.2736668586427985,0.005812678062678,0.0859274509803921,0.1044551282051282,0.2558948717948717,-0.1375126984126983,-0.0465329991645781,0.0444849498327759,0.1788285714285714,-0.1041052236652236,0.2364276094276093,1.1999821809745264,0.5883020162155386,0.3696485609997304
Buddhist,0.0223540092552325,0.124672320518179,0.0633333333333332,-0.1219999999999999,0.5543333333333333,0.812,-0.0053895601301715,0.030798419823527906,0.0639349024507561,0.0198489901910954,0.1738740303813832,0.0814105218855218,-0.1064489238152028,0.0437373448773448,0.0695003330220977,0.3722061403508772,-0.1740578598724826,0.5253345238095237,1.6303535706562853,0.8643078424553974,0.39129717143240095,0.0303591036414565,0.0394700854700854,0.2285,0.147479365079365,-0.2367813725490196,0.0368727272727272,0.1223473389355742,0.3364095238095237,-0.0913451659451659,0.2052944444444444,1.474859127147362,0.7343186475833535,0.644525507172566
