,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.020399384160259,0.0654133249732209,0.0977855477855477,0.007109557109557,0.9434149184149184,0.688053613053613,0.0,0.0,0.0992379079945972,0.001398926601429,0.1006368345960262,0.0,0.0,0.0074607677188265,-0.0180689317415957,0.025529699460422203,0.0,0.0
chemical engineer,0.0315787937590793,0.10108483727044,0.0963286713286712,0.0058275058275058,0.8272727272727274,0.6740093240093239,0.0111794095988203,0.0356715122972191,0.1493879987823908,-0.0040875386709294,0.1534755374533202,0.05563655606015201,0.052838702857294015,0.0217367035461123,-0.0302191818848756,0.051955885430987905,0.026426185970565702,0.026426185970565702
chemist,0.0329819059366757,0.0906372830434255,0.1189976689976689,0.0073426573426573,0.8539044289044287,0.6194055944055943,0.012582521776416701,0.025223958070204597,0.132854161469469,-0.0285353425177483,0.1613895039872173,0.06355052259404909,0.0607526693911911,0.0168958627344903,-0.0302656647092367,0.047161527443726994,0.021631827983304798,0.02163182798330479
dentist,0.0349107900908054,0.0928074132514727,0.1099650349650349,0.0045454545454545,0.866958041958042,0.6114801864801865,0.014511405930546402,0.027394088278251794,0.1406142321085623,-0.0072406892322036,0.14785492134076592,0.050015939947597704,0.04721808674473972,0.0176630851052673,-0.0322642711534767,0.049927356258744005,0.0243976567983218,0.0243976567983218
judge,0.028814924910419,0.088536328570922,0.0869463869463869,0.03006993006993,0.8251748251748252,0.6656759906759906,0.00841554075016,0.0231230035977011,0.1132074447457654,-0.0238328548185097,0.1370402995642751,0.039201318171106905,0.03640346496824891,0.0123957307541651,-0.0316227722531402,0.044018503007305296,0.018488803546883096,0.018488803546883092
lawyer,0.0247956843120638,0.0976307378992964,0.0761655011655011,0.0174825174825174,0.7756410256410258,0.7365384615384615,0.0043963001518048,0.032217412926075495,0.1468070502251469,-0.0028661907504732,0.1496732409756201,0.0518342595824519,0.0490364063795939,0.0122459821857226,-0.0237076297694744,0.035953611955197,0.010423912494774796,0.010423912494774798
optometrist,0.0259081465667503,0.0947026576514473,0.0917832167832167,-0.0118881118881118,0.8255244755244755,0.7,0.005508762406491299,0.029289332678226393,0.1513785178774412,-0.0091032190626639,0.1604817369401051,0.06264275554693689,0.059844902344078896,0.0169653072512229,-0.0296987025442551,0.046664009795477995,0.0211343103350558,0.021134310335055792
pharmacist,0.0294746023202518,0.0893290646735456,0.1067599067599067,-0.0136363636363635,0.8597319347319348,0.6506993006993007,0.0090752181599928,0.023915739700324692,0.1512626112383855,-0.0072831803927196,0.1585457916311051,0.0607068102379369,0.05790895703507891,0.0159371919926968,-0.0345222341746921,0.050459426167388896,0.0249297267069667,0.024929726706966693
physician,0.032124428482884,0.1039462197172522,0.1064102564102563,-0.0124708624708624,0.8241841491841491,0.6745920745920746,0.011725044322625,0.03853289474403129,0.159380644668742,-0.0111299616341332,0.1705106063028752,0.072671624909707,0.06987377170684901,0.0206853295424037,-0.0338012329420631,0.0544865624844668,0.0289568630240446,0.0289568630240446
physics teacher,0.0306278898811443,0.0932094276038277,0.1053613053613053,0.0017482517482517,0.8474941724941726,0.6673659673659673,0.010228505720885298,0.027796102630606792,0.1377493258215907,-0.0268588012265338,0.1646081270481245,0.06676914565495629,0.0639712924520983,0.0205174376175929,-0.0245958718907389,0.0451133095083318,0.0195836100479096,0.019583610047909594
professor,0.033496750354576,0.082570018049928,0.1349067599067598,0.0129370629370629,0.8577505827505828,0.5867715617715618,0.013097366194317,0.0171566930767071,0.1436090016680642,-0.0225975444607513,0.1662065461288155,0.0683675647356473,0.0655697115327893,0.0170386185973737,-0.0255496953472147,0.042588313944588396,0.0170586144841662,0.017058614484166193
psychologist,0.0214635671037335,0.1055995909747899,0.0531468531468531,-0.0048951048951049,0.7692307692307692,0.7900932400932402,0.0010641829434745002,0.04018626600156899,0.1500443215291282,0.0131699507286284,0.1632142722577566,0.06257743766173039,0.06257743766173039,0.0184355503013742,-0.0288802187601556,0.0473157690615298,0.0217860696011076,0.0217860696011076
scientist,0.0278680941665886,0.1020663521599451,0.0889860139860139,0.0116550116550116,0.8057109557109557,0.7202214452214453,0.0074687100063296,0.036653027186724196,0.1545678792221205,-0.0125168044023571,0.16708468362447762,0.06924570223130941,0.06644784902845143,0.0164650406803413,-0.0317568210763128,0.048221861756654105,0.022692162296231902,0.022692162296231902
bartender,0.031023856988618,0.0809842724969574,0.0844988344988344,0.0059440559440559,0.8677738927738927,0.5966783216783217,0.010624472828358999,0.0155709475237365,0.1038571864449294,-0.002084690822884,0.1059418772678134,0.008102895874645206,0.005305042671787205,0.019180393727782,-0.0339714428326005,0.0531518365603825,0.027622137099960295,0.027622137099960295
cashier,0.0340607813537027,0.085564026028604,0.0913170163170162,0.0149184149184148,0.8705128205128204,0.5644522144522144,0.013661397193443697,0.020150701055383094,0.0970351158053553,-0.0090570226019352,0.1060921384072905,0.012658741392606095,0.0054553038112643,0.022513043773316,-0.0289823783389817,0.0514954221122977,0.0259657226518755,0.025965722651875495
construction worker,0.0385819880821889,0.0757887954177143,0.0614219114219114,0.016083916083916,0.8671328671328672,0.4772727272727272,0.0181826039219299,0.010375470444493398,0.053540118814223,-0.007939018588612,0.061479137402835,0.0550357343704152,-0.0391576971931912,0.0141151554154217,-0.0213998816211789,0.0355150370366006,0.009985337576178397,0.009985337576178394
farm worker,0.0414873367982214,0.0831464112699325,0.0432400932400932,0.0178321678321677,0.8614801864801865,0.4907342657342656,0.0210879526379624,0.017733086296711595,0.046231466080791,-6.8208180344842e-05,0.04629967426113584,0.05447357669558004,-0.054337160334890354,0.0161103408421085,-0.025053422819257,0.041163763661365496,0.0156340642009433,0.015634064200943293
janitor,0.0348878298955085,0.0782582068672767,0.0526223776223776,0.0430069930069929,0.8603146853146851,0.5367132867132867,0.014488445735249503,0.012844881894055804,0.0359381738952447,-0.0190707133510981,0.0550088872463428,0.08376937405187959,-0.045627947349683395,0.0157291603232327,-0.0209895491764254,0.036718709499658095,0.011189010039235897,0.011189010039235892
line cook,0.0339611714195841,0.0780429496605972,0.0582750582750582,0.0262237762237762,0.8659090909090909,0.5486013986013986,0.013561787259325102,0.0126296246873763,0.0645085159893678,-0.0047833185663806,0.0692918345557484,0.040911637173039,-0.03134500004027779,0.0170979384041625,-0.0261749285235881,0.0432728669277506,0.017743167467328395,0.017743167467328395
parking attendant,0.0360468005128046,0.0860025238033811,0.0874708624708624,0.0179487179487179,0.8803030303030303,0.5728438228438228,0.0156474163525456,0.020589198830160194,0.1030496944079799,-0.004705296135244,0.10775499054322389,0.0099160091500557,0.007118155947197696,0.0234876018828896,-0.0336387406009303,0.0571263424838199,0.031596643023397694,0.031596643023397694
receptionist,0.0291136531598856,0.0924303896880495,0.0863053613053612,-0.0109557109557109,0.8423076923076923,0.6352564102564101,0.008714268999626601,0.027017064714828593,0.1213019046421624,0.0023434046988208,0.1236453093409832,0.023008474744957,0.023008474744957,0.0153421788708689,-0.033558585154792,0.0489007640256609,0.0233710645652387,0.0233710645652387
sales clerk,0.0334731607198547,0.0838508336240621,0.0952797202797202,-0.0212121212121211,0.8791375291375292,0.5955710955710956,0.013073776559595698,0.01843750865084119,0.1256364541694797,0.0018876987686317,0.1275241529381114,0.026887318342085194,0.0268873183420852,0.0166166831375354,-0.0381918608920365,0.0548085440295719,0.029278844569149698,0.029278844569149698
server,0.0296909922523338,0.0820001387634978,0.0803030303030302,0.0031468531468531,0.8745337995337996,0.6414918414918416,0.009291608092074799,0.016586813790276905,0.1175979588021969,0.0008575478044606,0.11845550660665749,0.018901429604568098,0.017818672010631295,0.0141693486437804,-0.0339572129138343,0.0481265615576147,0.0225968620971925,0.0225968620971925
taxi driver,0.0361565070418701,0.0764092104628982,0.0932400932400931,0.0216783216783216,0.8853146853146854,0.5113636363636364,0.015757122881611102,0.010995885489677296,0.0696480952325381,-0.0283667137344314,0.09801480896696949,0.0593554530979195,-0.0026220256290567096,0.0200850825000994,-0.0297902803166786,0.049875362816778,0.024345663356355796,0.024345663356355796
truck driver,0.0383623552713969,0.0776400501182421,0.0556526806526806,0.0314685314685314,0.8573426573426574,0.487062937062937,0.0179629711111379,0.012226725145021197,0.0442407766753315,-0.0114303933413881,0.055671170016719604,0.0678264512620828,-0.04496566457930659,0.0167736496716122,-0.0201729838987097,0.0369466335703219,0.011416934109899699,0.011416934109899697
