,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0033744010951403,0.0595482546201231,0.05,-0.0533333333333332,0.7933333333333333,0.9433333333333334,0.0,0.0,0.0566666666666666,0.0,0.0566666666666666,0.0566666666666666,-0.0283333333333333,0.0566666666666666,0.0113333333333333,0.0,-0.0526190476190476,0.0566666666666666,0.37561904761904724,0.0,0.0,0.2066666666666666,0.2066666666666666,0.2066666666666666,0.0,0.0,0.2066666666666666,0.2066666666666666,0.0,-0.2066666666666666,0.2066666666666666,1.446666666666666,0.0,0.0
Atheist,0.0032779097387173,0.0546318289786222,0.0566666666666666,-0.1366666666666666,0.685,0.94,-9.649135642300025e-05,-0.004916425641500903,0.0683333333333333,0.0,0.0683333333333333,0.0683333333333333,-0.041,0.0683333333333333,0.0341666666666666,0.0,-0.0639247311827957,0.0683333333333333,0.48075806451612885,0.10513901689708159,0.1051390168970816,0.3266666666666666,0.0,0.3266666666666666,0.0,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.3266666666666666,0.0,1.633333333333333,1.0133333333333332,0.18666666666666698
Christian,0.005037037037037,0.0755555555555556,0.0533333333333333,-0.1433333333333333,0.7316666666666667,0.9333333333333332,0.0016626359418966995,0.016007300935432497,0.0683333333333333,0.0683333333333333,0.0488095238095238,0.0683333333333333,-0.0341666666666666,0.0683333333333333,0.0227777777777777,0.0,-0.0639247311827957,0.0683333333333333,0.5113453661034303,0.15144060419866867,0.13572631848438305,0.3266666666666666,0.0,0.3266666666666666,0.3266666666666666,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.3266666666666666,0.0,1.9599999999999997,1.3399999999999999,0.5133333333333336
Protestant,0.0050150489089541,0.0699774266365689,0.065,-0.14,0.72,0.9283333333333332,0.0016406478138137996,0.010429172016445803,0.0683333333333333,0.0227777777777777,0.0683333333333333,0.0683333333333333,-0.0434848484848485,0.0683333333333333,0.0186363636363636,0.0,-0.0555208333333333,0.0683333333333333,0.4820864898989896,0.10646744227994241,0.10646744227994237,0.3266666666666666,0.0,0.3266666666666666,0.3266666666666666,-0.3266666666666666,0.3266666666666666,0.3266666666666666,0.0,-0.3266666666666666,0.0,2.286666666666666,1.6666666666666665,0.8400000000000001
Catholic,0.0043209876543209,0.0648148148148148,0.0566666666666666,-0.1833333333333333,0.7016666666666667,0.9333333333333332,0.0009465865591805995,0.005266560194691697,0.0683333333333333,0.0683333333333333,0.0683333333333333,0.0683333333333333,-0.0379629629629629,0.0683333333333333,0.0062121212121212,0.0,-0.0551075268817204,0.0683333333333333,0.5092826110568043,0.1439059876801813,0.13366356343775704,0.3266666666666666,0.0,0.3266666666666666,0.3266666666666666,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.3266666666666666,0.0,1.9599999999999997,1.3399999999999999,0.5133333333333336
Mormon,0.0019905213270142,0.028436018957346,0.0433333333333333,-0.18,0.69,0.93,-0.0013838797681261002,-0.0311122356627771,0.0531481481481481,0.0683333333333333,0.0683333333333333,0.0683333333333333,0.0157692307692307,0.0683333333333333,0.0062121212121212,0.0,-0.0683333333333333,0.0683333333333333,0.48512950012949985,0.18345658045658042,0.1095104525104526,0.3266666666666666,0.0,0.3266666666666666,0.0,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.3266666666666666,0.0,1.633333333333333,1.0133333333333332,0.18666666666666698
Jewish,0.003301737756714,0.0521327014218009,0.0566666666666666,-0.1566666666666666,0.685,0.9366666666666666,-7.266333842630016e-05,-0.007415553198322197,0.0683333333333333,0.0,0.0683333333333333,0.0683333333333333,-0.0455555555555555,0.0683333333333333,0.0136666666666666,0.0,-0.0555208333333333,0.0683333333333333,0.4564097222222219,0.0807906746031747,0.08079067460317468,0.3266666666666666,0.0,0.3266666666666666,-0.3266666666666666,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.2613333333333333,0.0,1.8946666666666663,1.2746666666666664,0.4480000000000002
Muslim,0.0032081377151799,0.0469483568075117,0.055,-0.14,0.6866666666666666,0.9316666666666666,-0.0001662633799604002,-0.0125998978126114,0.0683333333333333,0.0683333333333333,0.0683333333333333,0.05125,-0.0227777777777777,0.0683333333333333,0.0136666666666666,0.0,-0.0597916666666666,0.0683333333333333,0.4891527777777774,0.1354781746031746,0.11353373015873014,0.3266666666666666,0.0,0.3266666666666666,0.0,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.2799999999999999,0.3266666666666666,1.913333333333333,0.88,0.466666666666667
Sikh,0.0055582137161084,0.0813397129186603,0.065,-0.1733333333333333,0.6733333333333333,0.9316666666666666,0.0021838126209681,0.021791458298537195,0.0683333333333333,0.0,0.0683333333333333,0.0683333333333333,-0.05125,0.0683333333333333,0.0227777777777777,0.0683333333333333,-0.0597916666666666,0.0683333333333333,0.5438194444444441,0.1682003968253969,0.16820039682539684,0.3266666666666666,0.0,0.3266666666666666,-0.3266666666666666,-0.3266666666666666,0.3266666666666666,0.3266666666666666,0.3266666666666666,-0.2764102564102564,0.3266666666666666,2.8897435897435892,1.8564102564102565,1.4430769230769231
Hindu,0.0037320574162679,0.0574162679425838,0.0583333333333333,-0.1766666666666667,0.6783333333333333,0.935,0.0003576563211275998,-0.002131986677539298,0.0683333333333333,0.0683333333333333,0.0683333333333333,0.0683333333333333,-0.0683333333333333,0.0683333333333333,0.0136666666666666,0.0,-0.05125,0.0683333333333333,0.5432499999999998,0.1703690476190477,0.16763095238095255,0.3266666666666666,0.0,0.3266666666666666,0.0,0.0,0.3266666666666666,0.3266666666666666,0.0,-0.3266666666666666,0.0,1.633333333333333,1.0133333333333332,0.18666666666666698
