,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,-1.8680823997477253e-05,-0.0015637216575449,-0.0096153846153846,0.0862470862470862,0.7453379953379954,0.9880536130536132,0.0,0.0,-0.0096153846153846,0.0,0.0096153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemical engineer,-7.219918724343542e-05,-0.0070796460176991,-0.0067016317016317,0.0291375291375292,0.6585081585081585,0.9898018648018648,-5.351836324595816e-05,-0.0055159243601542,-0.0069597069597069,0.0003163503163503,0.0072760572760572,0.002972027972028,-0.0023393273393274,0.0,0.0,0.0,0.0,0.0
chemist,-9.395844590127764e-05,-0.0084859312192943,-0.0087412587412587,0.0145687645687645,0.6523892773892774,0.9889277389277388,-7.527762190380038e-05,-0.0069222095617494,-0.0087412587412587,0.0,0.0087412587412587,0.0008741258741259,-0.0008741258741259,0.0,0.0,0.0,0.0,0.0
dentist,-5.582849486377888e-05,-0.0049129075480125,-0.0096153846153846,0.0168997668997669,0.6523892773892774,0.9886363636363636,-3.714767086630163e-05,-0.0033491858904676,-0.0090849321618552,0.0002839041300579,0.0093688362919131,0.0008143565835873005,-0.00024654832347150053,0.0,0.0,0.0,0.0,0.0
judge,-6.084402836142937e-05,-0.0116009280742459,-0.0034965034965034,-0.020979020979021,0.6276223776223776,0.9947552447552448,-4.216320436395212e-05,-0.010037206416701,-0.0067663817663817,0.0006151256151256,0.0073815073815073,0.0034641284641285,-0.0022338772338773,-0.2934149184149184,0.0,0.2934149184149184,0.2934149184149184,0.2934149184149184
lawyer,-6.798756798756776e-05,-0.0083333333333333,-0.0029137529137529,-0.0064102564102564,0.629079254079254,0.9918414918414918,-4.93067439900905e-05,-0.0067696116757884,-0.0039543789543789,0.0,0.0039543789543789,0.0056610056610057,-0.0056610056610057,0.0,0.2934149184149184,0.2934149184149184,0.2934149184149184,0.2934149184149184
optometrist,-0.0001134001134001,-0.0108108108108108,-0.0058275058275058,-0.0040792540792541,0.6465617715617715,0.9895104895104896,-9.471928940262274e-05,-0.0092470891532659,-0.0061512561512561,0.0,0.0061512561512561,0.0034641284641285007,-0.0034641284641285007,-0.2934149184149184,0.0,0.2934149184149184,0.2934149184149184,0.2934149184149184
pharmacist,-5.193855461235112e-05,-0.0089126559714795,-0.0017482517482517,0.020979020979021,0.6538461538461539,0.9941724941724942,-3.325773061487387e-05,-0.007348934313934599,-0.0033216783216783,0.0,0.0033216783216783,0.0062937062937063,-0.0062937062937063,0.0,0.0,0.0,0.0,0.0
physician,-3.9375039375039214e-05,-0.0054054054054053,-0.0037878787878787,0.0128205128205127,0.6468531468531469,0.9927156177156176,-2.069421537756196e-05,-0.0038416837478603997,-0.0053146853146853,0.0004428904428904,0.0057575757575757,0.0047435897435897005,-0.0038578088578089,0.0,0.0,0.0,0.0,0.0
physics teacher,-8.559728887150499e-05,-0.0077307867212369,-0.0075757575757575,0.0046620046620046,0.6404428904428905,0.9889277389277388,-6.691646487402774e-05,-0.006167065063692,-0.0064102564102564,0.0011655011655011,0.0075757575757575,0.004370629370629301,-0.0020396270396271007,-0.2934149184149184,0.0,0.2934149184149184,0.2934149184149184,0.2934149184149184
professor,-0.0001374585649325,-0.0131043831902395,-0.0064102564102564,0.0069930069930069,0.6439393939393939,0.9895104895104896,-0.00011877774093502275,-0.011540661532694601,-0.0058436933436933,0.0009226884226884,0.0067663817663816996,0.0046943796943797,-0.0028490028490029008,0.0,0.0978049728049728,0.0978049728049728,0.0978049728049728,0.0978049728049728
