,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,diff_TB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0085765405058523,0.0125974805038993,0.0066860465116279,0.0401162790697674,0.751453488372093,0.3191860465116279,0.0,0.0,0.0,-0.0867704058367533,0.0207133148379168,-0.1201436388508892,0.0931770921745034,-0.165045806906272,0.0324197120708748,0.1620985603543743,0.2553052325581395,-0.1656033940917662,0.0169356704847853,0.2450930232558139,0.015876319903021,-0.0389036544850498,0.0474585138680107,1.4655443396781704,0.0,0.0,-0.0324191102123356,-0.0254919499105545,-0.0042730059305657,-0.0764758497316636,0.0265825146126103,0.0138081395348837,0.0621366279069767,0.0338927061310782,-0.088766611295681,0.0331395348837209,0.035006550933508,0.0532599667774086,0.0237202065039081,0.0621366279069767,0.0255204007475083,0.5966298030193798,0.0,0.0
African,-0.0060625853858087,-0.0102887487553933,0.0,0.0005813953488371,0.6380813953488372,0.4107558139534883,-0.014639125891661,-0.022886229259292602,0.1990161001788909,0.2037172678996521,0.1134655119356398,0.1533161068044789,0.0291352398910538,-0.015218878248974,0.0667666916729182,0.0,-0.0597048300536672,-0.1254404510218464,-0.0067309510304405,0.0834583645911477,0.0458863536638876,0.0161700581395348,-0.0198683852933183,1.1378951904254504,1.9589149689739513,-0.32764914925272004,-0.0262758397932816,0.0343974630021141,0.0521474358974358,0.0429968287526427,0.0092738258093935,-0.2026993355481727,0.0591206395348837,-0.1439459049544995,0.2522480620155038,-0.0909548300536672,0.035695480473892,-0.0337832225913621,0.0942161586213286,-0.0844580564784053,0.0422976933257704,1.2045107768523529,1.4433056532267665,0.607880973832973
African American,0.0062086622573074,0.0104849279161205,-0.0017441860465116,-0.0063953488372092,0.6712209302325581,0.4078488372093023,-0.0023678782485448994,-0.0021125525877787998,0.3018410852713178,0.1108803986710963,0.0581004776146051,0.0272337821297429,0.0264123455457831,-0.2094407530454042,0.0827906976744186,0.0497540250447227,0.0958225667527993,0.0147840531561461,0.0182431425163983,-0.0178428227746591,0.0709086993970714,-0.0985603543743078,0.0502370738315646,1.2328522778000373,1.6797127576797366,-0.23269206187813318,0.1182412790697674,-0.0127828409805154,0.0368886441666126,-0.1289904862579281,0.0267211930101169,0.194750341997264,0.0591206395348837,-0.0262758397932816,-0.2364825581395349,0.1576550387596899,0.0471281966399073,0.4299682875264271,0.0413844476744186,0.0945930232558139,0.0135686713686618,1.6245514881748229,1.2244449830653596,1.0279216851554431
Black,0.0005711574354815,0.0010159160176093,-0.0122093023255814,0.0267441860465116,0.6360465116279069,0.4377906976744186,-0.008005383070370799,-0.01158156448629,0.0,0.1105215624294423,0.0822732558139534,0.1411205073995771,0.0289566004639846,-0.1164244186046511,0.1478405315614618,0.0646802325581395,0.2299741602067183,-0.1326774001192605,0.0611931243680485,-0.0646802325581395,0.0192772457820337,0.1533161068044789,0.0035200126562252,1.3564553913261141,1.4976440471931303,-0.10908894835205629,0.0,0.0105103359173126,0.0052261338815366,0.0315310077519379,0.050856464116029,0.0,-0.2026993355481727,0.1391073871409028,-0.0394137596899224,0.2441110277569392,0.0425668604651162,0.0,0.1005516388939754,-0.0815457097032879,0.0546537467700258,1.0027734076351584,1.1648518636500262,0.4061436046157786
Caucasian,0.0025213141097174,0.0049904030710172,0.0174418604651162,-0.0145348837209302,0.5427325581395349,0.4947674418604651,-0.0060552263961348995,-0.0076070774328821,0.0,-0.0535284683239775,-0.0185510526159068,0.5970483005366726,0.1122338683262364,-0.1168417104276069,0.2587209302325581,0.0215600775193798,-0.1108803986710963,0.1836084021005251,0.0181746108014606,0.1552325581395348,0.0545343137254902,0.0,0.0268800966475385,1.7277947880679836,2.1284357163637098,0.26225044838981315,0.0,-0.0549959437533802,0.0756744186046511,0.4729651162790698,0.0265710739482623,0.2837790697674419,0.0788275193798449,-0.064495243128964,-0.1576550387596899,-0.0727638640429338,0.0358306906272022,0.2149841437632135,-0.0240490737091052,0.0262758397932816,0.038609397247271,1.6274764328043114,1.510431914127562,1.0308466297849317
White,-0.0096193684362221,-0.0185902401239349,0.0055232558139534,-0.0470930232558139,0.5270348837209302,0.4825581395348837,-0.0181959089420744,-0.031187720627834203,0.1634026927784578,-0.0620930232558139,0.0133361304243586,-0.0940803382663847,0.0568111241460216,0.0,0.0517441860465116,0.2069767441860465,0.0,0.1168417104276069,-0.0288655583317316,0.0323401162790697,0.0732342308314897,-0.1509205426356589,0.0709634551495016,1.1216098527586533,1.4763192063308652,-0.3439344869195171,0.2758963178294574,-0.1397396934460888,0.030396215699169,0.0,-0.034737550913152,0.0,0.5589587737843552,-0.2128343023255814,-0.0315310077519379,0.0525516795865633,0.0932607271536193,0.1091457960644007,-0.0037095303237574,0.0525516795865633,0.0289570479354532,1.6242703224000987,1.5836246884231222,1.0276405193807188
European,0.0126456771501685,0.0209745079057761,0.0090116279069767,0.0290697674418605,0.6755813953488372,0.3970930232558139,0.0040691366443162,0.0083770274018768,0.0620930232558139,-0.0977390180878553,0.0172161802003181,0.332641196013289,0.0790993926825655,0.3184257602862254,0.0,-0.129360465116279,0.3234011627906977,0.0574935400516795,0.0581925496571711,-0.0940803382663847,0.0391866469199055,-0.0862403100775193,0.0359009435616822,1.731070526967386,2.1045992672209275,0.2655261872892156,-0.0675664451827242,-0.0131379198966408,-0.0263490315475804,-0.0525516795865633,0.0506748338870431,0.0859936575052854,-0.0472965116279069,0.270265780730897,-0.3009778012684989,0.0945930232558139,0.0554510825982357,0.2627583979328166,0.0414276014259039,0.1074920718816067,0.0769943212547323,1.5535301595822493,1.1537300126948504,0.9569003565628694
Roma,0.014336447306494,0.0240925152585929,0.0122093023255813,0.0267441860465116,0.688953488372093,0.4049418604651162,0.005759906800641701,0.011495034754693599,0.1774086378737541,-0.0953182374541003,0.0164114022908712,0.2723378212974296,0.0317247652293623,-0.0166916729182295,0.3606412966878083,0.0646802325581395,-0.0413953488372093,-0.0369601328903654,0.0558964972724662,0.3234011627906977,0.0511271344241511,0.129360465116279,0.0334862220948149,1.7068410297356782,1.9782862503477865,0.24129669005750776,0.0450442967884828,-0.0919654392764857,0.0179444759563874,0.3439746300211416,0.1209285808668076,0.3468410852713178,0.0278214774281805,0.0525516795865633,-0.1891860465116279,0.2593679669917479,0.0098193449746519,0.2364825581395349,0.0598951457296638,0.174250305997552,0.0040597864058289,1.9801328199459742,1.7717648902343874,1.3835030169265945
Native American,0.0136588849707628,0.0217530390275111,0.0061046511627906,0.0290697674418605,0.7034883720930233,0.3720930232558139,0.0050823444649105,0.0091555585236118,0.1528805496828753,0.0235200845665961,0.0674313374723771,-0.129360465116279,0.0675842429995254,0.0114987080103359,0.0191645133505598,0.2040615787749754,-0.0940803382663847,-0.1241860465116279,0.0539157944334129,0.1478405315614618,-0.0024679262025363,0.0229974160206718,0.0092400332225913,1.1302295661922106,1.2199608015229175,-0.33531477348595984,0.0,-0.0131379198966408,0.0398886242644998,0.0363819320214669,0.0601955602536997,0.3153100775193798,0.4729651162790698,0.0,-0.0337832225913621,-0.2001006261180679,0.0572270959198874,0.4204134366925064,0.0530047113071371,-0.0350344530577088,0.0291696547484888,1.7666124306699151,1.789331134679682,1.1699826276505352
South American,0.000609120056218,0.0009442870632672,-0.0162790697674418,0.0459302325581395,0.7061046511627908,0.3549418604651163,-0.0079674204496343,-0.0116531934406321,0.0272337821297429,-0.0488152698551996,0.0846390311105627,-0.0776162790697674,-0.0020615213564347,-0.2874677002583979,0.0,-0.1034883720930232,0.3171417854463616,0.0995080500894454,0.07913007174666,-0.0574935400516795,0.0053502112603483,0.0,0.0252773322641005,1.2152229467317235,1.4506490519368351,-0.25032139294644695,0.2225718194254446,-0.0346072036301758,0.0597703168924099,0.0630620155038759,-0.0258450883212606,0.3468410852713178,0.4729651162790698,-0.0788275193798449,-0.0394137596899224,0.0143322762508809,0.0809871774450461,0.0429968287526427,0.0330880945545028,0.2467644084934277,0.0064789741956036,1.7685516840854256,1.7141376039330913,1.1719218810660457
