,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0220558204370099,0.0266627600351596,0.2319347319347319,0.0052447552447552,0.9227855477855478,0.1727855477855477,0.0,0.0,0.2320164566464778,-0.2320164566464778,0.4640329132929556,0.0,0.0,0.0031387988705061,-0.0031387988705061,0.0062775977410122,0.0,0.0
chemical engineer,0.0391841491841492,0.0482352941176471,0.2068764568764568,0.0168997668997669,0.9006410256410257,0.1876456876456876,0.017128328747139297,0.021572534082487497,0.2049471929314109,-0.2049471929314109,0.4098943858628218,0.05413852743013381,-0.05413852743013381,0.0108204901894222,-0.0108204901894222,0.0216409803788444,0.015363382637832202,0.015363382637832202
chemist,0.0352749757617015,0.0430678466076697,0.2173659673659674,0.0116550116550117,0.8980186480186481,0.1809440559440559,0.0132191553246916,0.016405086572510098,0.2136529544002853,-0.2136529544002853,0.4273059088005706,0.036727004492384974,-0.036727004492384974,0.0082020252474797,-0.0082020252474797,0.0164040504949594,0.010126452753947201,0.010126452753947201
dentist,0.0290389719392962,0.035682689472132,0.2007575757575757,0.0198135198135198,0.9108391608391608,0.1861888111888112,0.006983151502286299,0.009019929436972395,0.1986715959306428,-0.1986715959306428,0.3973431918612856,0.06668972143167001,-0.06668972143167001,0.0075702599287504,-0.0075702599287504,0.0151405198575008,0.008862922116488599,0.008862922116488599
judge,0.0256089987272782,0.0316606929510154,0.2135780885780886,0.0017482517482516,0.8918997668997669,0.1911421911421911,0.0035531782902682996,0.004997932915855801,0.2125775425775425,-0.2125775425775425,0.425155085155085,0.03887782813787061,-0.03887782813787061,0.0054366365341975,-0.0054366365341975,0.010873273068395,0.004595675327382801,0.004595675327382801
lawyer,0.0244943480653512,0.0318547186662696,0.1832750582750583,0.0227272727272728,0.8703379953379954,0.231060606060606,0.0024385276283412985,0.005191958631109998,0.1918172455307733,-0.1918172455307733,0.3836344910615466,0.08039842223140897,-0.08039842223140897,0.0035951951274531,-0.0035951951274531,0.0071903902549062,0.0009127925138940002,0.0009127925138940002
optometrist,0.0308814063965668,0.039152193111569,0.2147435897435897,0.0198135198135198,0.9015151515151516,0.2112470862470862,0.0088255859595569,0.012489433076409397,0.21910668447425,-0.21910668447425,0.4382133689485,0.025819544344455603,-0.025819544344455603,0.008092155369383,-0.008092155369383,0.016184310738766,0.009906712997753801,0.009906712997753801
pharmacist,0.0249017781902795,0.030446349394029,0.233100233100233,0.0099067599067598,0.902972027972028,0.1821095571095571,0.002845957753269599,0.0037835893588694,0.2294450619468438,-0.2294450619468438,0.4588901238936876,0.0051427893992679885,-0.0051427893992679885,0.0047091992514527,-0.0047091992514527,0.0094183985029054,0.0031408007618931996,0.0031408007618931996
physician,0.0270887588827197,0.0331557134399052,0.2307692307692307,0.0227272727272728,0.8866550116550117,0.1829836829836829,0.0050329384457098,0.006492953404745597,0.2273126303083507,-0.2273126303083507,0.4546252606167014,0.009407652676254208,-0.009407652676254208,0.0055448283060223,-0.0055448283060223,0.0110896566120446,0.004812058871032401,0.004812058871032401
physics teacher,0.0297538999462077,0.0384615384615385,0.1873543123543123,0.0186480186480186,0.8951048951048951,0.2263986013986014,0.0076980795091977985,0.011798778426378897,0.1949049381252771,-0.1949049381252771,0.3898098762505542,0.07422303704240141,-0.07422303704240141,0.0072370811007174,-0.0072370811007174,0.0144741622014348,0.0081965644604226,0.0081965644604226
professor,0.0220032283899818,0.0272028385570668,0.2164918414918414,0.0192307692307691,0.8913170163170163,0.1911421911421911,-5.2592047028100775e-05,0.0005400785219071974,0.2154776454776454,-0.2154776454776454,0.4309552909552908,0.033077622337664814,-0.033077622337664814,0.0011501656238498,-0.0011501656238498,0.0023003312476996,0.003977266493312599,-0.003977266493312599
psychologist,0.0263015684997292,0.0341145060812815,0.1590909090909091,0.0303030303030303,0.8583916083916084,0.229020979020979,0.004245748062719299,0.007451746046121897,0.166065416065416,-0.166065416065416,0.332130832130832,0.1319020811621236,-0.1319020811621236,0.00506993006993,-0.00506993006993,0.01013986013986,0.003862262398847801,0.003862262398847801
scientist,0.031677176989677,0.0410714285714286,0.2170745920745921,0.0192307692307691,0.8825757575757576,0.2287296037296037,0.0096213565526671,0.014408668536268997,0.2266767573950938,-0.2266767573950938,0.4533535147901876,0.010679398502768,-0.010679398502768,0.0065097289417531,-0.0065097289417531,0.0130194578835062,0.006741860142494001,0.006741860142494001
bartender,0.0284618265783656,0.035314891112419,0.1771561771561771,0.0075757575757575,0.9227855477855478,0.194055944055944,0.0064060061413557,0.008652131077259397,0.176899986010615,-0.176899986010615,0.35379997202123,0.11023294127172562,-0.11023294127172562,0.0093277934187025,-0.0093277934187025,0.018655586837405,0.012377989096392802,0.012377989096392802
cashier,0.0240708028969545,0.0317979197622586,0.1978438228438228,-0.0046620046620046,0.9073426573426572,0.243006993006993,0.0020149824599445983,0.005135159727098996,0.2105759686684542,-0.2105759686684542,0.4211519373369084,0.042880975956047174,-0.042880975956047174,0.0062163931685844,-0.0062163931685844,0.0124327863371688,0.0061551885961566,0.0061551885961566
construction worker,0.0286012819140027,0.0347467608951708,0.1972610722610722,0.0069930069930069,0.9248251748251748,0.1768648018648018,0.006545461476992798,0.008084000860011199,0.1928619757823297,-0.1928619757823297,0.3857239515646594,0.07830896172829621,-0.07830896172829621,0.008032508032508,-0.008032508032508,0.016065016065016,0.009787418324003802,0.009787418324003802
farm worker,0.0311626089321804,0.0392909896602657,0.171037296037296,0.0023310023310023,0.9201631701631702,0.2068764568764568,0.0091067884951705,0.0126282296251061,0.1738700815807919,-0.1738700815807919,0.3477401631615838,0.1162927501313718,-0.1162927501313718,0.0081828963987554,-0.0081828963987554,0.0163657927975108,0.010088195056498602,0.010088195056498602
janitor,0.0428166874447865,0.0566706021251475,0.1978438228438228,0.0145687645687645,0.9198717948717948,0.2444638694638694,0.020760867007776598,0.030007842089987895,0.2107383874641877,-0.2107383874641877,0.4214767749283754,0.04255613836458022,-0.04255613836458022,0.0176906426906426,-0.0176906426906426,0.0353812853812852,0.029103687640273004,0.029103687640273004
line cook,0.0296482928835869,0.036470588235294,0.1786130536130536,0.0104895104895105,0.9213286713286714,0.187062937062937,0.0075924724465770005,0.009807828200134396,0.1768839204299943,-0.1768839204299943,0.3537678408599886,0.11026507243296702,-0.11026507243296702,0.0087412587412587,-0.0087412587412587,0.0174825174825174,0.011204919741505202,0.011204919741505202
parking attendant,0.0293314917241478,0.0393840687000295,0.1663752913752914,-0.0005827505827505,0.9117132867132868,0.2552447552447552,0.007275671287137898,0.0127213086648699,0.1798546202655791,-0.1798546202655791,0.3597092405311582,0.10432367276179738,-0.10432367276179738,0.0095871870065418,-0.0095871870065418,0.0191743740130836,0.012896776272071402,0.012896776272071402
receptionist,0.0298247610377788,0.0390532544378698,0.217074592074592,-0.0029137529137529,0.916958041958042,0.2363053613053613,0.007768940600768898,0.012390494402710197,0.2289270803016507,-0.2289270803016507,0.4578541606033014,0.006178752689654177,-0.006178752689654177,0.0105232750082535,-0.0105232750082535,0.021046550016507,0.014768952275494802,0.014768952275494802
sales clerk,0.0161090400356947,0.020870602265951,0.1952214452214452,0.0116550116550117,0.9067599067599068,0.2281468531468531,-0.005946780401315202,-0.005792157769208602,0.2037799061608585,-0.2037799061608585,0.407559812321717,0.05647310097123859,-0.05647310097123859,0.0006140553661214,-0.0006140553661214,0.0012281107322428,0.0050494870087694,-0.0050494870087694
server,0.0206753645088462,0.0270109824873849,0.201048951048951,0.0087412587412587,0.9117132867132868,0.2345571095571095,-0.0013804559281637013,0.0003482224522252976,0.2116224096025925,-0.2116224096025925,0.423244819205185,0.04078809408777062,-0.04078809408777062,0.0006191724941724,-0.0006191724941724,0.0012383449883448,0.0050392527526674,-0.0050392527526674
taxi driver,0.0336647029945999,0.0421207658321061,0.2103729603729603,-0.0005827505827505,0.9216200466200466,0.2007575757575757,0.01160888255759,0.015458005796946495,0.2120620863321593,-0.2120620863321593,0.4241241726643186,0.039908740628636974,-0.039908740628636974,0.0121699421268386,-0.0121699421268386,0.0243398842536772,0.018062286512665,0.018062286512665
truck driver,0.0432778358872981,0.0537760799294739,0.1564685314685314,0.0157342657342657,0.9256993006993008,0.1952214452214452,0.021222015450288196,0.027113319894314297,0.1565252024324823,-0.1565252024324823,0.3130504048649646,0.150982508427991,-0.150982508427991,0.0190683210594714,-0.0190683210594714,0.0381366421189428,0.0318590443779306,0.0318590443779306
