,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0869183829138062,0.1212814645308923,0.0016666666666666,0.0099999999999999,0.405,0.2833333333333333,0.0,0.0,0.0179166666666666,-0.0204761904761904,-0.1223577235772357,0.0341269841269841,-0.0873983739837398,0.0247126436781609,0.0179166666666666,0.2239583333333333,0.0086345381526104,-0.0217171717171717,0.5792152923787595,0.0,0.0,-0.0116666666666666,0.0,0.0495833333333333,-0.0283333333333333,-0.0145121951219512,-0.0132222222222222,-0.0495833333333333,0.0349999999999999,0.0457692307692307,0.074375,0.3220453147800705,0.0,0.0
Atheist,0.0127884615384614,0.0192307692307691,-0.02,-0.0433333333333333,0.3883333333333333,0.335,-0.0741299213753448,-0.1020506953001232,0.1402777777777777,-0.1346666666666666,-0.0336666666666666,-0.032063492063492,0.0,-0.093953488372093,0.0347079037800687,0.0918181818181818,0.1054618473895582,-0.1520430107526881,0.8186590352871927,0.9735821633376441,0.2394437429084333,0.011030303030303,0.0577777777777777,-0.1654545454545454,-0.1427450980392157,-0.0319298245614035,0.0141085271317829,-0.0123809523809523,0.0,0.133170731707317,0.0606666666666666,0.6292644267499642,0.6279849849857664,0.3072191119698937
Christian,0.0341407407407408,0.0488888888888889,0.0216666666666666,-0.0566666666666667,0.4383333333333333,0.3016666666666667,-0.0527776421730654,-0.0723925756420034,-0.0801587301587301,0.1242071197411003,-0.0708771929824561,0.0567871485943775,-0.0577142857142857,0.0299259259259259,0.0,0.0137414965986394,-0.0892369477911646,0.0469767441860465,0.5696255916927261,0.7464956778704331,-0.009589700686033376,-0.0791304347826087,0.0827272727272727,-0.1213333333333333,0.091,-0.0275757575757575,0.0,0.0134814814814814,-0.0466666666666666,0.0263768115942029,-0.0551515151515151,0.5434432733128381,0.7603772413272674,0.22139795853276767
Protestant,-0.0260393873085339,-0.037199124726477,0.0433333333333333,-0.0433333333333333,0.4516666666666666,0.3,-0.1129577702223401,-0.1584805892573693,-0.0429787234042553,-0.024047619047619,0.1101818181818181,0.0221978021978021,0.0140277777777777,0.0517948717948718,-0.0412244897959183,0.0143262411347517,-0.0415637860082304,-0.0172649572649572,0.37960808660800155,0.7608677094830365,-0.1996072057707579,-0.0387234042553191,0.1444444444444444,-0.1654545454545454,0.1103030303030303,0.0,0.0943703703703703,-0.1166666666666666,-0.0551515151515151,-0.0551515151515151,0.0,0.7802654917974062,0.979810806577477,0.45822017701733575
Catholic,0.0215935672514619,0.0307017543859648,-0.025,-0.1099999999999999,0.435,0.2966666666666667,-0.0653248156623443,-0.0905797101449275,-0.1146099290780141,-0.0122424242424242,-0.1035897435897436,0.2473469387755102,-0.0347079037800687,0.0313178294573643,0.0129487179487179,0.0149629629629629,-0.0985365853658536,0.0,0.6702630352006594,0.7748955669212944,0.09104774282189998,0.0343396226415094,0.0674074074074074,-0.0866666666666666,-0.0303333333333333,0.0,-0.0263768115942029,0.0356862745098039,0.0,-0.0739837398373983,0.0,0.3547938559903218,0.5937280596592813,0.032748541210251336
Mormon,0.0306567957479119,0.0432801822323463,0.0033333333333333,-0.0666666666666667,0.3933333333333333,0.2916666666666667,-0.0562615871658943,-0.078001282298546,-0.0448888888888888,-0.0181981981981982,-0.0429787234042553,0.0731884057971014,0.0064126984126984,-0.0069415807560137,0.032063492063492,0.0,-0.0439130434782608,0.0492682926829268,0.3178533236818354,0.6706274712683864,-0.2613619686969241,0.0572327044025157,0.0263768115942029,-0.0466666666666666,0.0866666666666666,-0.0263768115942029,-0.0551515151515151,0.0449382716049382,-0.1572839506172839,0.0,-0.0319298245614035,0.5326232228593955,0.7991997029511191,0.21057790807932497
Jewish,0.03125,0.0441176470588235,0.0066666666666666,-0.0333333333333333,0.36,0.2916666666666667,-0.0556683829138062,-0.0771638174720688,0.092140350877193,-0.0824489795918367,-0.0492682926829268,0.0378277153558052,0.0153030303030303,-0.0068013468013468,-0.0066666666666666,-0.0538666666666666,0.0081124497991967,0.0,0.3524354987446687,0.671849623619499,-0.2267797936340908,-0.0275757575757575,0.0674074074074074,0.0242666666666666,0.0606666666666666,-0.0275757575757575,0.0791304347826087,-0.0242666666666666,0.0,-0.0987596899224806,-0.0957894736842105,0.5054385209482221,0.6780594454843906,0.18339320616815158
Muslim,0.026863711001642,0.0394088669950738,0.0116666666666666,0.0166666666666666,0.3616666666666667,0.3183333333333333,-0.060054671912164195,-0.08187259753581849,0.0153030303030303,-0.0208247422680412,-0.0909909909909909,-0.0181981981981982,0.0,0.057304964539007,0.0132026143790849,0.0156589147286821,-0.0459090909090909,0.0492682926829268,0.32666083899905235,0.5451873622655328,-0.2525544533797071,-0.0674074074074074,0.0551515151515151,0.0,0.0,-0.0404444444444444,0.0387234042553191,0.0308474576271186,-0.1318840579710145,0.0,0.1070588235294117,0.4715171103862308,0.5924547015890657,0.1494717956061603
Sikh,0.0247094801223241,0.036697247706422,0.0166666666666666,-0.1,0.3933333333333333,0.3266666666666666,-0.0622089027914821,-0.08458421682447029,-0.0226966292134831,-0.0999999999999999,0.0,0.0,-0.0217204301075268,0.0496140350877192,-0.0404,0.1683333333333333,0.0841666666666666,-0.032063492063492,0.5189945864722209,0.5670212639209934,-0.06022070590653861,-0.0866666666666666,0.0404444444444444,0.0866666666666666,0.0303333333333333,-0.0423255813953488,-0.0371428571428571,-0.0308474576271186,0.1654545454545454,0.0242666666666666,0.0,0.5441482193976473,0.5079964509018011,0.22210290461757687
Hindu,0.0063862928348908,0.0093457943925232,0.035,-0.0666666666666667,0.41,0.3166666666666666,-0.0805320900789154,-0.1119356701383691,-0.0813919413919413,-0.0068013468013468,0.1063157894736842,-0.0072401433691756,-0.0156589147286821,0.0286524822695035,-0.0274829931972789,0.0612121212121212,0.0517948717948718,-0.0336666666666666,0.42021727090527206,0.7219590907038453,-0.1589980214734874,-0.0141085271317829,-0.0275757575757575,0.0606666666666666,-0.0577777777777777,0.052,-0.0645390070921985,0.14,-0.1654545454545454,-0.0303333333333333,0.0957894736842105,0.7082450887162725,0.675929292385232,0.386199773936202
Buddhist,0.0897826086956521,0.1350114416475971,0.03,-0.0833333333333333,0.4283333333333333,0.335,0.0028642257818459055,0.013729977116704803,-0.035438596491228,-0.0588349514563106,0.153030303030303,0.0072401433691756,-0.1109890109890109,0.0077394636015325,-0.0292753623188405,0.0641269841269841,0.032063492063492,0.1786394557823129,0.6773777632291901,0.865361668187484,0.09816247085043062,0.1572839506172839,-0.0337037037037037,0.0551515151515151,-0.0319298245614035,-0.1923577235772358,-0.0141085271317829,0.0,0.0288888888888888,-0.0404444444444444,0.1213333333333333,0.6752019114095914,0.5794172803902043,0.3531565966295209
