,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a,TB_African_std,TB_African American_std,TB_Arab_std,TB_Asian_std,TB_Black_std,TB_Caucasian_std,TB_European_std,TB_Hispanic_std,TB_Jewish_std,TB_Latino_std,TB_Middle Eastern_std,TB_Native American_std,TB_Roma_std,TB_South American_std,TB_White_std,TB_std,BAmt_African_std,BAmt_African American_std,BAmt_Arab_std,BAmt_Asian_std,BAmt_Black_std,BAmt_Caucasian_std,BAmt_European_std,BAmt_Hispanic_std,BAmt_Jewish_std,BAmt_Latino_std,BAmt_Middle Eastern_std,BAmt_Native American_std,BAmt_Roma_std,BAmt_South American_std,BAmt_White_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.0,-0.023846153846153822,-0.025862068965517203,0.03178294573643406,-0.018171296296296262,0.03125,0.0760869565217391,-0.00609756097560976,0.05714285714285712,-0.00357142857142856,-0.03571428571428568,-0.058333333333333307,0.00714285714285714,0.02058823529411762,0.04281914893617019,0.03654133287485636,0.176,0.23769230769230765,0.3867816091954023,0.4174418604651162,0.38460648148148147,0.2875,0.2891304347826087,0.17682926829268286,0.219047619047619,0.35459183673469385,0.20357142857142857,0.21166666666666661,0.17857142857142852,0.2617647058823529,0.39069148936170206,0.27839247578303267,0.0,0.05144169245310422,0.00867507683098412,0.6420348837209302,0.026832815729997475,0.02412982637132016,0.011840258345105315,0.011999864791017592,0.009729109112809041,0.04739297152532219,0.04957284456952772,0.04224514164802135,0.033162829231390745,0.01249045171903298,0.024614372771589673,0.02527625148017184,0.025643641938735726,0.053104323780199365,0.0029615767887393794,0.005151013810133565,0.019595917942265423,0.015073783032511855,0.011564282201369023,0.009755591433064481,0.003597284784240781,0.021194781197266463,0.023413760031019568,0.018088288992916268,0.0121405226514114,0.011242512844243824,0.020671137326411123,0.02392116682401223,0.015058465048420847,0.017149858514250875,0.0054763990111632915,0.006963802550149229,0.0,0.006175868373918691,0.002142863988324237,0.0054867212732111845
African,0.128,0.015384615384615377,-0.00842911877394636,0.005813953488372079,0.012962962962962937,-0.040625,-0.01956521739130434,-0.008536585365853642,-0.042857142857142844,-0.007823129251700662,-0.08214285714285707,-0.02166666666666666,0.007142857142857143,0.01470588235294116,-0.01010638297872338,0.04403821669156956,0.44800000000000006,0.45076923076923076,0.5134099616858238,0.541860465116279,0.554861111111111,0.446875,0.4891304347826087,0.2939024390243902,0.38095238095238093,0.49523809523809526,0.36785714285714277,0.3583333333333333,0.30238095238095236,0.36176470588235293,0.5356382978723404,0.43606490340040266,0.05897873309618584,0.0,0.010453425339010298,0.4928488372093023,0.11478675881825395,0.054501506412056415,0.01409576409130045,0.03158974175499991,0.0209762331623615,0.03644344934278313,0.049286017603280996,0.0390624814098706,0.03247186118329965,0.011375504427340574,0.04601463830973261,0.05492419017761358,0.04616837959444121,0.04650408323777024,0.031193078534884542,0.017294564354238193,0.15942396306703704,0.1335097452286009,0.09062132919446746,0.09351332473252089,0.09765075859045941,0.14644218142324977,0.14566839624131267,0.14405737834970442,0.13862787264771084,0.10682194679420981,0.12757550785351252,0.15767406607020418,0.13586040588273438,0.11713122206905811,0.09553167796018575,0.12310881998440648,0.020525665299027083,0.0,0.0011418686848623729,0.10276491310823876
African American,0.002,0.05769230769230762,-0.028352490421455878,0.0019379844961240414,0.028587962962962937,0.0125,0.013043478260869563,-0.07439024390243901,-0.030952380952380943,-0.01649659863945576,-0.07678571428571423,-0.013333333333333341,-0.04047619047619046,0.02352941176470588,0.00957446808510638,0.0409173273299457,0.518,0.5792307692307692,0.5800766283524903,0.608139534883721,0.6413194444444443,0.51875,0.5434782608695652,0.35,0.43571428571428567,0.5658163265306122,0.4625,0.39666666666666667,0.3928571428571429,0.4705882352941176,0.6127659574468085,0.5117268834860415,0.053429832568987826,0.0,0.00674701772154816,0.4169186046511627,0.06462197768561405,0.023204774044612863,0.01194210526858903,0.031231027531995827,0.019708578570586388,0.03617449032121946,0.05253498249388942,0.06258842644076264,0.03883215816738115,0.012176205659638577,0.035083719114979456,0.05286250509051234,0.024513405097588085,0.03789440801977974,0.0282766677872383,0.007492934126619166,0.15497096502248414,0.15679104551173426,0.13485637592630967,0.1291672118599542,0.12896261095373915,0.193497819755159,0.18675418778186553,0.17040910287846409,0.1484233083381781,0.14476635619210854,0.14653741599234743,0.19597335419784898,0.14696475582867588,0.15756582630563382,0.12330907004023434,0.15250387879521024,0.01116207081774588,0.0,0.00799229629306606,0.13707909174336366
Arab,0.001999999999999999,-0.02999999999999996,0.05957854406130263,-0.007170542635658919,-0.03159722222222216,-0.003125,-0.01304347826086956,-0.0439024390243902,0.05714285714285712,0.01122448979591838,0.019642857142857097,-0.026666666666666637,-0.004761904761904759,0.035294117647058774,-0.003989361702127641,0.04230864155426432,0.322,0.34076923076923077,0.5657088122605364,0.5331395348837209,0.5320601851851852,0.403125,0.4130434782608695,0.30487804878048774,0.33333333333333326,0.5166666666666667,0.4553571428571428,0.3333333333333333,0.26190476190476186,0.3176470588235294,0.5273936170212765,0.410690680272005,0.05069844421309126,0.0,0.01747718480765258,0.496860465116279,0.0331058907144937,0.015651530730289093,0.04367816091954024,0.038402423217915184,0.01753997369717719,0.07221387505182089,0.03790346907426671,0.0343634214722082,0.06135285107964343,0.01683931128501571,0.044963136828622026,0.05878397362849465,0.04738035414793426,0.08033235461028033,0.01764162122529464,0.006378521631307607,0.12828094168659662,0.1511024575006042,0.07989585270279237,0.07532604449982212,0.0902084551030836,0.16458992602829614,0.1649883996609589,0.1415369867556503,0.17366269075057592,0.08976241386899263,0.16434393378347914,0.14586904324694044,0.12598815766974242,0.1814493742963198,0.09273337803857114,0.12574435629010744,0.012200750343750295,0.0,0.006285153304490227,0.09480727512116616
Asian,0.036,-0.06769230769230766,0.0065134099616858,0.026356589147286773,-0.034722222222222175,0.071875,0.01956521739130434,0.0048780487804878205,0.019047619047619042,0.007823129251700681,-0.01964285714285712,0.01666666666666666,-0.03333333333333332,0.02941176470588236,0.030585106382978705,0.03795498616362552,0.328,0.31384615384615383,0.542911877394636,0.603875968992248,0.5527777777777778,0.371875,0.458695652173913,0.3024390243902439,0.3380952380952381,0.5289115646258503,0.32678571428571423,0.2966666666666667,0.27142857142857146,0.3117647058823529,0.5534574468085106,0.40676875749119173,0.0458586028423952,0.0,0.01526571779964544,0.48284883720930233,0.06468384651518491,0.017303418275695388,0.009586203833867234,0.027892168767253478,0.014529958172662259,0.06889189901577689,0.044232586846469114,0.02228739863719151,0.03809523809523808,0.014936969396290058,0.021428571428571404,0.054518090779320384,0.04012452272941121,0.04460514967089143,0.0370053768743108,0.011827841952115904,0.17313578486263317,0.12964676634482108,0.07535922203472521,0.06237601126108094,0.08853402593514725,0.19749406636656203,0.11694763179402408,0.1620896411091955,0.16141382149217423,0.09079944555074979,0.14458773199997974,0.14108704956712206,0.1612029607601025,0.15985503813766114,0.06854482429754259,0.12622258611869377,0.009812331909048467,0.0,0.004240601100587763,0.08947238078122711
Black,-0.030000000000000006,0.02076923076923076,-0.02988505747126432,0.0325581395348837,-0.014583333333333299,0.046875,0.010869565217391302,-0.01219512195121952,-0.02857142857142856,0.0005102040816326606,-0.06785714285714281,-0.0333333333333333,-0.01666666666666666,0.0264705882352941,0.04175531914893612,0.039466405068488426,0.41400000000000003,0.5146153846153847,0.6199233716475095,0.6298449612403101,0.6409722222222222,0.484375,0.5760869565217391,0.40731707317073174,0.4523809523809524,0.6236394557823128,0.4357142857142858,0.45,0.38809523809523805,0.5088235294117647,0.6321808510638298,0.5185312854577521,0.04429182983954934,0.0,0.00999150019919506,0.3971511627906976,0.016733200530681513,0.03926845851723142,0.02797459668394145,0.026192202818630522,0.016762040642946,0.04739297152532219,0.025722086013476583,0.034276754445256546,0.07166627115853526,0.013622438363605952,0.03416272583876606,0.05270462766947298,0.02672612419124243,0.06537091403203782,0.015011878501776668,0.00418053613499899,0.10248902380255168,0.1024377426745648,0.049654935905969054,0.05345817032972136,0.06600125254714105,0.1165084492644203,0.12220408106569737,0.1244500095542334,0.11928547666547953,0.06088245351042165,0.1145365550773184,0.0921954445729289,0.11333933557535146,0.10949712040580172,0.05193053261129614,0.08923605701255141,0.009561201165349788,0.0,0.002728921508347369,0.0645203210051439
Caucasian,-0.012,-0.07999999999999997,-0.054789272030651294,0.04127906976744182,-0.037962962962962914,0.259375,0.17173913043478256,-0.01585365853658532,0.06428571428571427,0.0028911564625850004,-0.0428571428571428,-0.03,-0.02142857142857142,0.058823529411764684,0.09281914893617019,0.07044832653424385,0.28400000000000003,0.32307692307692304,0.5613026819923372,0.5784883720930232,0.5574074074074075,0.509375,0.49347826086956514,0.2792682926829268,0.3071428571428571,0.5491496598639455,0.2857142857142857,0.26999999999999996,0.2452380952380952,0.32352941176470584,0.613563829787234,0.41204900517555376,0.0576046461183766,0.0,0.017240948385229018,0.4734883720930232,0.0354400902933387,0.02658023468180151,0.01535437924100682,0.010887265042781522,0.009804545640994177,0.05284854539152426,0.050235739166484085,0.02901311525212269,0.06144518047887588,0.008944349518574594,0.024222607082590258,0.023333333333333317,0.04219058368254606,0.02460764783923752,0.028413915800823034,0.010449929782573815,0.17304334717058614,0.1439715619519618,0.078544061302682,0.09603099398517599,0.10264344115266114,0.19329583867740144,0.14098626406166054,0.16930589306147042,0.18217008822274833,0.08893663539023504,0.18385053823191075,0.13494854986664775,0.12013786487183678,0.14197080454290786,0.09514662507184499,0.13259149750278204,0.004846278863122822,0.0,0.005545710533224114,0.1024029173926965
European,0.032,-0.04461538461538456,-0.01264367816091952,0.024031007751937963,-0.05196759259259254,0.11875,0.20434782608695645,-0.02926829268292678,0.0714285714285714,0.00867346938775512,-0.03571428571428568,-0.013333333333333317,0.02857142857142856,0.05588235294117644,0.06409574468085104,0.05926793054573115,0.23600000000000004,0.2907692307692308,0.5402298850574713,0.5449612403100774,0.5383101851851853,0.34375,0.5521739130434782,0.27317073170731704,0.31904761904761897,0.5297619047619048,0.2571428571428571,0.2966666666666667,0.2285714285714285,0.3147058823529411,0.5507978723404255,0.3877372944637735,0.04467691271385006,0.0,0.01494617397822566,0.4996511627906977,0.02925747767665559,0.017642069140276474,0.024722294590039225,0.033991607217315756,0.006851226197661437,0.05284854539152426,0.039729710614124066,0.03142463104079299,0.021295885499997988,0.015756782070612832,0.03702935955951376,0.039299420408505294,0.03158690276528951,0.07692174606248246,0.009380421323695967,0.007747274470464962,0.1492112596287559,0.11888535574515009,0.08512087312894337,0.08372362183442457,0.09135193115522383,0.17483250913374207,0.12092116508846415,0.12258372559150305,0.13685817012571352,0.09352195295828247,0.15602279399144844,0.11827463332806779,0.12289036095775184,0.09825466522641216,0.07749545467767392,0.11296421319782564,0.004797024610754531,0.0,0.0051800829232080264,0.09318180529056788
Hispanic,-0.018,-0.033846153846153845,-0.028352490421455878,0.00019379844961240066,-0.0313657407407407,-0.01875,-0.03695652173913042,0.09146341463414634,-0.009523809523809521,0.07142857142857141,-0.042857142857142816,-0.01999999999999998,-0.04523809523809522,0.0441176470588235,0.011436170212765941,0.045008950589454796,0.362,0.4184615384615385,0.6134099616858238,0.6288759689922481,0.6188657407407407,0.45,0.5369565217391303,0.5134146341463415,0.4095238095238095,0.6517006802721089,0.3714285714285714,0.4033333333333333,0.3833333333333333,0.4382352941176471,0.6337765957446809,0.4955543989012871,0.05335251536908135,0.0,0.0132060830213794,0.40470930232558133,0.029257477676655586,0.019215378456610435,0.01984955378848828,0.036066302810595564,0.0187928180507359,0.04352621336620038,0.03611575592573075,0.028600096096484343,0.013883218797250711,0.020429410708088777,0.015361295119718987,0.06616477747093068,0.05899767473030411,0.060989533392140347,0.022717187770279337,0.0059415378379562775,0.23810921863716242,0.17649446410011893,0.12328832768680417,0.12068991974212318,0.13273681828592024,0.2085571714182948,0.18896794619218027,0.1703567310789754,0.19086270308410558,0.11012558092667016,0.18355544677512659,0.196468827043885,0.2016654016939019,0.1677760081994313,0.11786926795288971,0.16646301422890677,0.006173088547799577,0.0,0.006253255413759321,0.1325502853650325
Jewish,-0.010000000000000002,-0.03999999999999996,-0.0122605363984674,0.017635658914728618,-0.01770833333333328,0.04375,0.0434782608695652,-0.02073170731707314,0.17619047619047615,-0.00357142857142856,0.01785714285714286,-0.006666666666666661,0.009523809523809521,0.020588235294117636,0.025531914893617003,0.04228890138126592,0.22599999999999998,0.2569230769230769,0.4812260536398467,0.47848837209302325,0.4734953703703704,0.26875,0.40434782608695646,0.23536585365853657,0.40476190476190477,0.4501700680272108,0.2214285714285714,0.2533333333333333,0.20476190476190476,0.22647058823529406,0.4957446808510638,0.3387511736114062,0.043223706386951596,0.0,0.0104083912033489,0.5609302325581396,0.04049691346263318,0.030922694218833507,0.018388808959412178,0.00546085379984703,0.009435532741754064,0.04122158111960287,0.027498066610159806,0.0317073170731707,0.042190583682546086,0.022609455282791575,0.07512744274272366,0.03922867431979937,0.013883218797250711,0.051449575542752625,0.021514625974634757,0.014664135857041523,0.180066654325558,0.17114995674059547,0.1493498679891069,0.14208929102716325,0.15571814488502447,0.19946216746541184,0.19762292482371327,0.20170304062473507,0.1855004874360234,0.1646769682260719,0.16282346142935525,0.1893409622876149,0.16312564888533945,0.198305974482795,0.14599198617445278,0.1718829341933307,0.018382873549074925,0.0,0.006189766023275516,0.15694859782117002
