,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.01,0.0,0.0019157088122605,0.0067829457364341,-0.0109953703703703,0.0,0.0217391304347826,-0.0060975609756097,0.0476190476190476,-0.0017006802721088,-0.0089285714285714,-0.0416666666666666,0.0,0.0147058823529411,0.014627659574468,0.012451948282884045,0.03,0.0384615384615384,0.0153256704980842,0.0222868217054263,0.0295138888888888,0.03125,0.0434782608695652,0.0304878048780487,0.0476190476190476,0.0085034013605442,0.0446428571428571,0.0416666666666666,0.0238095238095238,0.0441176470588235,0.0172872340425531,0.0312300242001045,0.0,0.017981783047936305,0.0279531109107304,0.9444767441860464
African,0.02,0.0153846153846153,-0.0009578544061302,0.0106589147286821,-0.0144675925925925,0.0625,0.0108695652173913,0.0,0.0357142857142857,0.0093537414965986,-0.0446428571428571,-0.0166666666666666,-0.0357142857142857,0.0588235294117647,-0.0053191489361702,0.022738203827469335,0.12,0.1307692307692307,0.0335249042145593,0.0610465116279069,0.0677083333333333,0.125,0.1630434782608695,0.073170731707317,0.1071428571428571,0.0501700680272108,0.0982142857142857,0.0666666666666666,0.1547619047619047,0.2058823529411764,0.0585106382978723,0.10104079756434604,0.019901713778798645,0.0,0.0180064308681671,0.8380813953488372
African American,0.03,0.0,-0.0019157088122605,0.001937984496124,-0.0017361111111111,0.0,0.0108695652173913,-0.0121951219512195,0.0238095238095238,0.0025510204081632,-0.0535714285714285,0.0,0.0,0.0147058823529411,0.0013297872340425,0.010308142264280366,0.15,0.1076923076923077,0.0306513409961685,0.0523255813953488,0.0596064814814814,0.09375,0.0760869565217391,0.073170731707317,0.1428571428571428,0.0433673469387755,0.0714285714285714,0.1,0.119047619047619,0.0735294117647058,0.0625,0.08373423278874514,0.012171425663789094,0.0,0.014474512271869,0.8654069767441861
Arab,0.02,0.0,0.0019157088122605,0.0087209302325581,-0.0185185185185185,-0.03125,0.0434782608695652,-0.0060975609756097,0.0,0.0093537414965986,0.0,-0.0083333333333333,0.0,0.0147058823529411,0.0093085106382978,0.011445496481978852,0.06,0.0615384615384615,0.0459770114942528,0.0532945736434108,0.0636574074074074,0.0625,0.0869565217391304,0.0426829268292682,0.0952380952380952,0.048469387755102,0.0535714285714285,0.0416666666666666,0.119047619047619,0.0441176470588235,0.0704787234042553,0.06327976469292809,0.011913652410992313,0.0,0.0337373075663283,0.8299418604651163
Asian,0.01,-0.0307692307692307,-0.0009578544061302,0.00484496124031,-0.0098379629629629,0.015625,0.0326086956521739,0.0182926829268292,-0.0119047619047619,0.0068027210884353,0.0089285714285714,0.025,0.0357142857142857,0.0147058823529411,-0.0026595744680851,0.015243478994314491,0.09,0.0846153846153846,0.0239463601532567,0.0397286821705426,0.0596064814814814,0.109375,0.1195652173913043,0.0670731707317073,0.0595238095238095,0.0459183673469387,0.0446428571428571,0.075,0.1071428571428571,0.1323529411764706,0.0611702127659574,0.07464408944283782,0.019545035678398992,0.0,0.0278481012658227,0.8654069767441861
Black,0.01,0.0192307692307692,0.0047892720306513,0.0087209302325581,-0.0063657407407407,0.015625,0.0326086956521739,-0.0182926829268292,-0.0238095238095238,0.0017006802721088,-0.0446428571428571,0.0,-0.0714285714285714,-0.0294117647058823,0.0039893617021276,0.019374389991652894,0.15,0.1038461538461538,0.0545977011494252,0.0765503875968992,0.0746527777777777,0.078125,0.1413043478260869,0.1280487804878048,0.119047619047619,0.0510204081632653,0.0625,0.1166666666666666,0.0952380952380952,0.1176470588235294,0.0757978723404255,0.0963361912642499,0.02305046896380006,0.0,0.0179640718562874,0.8482558139534884
Caucasian,-0.01,0.0076923076923076,0.003831417624521,0.00484496124031,-0.0185185185185185,0.015625,0.0978260869565217,-0.0121951219512195,0.0476190476190476,0.0025510204081632,-0.0267857142857142,0.0166666666666666,-0.0238095238095238,0.0588235294117647,0.0079787234042553,0.023651175972568914,0.17,0.1384615384615384,0.0881226053639846,0.1036821705426356,0.1145833333333333,0.171875,0.1195652173913043,0.1341463414634146,0.119047619047619,0.0892857142857142,0.0982142857142857,0.1333333333333333,0.119047619047619,0.1176470588235294,0.101063829787234,0.12120504443970302,0.01945979670369983,0.0,0.0382372002592352,0.7909883720930233
European,0.04,-0.0076923076923076,0.0114942528735632,-0.001937984496124,-0.0075231481481481,0.046875,0.0652173913043478,0.0121951219512195,0.0238095238095238,-0.0187074829931972,-0.0089285714285714,-0.0166666666666666,-0.0119047619047619,-0.0147058823529411,0.0199468085106383,0.020506993608800702,0.16,0.123076923076923,0.0478927203065134,0.0794573643410852,0.0769675925925925,0.109375,0.1739130434782608,0.1219512195121951,0.0952380952380952,0.0799319727891156,0.1160714285714285,0.1333333333333333,0.1547619047619047,0.1029411764705882,0.0678191489361702,0.10951539489388037,0.01870413000548077,0.0,0.0310679611650486,0.8171511627906977
Hispanic,-0.02,-0.0038461538461538,-0.0028735632183908,0.003875968992248,-0.0109953703703703,-0.03125,0.0217391304347826,0.024390243902439,0.0119047619047619,0.0085034013605442,0.0089285714285714,0.0,-0.0119047619047619,-0.0147058823529411,0.0093085106382978,0.012281754690284186,0.1,0.0884615384615384,0.0258620689655172,0.0348837209302325,0.0572916666666666,0.09375,0.108695652173913,0.024390243902439,0.0595238095238095,0.042517006802721,0.0267857142857142,0.0666666666666666,0.1071428571428571,0.0441176470588235,0.0545212765957446,0.06230732461177621,0.01702387066110682,0.0,0.0100882723833544,0.873546511627907
Jewish,0.0,-0.0269230769230769,0.0028735632183908,-0.003875968992248,-0.0017361111111111,0.015625,0.0108695652173913,-0.0121951219512195,0.0476190476190476,0.0017006802721088,0.0089285714285714,-0.0333333333333333,-0.0357142857142857,0.0588235294117647,0.0093085106382978,0.017968424388723127,0.1,0.0653846153846153,0.0392720306513409,0.0484496124031007,0.0572916666666666,0.109375,0.0760869565217391,0.0609756097560975,0.0714285714285714,0.0527210884353741,0.0267857142857142,0.1,0.0595238095238095,0.1176470588235294,0.0625,0.06982944892537057,0.013675609996941517,0.0,0.0259782966129562,0.8281976744186047
