,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.03,-0.0653846153846153,-0.0296934865900383,0.0416666666666666,-0.0081018518518518,0.0625,0.0217391304347826,-0.048780487804878,0.119047619047619,-0.026360544217687,-0.0089285714285714,-0.0166666666666666,0.0476190476190476,0.1176470588235294,0.0398936170212766,0.045601957570482014,0.17,0.2423076923076923,0.3783524904214559,0.4021317829457364,0.380787037037037,0.25,0.2826086956521739,0.1585365853658536,0.2142857142857142,0.3477891156462585,0.2232142857142857,0.1833333333333333,0.1904761904761904,0.2352941176470588,0.3803191489361702,0.2692957459845973,0.0,0.04602710361937832,0.0071342925659472,0.65
African,0.02,-0.0307692307692307,-0.0277777777777777,0.0474806201550387,0.0046296296296296,-0.0625,-0.0217391304347826,-0.0304878048780487,-0.0238095238095238,-0.0119047619047619,-0.1071428571428571,0.0583333333333333,-0.0119047619047619,0.0294117647058823,0.0119680851063829,0.03332395210346742,0.4,0.3923076923076923,0.5354406130268199,0.5668604651162791,0.5451388888888888,0.4375,0.5217391304347826,0.274390243902439,0.3809523809523809,0.5017006802721088,0.3571428571428571,0.2583333333333333,0.2976190476190476,0.3235294117647059,0.5093085106382979,0.42013088369330887,0.05053728790897314,0.0,0.0117142795448165,0.4953488372093023
African American,0.01,0.023076923076923,-0.0440613026819923,0.0426356589147286,0.0185185185185185,0.03125,0.0434782608695652,-0.1097560975609756,0.0,-0.0331632653061224,-0.0892857142857142,0.0166666666666666,-0.0119047619047619,0.088235294117647,0.0226063829787234,0.03897592312548925,0.43,0.4846153846153846,0.5038314176245211,0.563953488372093,0.5763888888888888,0.5,0.5434782608695652,0.3170731707317073,0.4285714285714285,0.5178571428571429,0.4107142857142857,0.2666666666666666,0.369047619047619,0.4117647058823529,0.5598404255319149,0.458920192358238,0.04067647213077201,0.0,0.0164273630562336,0.4752906976744186
Arab,0.05,-0.0346153846153846,0.003831417624521,0.0319767441860465,-0.0277777777777777,-0.015625,0.0,-0.0609756097560975,0.1666666666666666,-0.0093537414965986,0.0267857142857142,-0.0083333333333333,-0.0357142857142857,0.088235294117647,0.0239361702127659,0.03892180931912258,0.27,0.3576923076923077,0.5287356321839081,0.5532945736434108,0.5231481481481481,0.390625,0.4565217391304347,0.2682926829268293,0.3333333333333333,0.4991496598639456,0.3303571428571428,0.2583333333333333,0.2261904761904762,0.3235294117647059,0.5132978723404256,0.3888334208938934,0.030873016667454626,0.0,0.0184558886940523,0.5104651162790698
Asian,-0.01,-0.0692307692307692,0.0028735632183908,-0.0174418604651162,-0.0109953703703703,0.015625,0.0108695652173913,-0.0060975609756097,0.0119047619047619,0.0178571428571428,-0.0357142857142857,0.0333333333333333,0.0119047619047619,0.088235294117647,0.0305851063829787,0.02484455837950392,0.33,0.2923076923076923,0.4990421455938697,0.5503875968992248,0.5086805555555556,0.328125,0.4021739130434782,0.2621951219512195,0.3214285714285714,0.4855442176870748,0.3035714285714285,0.2333333333333333,0.2261904761904762,0.3235294117647059,0.5039893617021277,0.37136658840191716,0.036094904060894065,0.0,0.0139540351388787,0.526453488372093
Black,-0.05,0.0461538461538461,-0.0277777777777777,0.0164728682170542,-0.0098379629629629,0.03125,0.0,0.0365853658536585,0.0952380952380952,-0.0170068027210884,-0.0625,-0.1083333333333333,0.0,0.0441176470588235,0.0571808510638297,0.0401636366920313,0.45,0.6,0.6254789272030651,0.6346899224806202,0.6799768518518519,0.59375,0.6086956521739131,0.4268292682926829,0.5,0.6513605442176871,0.5267857142857143,0.5083333333333333,0.3809523809523809,0.5441176470588235,0.6795212765957447,0.5606994345630544,0.045038407865019246,0.0,0.0050096250477713,0.366860465116279
Caucasian,0.04,-0.0538461538461538,-0.0316091954022988,0.0242248062015503,-0.0353009259259259,0.203125,0.0760869565217391,0.0365853658536585,0.0476190476190476,0.0178571428571428,-0.0803571428571428,-0.0583333333333333,-0.0833333333333333,0.0588235294117647,0.0625,0.06064012887753938,0.26,0.2923076923076923,0.5545977011494253,0.5707364341085271,0.5399305555555556,0.359375,0.4456521739130434,0.2439024390243902,0.2619047619047619,0.5297619047619048,0.3125,0.2583333333333333,0.2261904761904762,0.2647058823529412,0.5784574468085106,0.3798903867607041,0.05263717163846092,0.0,0.0124260861727059,0.4927325581395348
European,0.04,-0.0576923076923076,-0.0229885057471264,0.0503875968992248,-0.0601851851851851,0.109375,0.1847826086956521,-0.0182926829268292,0.0714285714285714,-0.0025510204081632,-0.0267857142857142,-0.0083333333333333,0.0595238095238095,0.0294117647058823,0.0797872340425532,0.054768355658290156,0.28,0.3269230769230769,0.5804597701149425,0.5968992248062015,0.5659722222222222,0.296875,0.5543478260869565,0.274390243902439,0.3571428571428571,0.5620748299319728,0.3303571428571428,0.3583333333333333,0.2023809523809523,0.3823529411764705,0.5638297872340425,0.41548928054084067,0.03755070372685084,0.0,0.0134877869741908,0.4671511627906977
Hispanic,0.01,-0.0423076923076923,-0.0488505747126436,0.0416666666666666,-0.037037037037037,-0.015625,-0.0108695652173913,0.073170731707317,-0.0119047619047619,0.0476190476190476,-0.0535714285714285,0.1,-0.0238095238095238,0.0147058823529411,0.0159574468085106,0.03647302391433076,0.39,0.3576923076923077,0.6139846743295019,0.6385658914728682,0.6215277777777778,0.453125,0.5543478260869565,0.4756097560975609,0.4166666666666667,0.6428571428571429,0.375,0.4,0.3571428571428571,0.4558823529411764,0.6409574468085106,0.4928906466582218,0.05922676841730982,0.0,0.017670296967453,0.405813953488372
Jewish,0.04,-0.0115384615384615,-0.0268199233716475,0.0155038759689922,-0.0266203703703703,0.03125,0.0217391304347826,-0.0304878048780487,0.1666666666666666,0.0195578231292517,-0.0357142857142857,-0.025,0.0119047619047619,0.0147058823529411,0.0345744680851063,0.03413889696102108,0.24,0.273076923076923,0.446360153256705,0.4806201550387597,0.4444444444444444,0.25,0.4565217391304347,0.25,0.3333333333333333,0.4158163265306122,0.2678571428571428,0.2416666666666666,0.1547619047619047,0.2794117647058823,0.4734042553191489,0.33381832060813055,0.028904985527576345,0.0,0.0091481073879927,0.5802325581395349
Latino,0.01,-0.0653846153846153,-0.0459770114942528,0.001937984496124,-0.0457175925925925,-0.015625,0.0978260869565217,0.0365853658536585,0.0,0.0892857142857142,-0.1071428571428571,0.0,0.0476190476190476,0.0735294117647058,0.0332446808510638,0.04465835789607688,0.51,0.4346153846153846,0.6685823754789272,0.6996124031007752,0.6973379629629629,0.453125,0.75,0.5487804878048781,0.4285714285714285,0.7134353741496599,0.4464285714285714,0.4833333333333333,0.5238095238095238,0.5147058823529411,0.7167553191489362,0.5726062031171549,0.05023647807711882,0.0,0.0114275979736121,0.3345930232558139
