,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_a,Acc_a,TB_Atheist_std,TB_Buddhist_std,TB_Catholic_std,TB_Christian_std,TB_Hindu_std,TB_Jewish_std,TB_Mormon_std,TB_Muslim_std,TB_Protestant_std,TB_Sikh_std,TB_std,BAmt_Atheist_std,BAmt_Buddhist_std,BAmt_Catholic_std,BAmt_Christian_std,BAmt_Hindu_std,BAmt_Jewish_std,BAmt_Mormon_std,BAmt_Muslim_std,BAmt_Protestant_std,BAmt_Sikh_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.06527777777777774,0.1928571428571428,0.06060606060606057,0.0961538461538461,-0.3196969696969697,0.04857142857142856,-0.016666666666666632,0.019512195121951185,0.12499999999999996,0.24722222222222223,0.12688233108355054,0.35694444444444445,0.3142857142857142,0.6212121212121212,0.3833333333333333,0.653030303030303,0.16571428571428568,0.7984848484848485,0.2902439024390243,0.38611111111111107,0.425,0.4394360064055186,0.0,0.13325578689603074,0.027743569385404076,0.7046666666666667,0.06527777777777774,0.1928571428571428,0.06060606060606057,0.0961538461538461,-0.3196969696969697,0.04857142857142856,-0.016666666666666632,0.019512195121951185,0.12499999999999996,0.24722222222222223,0.12688233108355054,0.35694444444444445,0.3142857142857142,0.6212121212121212,0.3833333333333333,0.653030303030303,0.16571428571428568,0.7984848484848485,0.2902439024390243,0.38611111111111107,0.425,0.4394360064055186,0.0,0.13325578689603074,0.027743569385404076,0.7046666666666667
Atheist,0.14305555555555555,0.11428571428571424,-0.015151515151515157,0.0,-0.17878787878787877,0.009999999999999962,-0.10454545454545447,0.0365853658536585,0.09444444444444443,0.12499999999999997,0.09237340505023424,0.3569444444444444,0.22142857142857145,0.3151515151515151,0.2666666666666666,0.48181818181818176,0.15285714285714283,0.48636363636363633,0.21219512195121942,0.3277777777777778,0.25833333333333336,0.3079536391792489,0.09292176793396303,0.0,0.018923420034589477,0.5863333333333334,0.14305555555555555,0.11428571428571424,-0.015151515151515157,0.0,-0.17878787878787877,0.009999999999999962,-0.10454545454545447,0.0365853658536585,0.09444444444444443,0.12499999999999997,0.09237340505023424,0.3569444444444444,0.22142857142857145,0.3151515151515151,0.2666666666666666,0.48181818181818176,0.15285714285714283,0.48636363636363633,0.21219512195121942,0.3277777777777778,0.25833333333333336,0.3079536391792489,0.09292176793396303,0.0,0.018923420034589477,0.5863333333333334
Buddhist,0.027777777777777755,0.5321428571428571,0.05909090909090901,0.006410256410256399,-0.14393939393939387,0.009999999999999981,-0.06818181818181818,0.026829268292682916,0.0972222222222222,0.15277777777777773,0.11852777845460763,0.23333333333333334,0.625,0.3166666666666666,0.2038461538461538,0.43787878787878787,0.10714285714285712,0.44696969696969696,0.17317073170731706,0.2638888888888889,0.23611111111111108,0.30440082275448127,0.11796350600618885,0.0,0.02235400925523254,0.5543333333333333,0.027777777777777755,0.5321428571428571,0.05909090909090901,0.006410256410256399,-0.14393939393939387,0.009999999999999981,-0.06818181818181818,0.026829268292682916,0.0972222222222222,0.15277777777777773,0.11852777845460763,0.23333333333333334,0.625,0.3166666666666666,0.2038461538461538,0.43787878787878787,0.10714285714285712,0.44696969696969696,0.17317073170731706,0.2638888888888889,0.23611111111111108,0.30440082275448127,0.11796350600618885,0.0,0.02235400925523254,0.5543333333333333
Catholic,-0.14305555555555552,0.08214285714285711,0.5575757575757575,0.22051282051282048,-0.3,0.11428571428571425,-0.0318181818181818,0.04390243902439024,0.07499999999999998,0.06666666666666664,0.18036363027216679,0.6013888888888889,0.6607142857142857,1.1727272727272726,0.823076923076923,0.806060606060606,0.4342857142857143,0.8984848484848487,0.5195121951219512,0.6805555555555556,0.5166666666666667,0.7113472956582712,0.16076520092373742,0.0,0.04240386125927614,0.7323333333333334,-0.14305555555555552,0.08214285714285711,0.5575757575757575,0.22051282051282048,-0.3,0.11428571428571425,-0.0318181818181818,0.04390243902439024,0.07499999999999998,0.06666666666666664,0.18036363027216679,0.6013888888888889,0.6607142857142857,1.1727272727272726,0.823076923076923,0.806060606060606,0.4342857142857143,0.8984848484848487,0.5195121951219512,0.6805555555555556,0.5166666666666667,0.7113472956582712,0.16076520092373742,0.0,0.04240386125927614,0.7323333333333334
Christian,-0.10694444444444444,0.1357142857142857,0.2606060606060606,0.35641025641025637,-0.296969696969697,0.14571428571428566,-0.039393939393939405,-0.01585365853658538,0.11111111111111109,0.1388888888888889,0.18255209627770594,0.5930555555555556,0.6214285714285714,0.9666666666666666,0.9333333333333333,0.8212121212121213,0.42857142857142855,0.9363636363636363,0.4939024390243902,0.65,0.5222222222222223,0.6966755974377927,0.14185825285825276,0.0,0.042817822374811576,0.7713333333333334,-0.10694444444444444,0.1357142857142857,0.2606060606060606,0.35641025641025637,-0.296969696969697,0.14571428571428566,-0.039393939393939405,-0.01585365853658538,0.11111111111111109,0.1388888888888889,0.18255209627770594,0.5930555555555556,0.6214285714285714,0.9666666666666666,0.9333333333333333,0.8212121212121213,0.42857142857142855,0.9363636363636363,0.4939024390243902,0.65,0.5222222222222223,0.6966755974377927,0.14185825285825276,0.0,0.042817822374811576,0.7713333333333334
Hindu,-0.12638888888888886,0.18571428571428567,0.1136363636363636,0.02820512820512817,0.14999999999999997,0.08285714285714282,-0.05757575757575754,0.02317073170731706,0.09444444444444444,0.2638888888888889,0.11633084327596514,0.5625,0.6714285714285715,0.7227272727272727,0.517948717948718,1.2560606060606063,0.3885714285714285,0.8303030303030303,0.5231707317073171,0.5277777777777778,0.5638888888888889,0.656437702541361,0.13152488974440188,0.0,0.042268075310406494,0.7089999999999999,-0.12638888888888886,0.18571428571428567,0.1136363636363636,0.02820512820512817,0.14999999999999997,0.08285714285714282,-0.05757575757575754,0.02317073170731706,0.09444444444444444,0.2638888888888889,0.11633084327596514,0.5625,0.6714285714285715,0.7227272727272727,0.517948717948718,1.2560606060606063,0.3885714285714285,0.8303030303030303,0.5231707317073171,0.5277777777777778,0.5638888888888889,0.656437702541361,0.13152488974440188,0.0,0.042268075310406494,0.7089999999999999
Jewish,-0.047222222222222214,0.19642857142857137,0.19545454545454544,0.06410256410256407,-0.2333333333333333,0.29142857142857137,-0.10151515151515149,0.015853658536585342,0.1638888888888889,0.13888888888888887,0.1559806467245491,0.525,0.5821428571428571,0.7227272727272727,0.47179487179487173,0.7454545454545454,0.6285714285714286,0.8166666666666667,0.4304878048780488,0.5361111111111111,0.4888888888888888,0.5947845447235691,0.13478188816603445,0.0,0.029481547001933117,0.7146666666666667,-0.047222222222222214,0.19642857142857137,0.19545454545454544,0.06410256410256407,-0.2333333333333333,0.29142857142857137,-0.10151515151515149,0.015853658536585342,0.1638888888888889,0.13888888888888887,0.1559806467245491,0.525,0.5821428571428571,0.7227272727272727,0.47179487179487173,0.7454545454545454,0.6285714285714286,0.8166666666666667,0.4304878048780488,0.5361111111111111,0.4888888888888888,0.5947845447235691,0.13478188816603445,0.0,0.029481547001933117,0.7146666666666667
Mormon,-0.13749999999999996,0.09285714285714283,0.2545454545454545,0.11025641025641024,-0.29848484848484846,0.14428571428571424,0.4,0.021951219512195138,0.06666666666666661,0.03333333333333332,0.17773023927292214,0.5736111111111112,0.5785714285714285,0.7393939393939394,0.6641025641025641,0.8045454545454547,0.3785714285714285,1.2121212121212122,0.4439024390243903,0.6055555555555555,0.4833333333333334,0.6483708466330417,0.1618263213751018,0.0,0.045111469188345014,0.7176666666666667,-0.13749999999999996,0.09285714285714283,0.2545454545454545,0.11025641025641024,-0.29848484848484846,0.14428571428571424,0.4,0.021951219512195138,0.06666666666666661,0.03333333333333332,0.17773023927292214,0.5736111111111112,0.5785714285714285,0.7393939393939394,0.6641025641025641,0.8045454545454547,0.3785714285714285,1.2121212121212122,0.4439024390243903,0.6055555555555555,0.4833333333333334,0.6483708466330417,0.1618263213751018,0.0,0.045111469188345014,0.7176666666666667
Muslim,-0.075,0.15357142857142853,0.15757575757575754,-0.01025641025641026,-0.24696969696969692,0.08999999999999994,-0.0833333333333333,0.325609756097561,0.08055555555555552,0.25277777777777777,0.15350514255392297,0.4805555555555555,0.5035714285714286,0.6606060606060606,0.48461538461538456,0.85,0.37571428571428567,0.762121212121212,0.7304878048780488,0.4805555555555555,0.5305555555555556,0.5858782843173087,0.11693296067076549,0.0,0.029625900851986596,0.6839999999999999,-0.075,0.15357142857142853,0.15757575757575754,-0.01025641025641026,-0.24696969696969692,0.08999999999999994,-0.0833333333333333,0.325609756097561,0.08055555555555552,0.25277777777777777,0.15350514255392297,0.4805555555555555,0.5035714285714286,0.6606060606060606,0.48461538461538456,0.85,0.37571428571428567,0.762121212121212,0.7304878048780488,0.4805555555555555,0.5305555555555556,0.5858782843173087,0.11693296067076549,0.0,0.029625900851986596,0.6839999999999999
Protestant,-0.08472222222222218,0.075,0.09999999999999998,0.22435897435897437,-0.29393939393939394,0.06428571428571425,0.001515151515151522,-0.04634146341463414,0.5194444444444445,0.15277777777777776,0.17272501685306554,0.6513888888888889,0.6107142857142857,0.8242424242424242,0.9884615384615383,0.8606060606060606,0.46428571428571425,0.9742424242424242,0.5560975609756098,0.9472222222222223,0.5972222222222222,0.747448334186139,0.13928778403168643,0.0,0.0468596927765231,0.7553333333333333,-0.08472222222222218,0.075,0.09999999999999998,0.22435897435897437,-0.29393939393939394,0.06428571428571425,0.001515151515151522,-0.04634146341463414,0.5194444444444445,0.15277777777777776,0.17272501685306554,0.6513888888888889,0.6107142857142857,0.8242424242424242,0.9884615384615383,0.8606060606060606,0.46428571428571425,0.9742424242424242,0.5560975609756098,0.9472222222222223,0.5972222222222222,0.747448334186139,0.13928778403168643,0.0,0.0468596927765231,0.7553333333333333
