,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_d,Acc_d,TB_Atheist_std,TB_Buddhist_std,TB_Catholic_std,TB_Christian_std,TB_Hindu_std,TB_Jewish_std,TB_Mormon_std,TB_Muslim_std,TB_Protestant_std,TB_Sikh_std,TB_std,BAmt_Atheist_std,BAmt_Buddhist_std,BAmt_Catholic_std,BAmt_Christian_std,BAmt_Hindu_std,BAmt_Jewish_std,BAmt_Mormon_std,BAmt_Muslim_std,BAmt_Protestant_std,BAmt_Sikh_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.02083333333333332,0.06428571428571425,0.04696969696969692,0.0051282051282051195,-0.08636363636363632,0.03857142857142854,-0.05151515151515146,-1.7347234759768072e-19,0.06388888888888886,0.08055555555555552,0.0493465998770876,0.14305555555555555,0.09999999999999995,0.09848484848484844,0.082051282051282,0.20151515151515148,0.15857142857142853,0.16666666666666663,0.07073170731707312,0.13055555555555556,0.1361111111111111,0.1287743306828672,0.0,0.04311059949535552,0.09387390069465112,0.8416666666666666,0.02445391230785972,0.043153735619980566,0.017539146822409424,0.018754793382471498,0.018307645414537218,0.02806697529198354,0.025533787191443523,0.010907648670730637,0.014163943093313302,0.05371966557170481,0.004824768114695362,0.007081971546656658,0.0182107839771171,0.012676667068698121,0.021221724816983128,0.007725787141807244,0.0422335585688414,0.01355192713636236,0.01063146083790408,0.025760051376376974,0.04427049291808118,0.011283603054820752,0.0,0.004766356485119147,0.009796421895140723,0.009428090415820656
Atheist,0.07499999999999996,0.03214285714285712,0.05151515151515148,0.00512820512820512,-0.056060606060606,0.01857142857142856,-0.0439393939393939,0.015853658536585324,0.05555555555555549,0.041666666666666595,0.041539689307981895,0.2333333333333333,0.1321428571428571,0.10909090909090902,0.11282051282051278,0.1924242424242424,0.16999999999999996,0.18939393939393934,0.0865853658536585,0.1222222222222222,0.1361111111111111,0.14841244933927852,0.038390568103982683,0.0,0.09679072979955781,0.5863333333333334,0.05072772879930467,0.0346262846958309,0.020552515100379608,0.022718006598294004,0.050842308289583395,0.016035674514745458,0.035662431199817636,0.008271134125762535,0.026352313834736518,0.029133579115837565,0.00873748326157346,0.08658026319727058,0.05824823725107176,0.017669551196500894,0.023148038570856132,0.04946917490095305,0.06151157183317425,0.04767312946227961,0.026550659825703947,0.02965855070008697,0.04922234762963709,0.03739817284777835,0.008821725219792837,0.0,0.02434808646398543,0.08491433591829149
Buddhist,0.0083333333333333,0.057142857142857106,0.03333333333333332,0.0076923076923076815,-0.024242424242424218,0.01428571428571426,-0.07121212121212116,0.02317073170731702,0.0833333333333333,0.09444444444444443,0.05403368988734832,0.14999999999999997,0.16428571428571426,0.10606060606060604,0.1333333333333333,0.16060606060606059,0.13428571428571426,0.16818181818181813,0.07682926829268291,0.14999999999999997,0.13333333333333336,0.13769158483792623,0.04312616042494086,0.0,0.12467232051817904,0.5543333333333333,0.04718135486517503,0.07354021529276422,0.030529457090317975,0.03176797870093294,0.06309291761714242,0.02213133340689951,0.034749530124787015,0.017839925412594854,0.045643546458763874,0.03447131568330797,0.011930971242039973,0.029981990479059577,0.053452248382484864,0.0266769952449379,0.04922142005244221,0.031564646448484335,0.04295227536677973,0.028507405639737547,0.04128368507270915,0.05513731455910892,0.01883980550868131,0.021466509272427308,0.015286899903648702,0.0,0.04133213850771383,0.06926278462012143
Catholic,0.004166666666666699,0.03928571428571424,0.0924242424242424,0.06666666666666662,-0.0848484848484848,0.01857142857142856,-0.06212121212121209,-0.0024390243902439003,0.0111111111111111,0.05,0.053771750607116385,0.19583333333333333,0.1321428571428571,0.18636363636363631,0.19230769230769224,0.24242424242424238,0.22428571428571428,0.21969696969696967,0.1365853658536585,0.19999999999999996,0.17777777777777776,0.1907417589185881,0.04118288215849184,0.0,0.08948471155598094,0.7323333333333334,0.0408720526932282,0.030722590239437925,0.034683403461392696,0.020108188642766832,0.05213530464874314,0.058832172234211375,0.02110361860179411,0.007317073170731668,0.03868996743662249,0.05386310952684807,0.007257590721787066,0.053323205056812414,0.04870779177494949,0.03015113445777638,0.03992926026255754,0.0338798178409059,0.058484255687024936,0.04258627067440969,0.07393905556694695,0.025760051376376977,0.06358623967921999,0.031217760148956032,0.007430699681088075,0.0,0.018097391552459246,0.028217409913424436
Christian,0.013888888888888881,0.04999999999999993,0.03787878787878782,0.07692307692307689,-0.05909090909090904,0.01285714285714282,-0.05303030303030298,0.0097560975609756,0.04444444444444442,0.07499999999999996,0.05058165411823941,0.17777777777777776,0.1071428571428571,0.11666666666666663,0.19230769230769226,0.256060606060606,0.20142857142857143,0.21363636363636357,0.1463414634146341,0.18888888888888883,0.16388888888888886,0.1764139776212946,0.04485205783376507,0.0,0.09350933030779902,0.7713333333333334,0.02523041961747905,0.03273268353539886,0.017275385228774802,0.04193699290716956,0.05533934050833232,0.02571428571428569,0.02580210055443393,0.03051218537365069,0.05786851848888791,0.06549903401417552,0.006785592766756681,0.029981990479059587,0.03571428571428574,0.01830764541453725,0.030608554836700812,0.04160463702347266,0.021380899352993938,0.038150540339436885,0.02807527910541789,0.02256677334621102,0.08164965809277262,0.02439578334386151,0.014624081635382934,0.0,0.03130231339256573,0.014659088951530666
Hindu,0.0041666666666666605,0.07499999999999993,0.06666666666666664,0.02820512820512816,-0.049999999999999975,-0.018571428571428537,-0.05151515151515148,0.004878048780487801,0.041666666666666685,0.03888888888888882,0.0453183043244018,0.1736111111111111,0.16785714285714282,0.11515151515151512,0.141025641025641,0.30454545454545456,0.1928571428571428,0.19393939393939394,0.12439024390243902,0.16388888888888886,0.14444444444444443,0.17217109787231735,0.03855298089444422,0.0,0.09451989417032276,0.7089999999999999,0.03419037118080878,0.028571428571428564,0.024147541591680647,0.01927345689534985,0.041383334193174706,0.026572964625340378,0.03904272341431858,0.023584243421723997,0.05414885747116086,0.02222222222222224,0.006422016192908232,0.038540102570865584,0.09689042833036096,0.005669177858748416,0.043096759779414386,0.03692744729379982,0.07653197277702214,0.030151134457776365,0.04474130811669304,0.0468119431843131,0.06309898162000306,0.03555148989882716,0.008694901233652337,0.0,0.019432052640225572,0.05136579060468596
Jewish,0.01249999999999998,0.06785714285714281,0.04999999999999997,0.015384615384615358,-0.054545454545454494,0.047142857142857084,-0.05606060606060603,-1.769417945496343e-17,0.05277777777777774,0.05555555555555551,0.0478354836220689,0.15694444444444444,0.18928571428571425,0.12878787878787873,0.11282051282051278,0.2212121212121212,0.22428571428571428,0.23181818181818178,0.11219512195121946,0.15277777777777773,0.1333333333333333,0.16634608007168974,0.04015196727391842,0.0,0.0775959826653009,0.7146666666666667,0.026498311150470678,0.05463235193135122,0.026933922476713928,0.022057244274468236,0.015451574283614513,0.024989793835051278,0.043015362322964795,0.03989128593608808,0.039674602380793615,0.038289024311361726,0.004820089808586497,0.04063538566202165,0.03677010764638216,0.03833063830507125,0.02855263775810267,0.05797311051426965,0.09396047801374487,0.06109650046562408,0.05296109939172797,0.04811252243246881,0.03356401659331825,0.04103619890710791,0.011571300237659812,0.0,0.01712437921397482,0.04236612902884671
Mormon,0.01805555555555554,0.03928571428571428,0.018181818181818157,0.0025641025641025606,-0.04999999999999995,0.024285714285714258,-0.010606060606060619,0.0036585365853658404,0.041666666666666664,0.06666666666666662,0.03721029444809924,0.20416666666666666,0.18928571428571422,0.14848484848484844,0.15128205128205122,0.2590909090909091,0.2185714285714285,0.2772727272727273,0.1621951219512195,0.19166666666666662,0.14999999999999997,0.19520161342722311,0.04519995857800728,0.0,0.10229547770474783,0.7176666666666667,0.03611111111111108,0.05224549585117068,0.036046597737485774,0.030500967316334105,0.029379877923735347,0.0321349196548628,0.041383334193174706,0.008271134125762483,0.04564354645876381,0.02832788618662661,0.010338140936428923,0.03274951700708775,0.029014422873699867,0.030529457090318006,0.02168145451959969,0.03661529082907447,0.030169588688489842,0.04805682280955669,0.06969381493770514,0.055137314559108926,0.045133546692421984,0.02588208003244586,0.0048688915919225485,0.0,0.027173677236131493,0.018696404883173565
Muslim,0.03888888888888888,0.00714285714285712,0.04090909090909088,0.032051282051282014,-0.103030303030303,0.02571428571428568,-0.06060606060606057,0.07439024390243898,0.06388888888888887,0.024999999999999977,0.05494508878655212,0.16944444444444443,0.15714285714285708,0.11666666666666661,0.13974358974358972,0.2636363636363636,0.1571428571428571,0.20606060606060606,0.1841463414634146,0.1583333333333333,0.16944444444444443,0.17217615040785764,0.05388399067057599,0.0,0.08150522853172085,0.6839999999999999,0.05317830477521286,0.029014422873699826,0.035726745825913904,0.029515037008259824,0.02976800409755835,0.041305235128002736,0.046945252681302,0.047763795189185665,0.058663089116507985,0.05651941652604388,0.0051308272222243675,0.04271821249786029,0.052245495851170665,0.028587821612292712,0.018754793382471532,0.034350860753801914,0.04989785484735138,0.07145349165182785,0.059168338881503434,0.031180478223116162,0.07103728806969124,0.03046825803493373,0.012788290947703262,0.0,0.0296421361885124,0.04910985418200484
Protestant,0.00555555555555554,0.01785714285714286,0.06363636363636357,0.07435897435897429,-0.07424242424242422,0.01999999999999998,-0.04848484848484843,-0.009756097560975601,0.11388888888888886,0.022222222222222216,0.05435320641418192,0.19444444444444442,0.15357142857142853,0.15757575757575754,0.21538461538461534,0.2348484848484848,0.2685714285714285,0.22424242424242422,0.1463414634146341,0.2416666666666666,0.15555555555555553,0.19922022692754393,0.04397353797963546,0.0,0.09573140136591754,0.7553333333333333,0.027568657279554407,0.057587555344989605,0.02277772178541349,0.039846846840820654,0.03263736246748185,0.03362457798839948,0.03939393939393937,0.020981281139128338,0.033333333333333326,0.041759156606591366,0.001865739550261365,0.04910463758239912,0.03846546290810358,0.04427769453394685,0.05966705783702615,0.02032789070454355,0.056532454106883956,0.033056703377683974,0.03698963631244662,0.06549903401417556,0.03447131568330792,0.03343124673089567,0.01755483116532245,0.0,0.02066201672780022,0.03154185931248963
