,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0902777777777777,0.2857142857142857,0.1136363636363636,0.0064102564102564,-0.303030303030303,0.0571428571428571,-0.0378787878787878,0.0060975609756097,0.1805555555555555,0.2222222222222222,0.13029659703440188,0.3680555555555556,0.4285714285714285,0.6590909090909091,0.3269230769230769,0.6666666666666666,0.1428571428571428,0.7803030303030303,0.298780487804878,0.3472222222222222,0.3888888888888889,0.4407359408883799,0.0,0.12920183441220023,0.0292800967937084,0.7066666666666667
Atheist,0.2152777777777778,0.2321428571428571,-0.1439393939393939,-0.0961538461538461,-0.1969696969696969,-0.0571428571428571,-0.0681818181818181,0.1097560975609756,0.0416666666666666,0.3472222222222222,0.15084532337581114,0.8680555555555556,0.625,0.7348484848484849,0.6858974358974359,0.7878787878787878,0.5,0.9015151515151516,0.4512195121951219,0.6527777777777778,0.7361111111111112,0.6943303816779427,0.1156908064834894,0.0,0.0395201037613488,0.7133333333333334
Buddhist,0.0208333333333333,0.4107142857142857,0.0454545454545454,0.0128205128205128,-0.0681818181818181,-0.0071428571428571,-0.1666666666666666,0.1036585365853658,0.1388888888888889,0.1666666666666666,0.11410281114549403,0.3680555555555556,0.625,0.4545454545454545,0.358974358974359,0.5984848484848485,0.2785714285714286,0.5151515151515151,0.3231707317073171,0.4722222222222222,0.4166666666666667,0.4410842781879367,0.08917417947905751,0.0,0.0208049242424242,0.4716666666666667
Catholic,-0.0902777777777777,0.25,0.3257575757575757,0.1666666666666666,-0.303030303030303,-0.0357142857142857,-0.1515151515151515,-0.0365853658536585,0.0694444444444444,0.1666666666666666,0.15956582374265296,0.8958333333333334,1.0714285714285714,1.5833333333333333,1.2564102564102564,1.181818181818182,0.8785714285714286,1.303030303030303,0.902439024390244,0.9305555555555556,0.8333333333333334,1.083675332120454,0.10044905636369048,0.0,0.0562091503267974,0.7683333333333333
Christian,-0.2222222222222222,-0.0892857142857142,0.1818181818181818,0.1923076923076923,-0.1893939393939394,0.1785714285714285,-0.0606060606060606,-0.1097560975609756,0.1527777777777778,0.1944444444444444,0.15711835589884365,0.8611111111111112,0.7678571428571429,1.0606060606060606,1.2692307692307692,1.128787878787879,0.7357142857142858,1.2727272727272727,0.8414634146341463,0.8472222222222222,0.8055555555555556,0.9590275713446446,0.13707806759636026,0.0,0.0620380273321449,0.7933333333333333
Hindu,-0.2152777777777778,0.1964285714285714,0.0151515151515151,-0.0128205128205128,0.0454545454545454,0.1714285714285714,-0.0227272727272727,-0.073170731707317,0.0,0.4305555555555556,0.11830150540516393,0.9375,1.0535714285714286,1.0757575757575757,0.9743589743589745,1.4545454545454546,0.8571428571428571,1.2196969696969695,0.9878048780487804,0.8888888888888888,1.1805555555555556,1.0629822582566484,0.1458636147050781,0.0,0.0762589928057553,0.7766666666666666
Jewish,-0.2152777777777778,0.1785714285714285,-0.0227272727272727,0.0769230769230769,-0.1818181818181818,0.3357142857142857,-0.2272727272727272,-0.0304878048780487,0.375,0.2083333333333333,0.18521258890161327,1.0902777777777777,1.1071428571428572,1.0984848484848484,1.051282051282051,1.0909090909090908,1.2785714285714285,1.2424242424242424,0.9085365853658536,1.0138888888888888,0.9027777777777778,1.0784295548624816,0.14536710579393503,0.0,0.0483333333333333,0.76
Mormon,-0.1666666666666666,0.3214285714285714,0.1136363636363636,0.1089743589743589,-0.2954545454545454,0.2,0.2651515151515151,-0.024390243902439,-0.1527777777777778,0.2222222222222222,0.18707022652144603,0.7777777777777778,0.8571428571428571,1.053030303030303,0.9807692307692308,1.0227272727272727,0.6285714285714286,1.2651515151515151,0.6585365853658537,0.9305555555555556,0.75,0.8924262526091795,0.12125071743974178,0.0,0.0752856246076585,0.7183333333333334
Muslim,-0.1597222222222222,0.2857142857142857,0.1439393939393939,-0.1282051282051282,-0.303030303030303,0.1142857142857142,-0.1666666666666666,0.2926829268292683,0.1388888888888889,0.3472222222222222,0.2080357752004093,0.8541666666666666,1.1071428571428572,1.128787878787879,1.0,1.181818181818182,0.9142857142857144,1.2424242424242424,1.2195121951219512,0.8611111111111112,0.875,1.0384248847358601,0.10541011833694758,0.0,0.035982905982906,0.755
Protestant,-0.1944444444444444,0.3928571428571428,-0.053030303030303,0.3333333333333333,-0.3106060606060606,-0.0142857142857142,-0.0303030303030303,-0.1524390243902439,0.5833333333333334,0.1944444444444444,0.22590768310280498,0.9722222222222222,0.9285714285714286,1.1742424242424243,1.2692307692307692,1.1590909090909092,0.8714285714285714,1.2424242424242424,0.9329268292682928,1.3055555555555556,1.0277777777777777,1.0883470729812192,0.15611270504563185,0.0,0.067768959435626,0.7916666666666666
Sikh,-0.0208333333333333,0.1964285714285714,-0.0378787878787878,-0.0576923076923076,-0.1363636363636363,0.1642857142857142,-0.2878787878787879,0.1280487804878048,0.0416666666666666,0.7777777777777778,0.18488543637933877,0.8541666666666666,0.9464285714285714,1.0227272727272727,1.0320512820512822,1.181818181818182,0.7357142857142858,1.2121212121212122,0.8353658536585366,0.9305555555555556,1.25,1.0000948881741565,0.1756219728780704,0.0,0.0704639804639805,0.7433333333333333
