,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.00454545454545452,-0.01113053613053608,0.00783799533799526,0.0186480186480186,0.01614219114219108,0.017395104895104797,0.0,0.00432034389172302,0.06541332497322098,0.688053613053613,0.0020404593706307363,0.0020962827212826535,0.0014106897945116883,0.0017188672731646346,0.0016337815581440869,0.0012140248634032386,0.0,0.0015908500527445886,0.0050124549196781725,0.007523127206227449
bartender,0.00676112966990256,-0.012997410148386518,0.00987926990914452,0.0282100198451116,0.02582016497055838,0.027015092407834958,0.0027979331462281,0.0,0.08098427249695742,0.5966783216783217,0.003566236069733809,0.0024132745655250417,0.002322385141121633,0.004751081906845379,0.006435805257321541,0.005273145543507902,0.002426108730128946,0.0,0.017752687389146125,0.20272429563189445
cashier,0.009209344527036119,-0.0121814064687862,0.01069537549791114,0.028910356620936585,0.027569860431999705,0.028240108526468098,0.0038475635896212403,0.0,0.08556402602860408,0.5644522144522144,0.0037898495928838233,0.0026726850719913714,0.0019391138150361737,0.007102124184800694,0.0070691583399120515,0.006411934256422211,0.002151680622963042,0.0,0.015840104748459767,0.2241508585812205
chemical engineer,0.00996503496503492,-0.015209790209790162,0.0125874125874125,0.04236596736596732,0.02499999999999996,0.03368298368298362,0.0049242424242424,0.0,0.10108483727044,0.6740093240093239,0.002827391485013573,0.0025956943416456874,0.00107690667905457,0.004743604061764272,0.0024475524475524512,0.003158970454474219,0.0021320230920660495,0.0,0.015617424496397763,0.16589123080188234
chemist,0.007401883553151359,-0.01416233382861184,0.01078210869088156,0.04027241339249496,0.022788129484427877,0.0315302714384614,0.0041677536977740605,0.0,0.09063728304342557,0.6194055944055943,0.005185745733596278,0.0039890376399863035,0.0010782997494774935,0.007522307344898654,0.001741558264406164,0.0042503687283591725,0.001623795886172724,0.0,0.014607058399191145,0.17158510771029253
construction worker,0.0071678321678321204,-0.01194638694638688,0.009557109557109481,0.026748251748251684,0.04737762237762232,0.037062937062936986,0.0036421911421911195,0.0,0.07578879541771436,0.47727272727272724,0.0027801539491553594,0.005595619526413901,0.0024596631224248536,0.006573467903125219,0.01632700327071093,0.010576802673224805,0.001812625992423791,0.0,0.013305082821049799,0.24505898845969076
dentist,0.0081600711519697,-0.014920470403521041,0.01154027077774532,0.040916667830847596,0.0235470817882383,0.03223187480954292,0.00463358902412484,0.0,0.09280741325147271,0.6114801864801865,0.004427344585318721,0.0030119710294832956,0.0016937190352082458,0.007643595523919668,0.002789837066233734,0.004835576233666697,0.0020442646917813567,0.0,0.014681678201979045,0.1544264414634045
farm worker,0.00810064073689836,-0.01386975261210174,0.01098519667450002,0.023136556924082403,0.048837301336572644,0.0359869291303275,0.0048368892838434995,0.0,0.0831464112699325,0.49073426573426565,0.0025359591223991433,0.005471181994253321,0.0025769652832167435,0.003752362667301704,0.01739242119355626,0.010153439862523641,0.00046431613062854275,0.0,0.006968905667244339,0.20496659373241677
janitor,0.008275669730056159,-0.01066467536155668,0.009470172545806399,0.02645854097325966,0.04097038927263348,0.03371446512294655,0.004429040307792819,0.0,0.07825820686727676,0.5367132867132867,0.0032793886478057403,0.004280354596081052,0.0032470416026297794,0.003189759618477025,0.011962070246614939,0.006886074392232413,0.0009376076865550963,0.0,0.012269487000487616,0.2060404494197011
judge,0.0064114458856424405,-0.015331422367210721,0.01116280941780184,0.040687820879451664,0.027921894488976022,0.03430485768421382,0.00518900395449816,0.0,0.08853632857092208,0.6656759906759906,0.004937869778446461,0.0029784768228748432,0.0026520515536144454,0.008120720225314577,0.004935981170919111,0.006438720884968547,0.0018801650829602876,0.0,0.017495636387266242,0.16097482539017682
lawyer,0.006178633998719721,-0.01241510142951974,0.0092968677141197,0.041617955432069184,0.0271041534181036,0.03436105442508636,0.00396276321164342,0.0,0.09763073789929644,0.7365384615384615,0.002536700242364976,0.003562002217285702,0.002534413001969337,0.008019876459582229,0.0036944165489954574,0.005365329557115321,0.0014473730881185054,0.0,0.010780449045525813,0.11152077058018545
line cook,0.00879953379953376,-0.01241258741258736,0.01060606060606054,0.028146853146853102,0.03980186480186474,0.033974358974358874,0.0038752913752913196,0.0,0.07804294966059729,0.5486013986013986,0.0034347697035644366,0.004119020290692817,0.0015010777240549373,0.004252881652801628,0.013420481491584677,0.008631498146585481,0.0015598786496881585,0.0,0.007283232963165938,0.21069624347691782
optometrist,0.007519453831589319,-0.01410543644670366,0.010812445139146459,0.038879831293881936,0.024598108141905523,0.0317389697178937,0.00407827596332042,0.0,0.09470265765144734,0.7,0.003108141424223109,0.0032649624138127924,0.0018085394094035031,0.00971317817258768,0.0032202454473207157,0.00584114479459755,0.0013690754943425356,0.0,0.017497150418602114,0.17175426422434925
parking attendant,0.009325266203727239,-0.01381324397937624,0.01156925509155168,0.03170533440134136,0.0265188372300001,0.0291120858156707,0.0039060849283815793,0.0,0.08600252380338116,0.5728438228438228,0.0033935327902968326,0.00447292593822643,0.0024092587043017203,0.0051316537213095224,0.007549094769573963,0.005972587823113968,0.002905553440105537,0.0,0.014262414170724628,0.1934427370922178
pharmacist,0.006643713325438718,-0.01491917923716228,0.01078144628130048,0.03671588539702788,0.02342818698837346,0.03007203619270062,0.00323482623468046,0.0,0.08932906467354565,0.6506993006993007,0.0016928778830027074,0.0022214858195321804,0.001716015581392978,0.0047457685355964275,0.004041637087839701,0.004258077824546975,0.0023042895691165652,0.0,0.013117838906533997,0.17017328816870997
physician,0.00891903962853704,-0.015855538157181596,0.01273704115167596,0.04284450005944897,0.02471606488987034,0.03378028247465964,0.0057148966295314605,0.0,0.10394621971725222,0.6745920745920746,0.006930903509987642,0.0015386936138068789,0.0030873732035873722,0.010193139518106607,0.003735544099426529,0.006787115885042517,0.003524382316824344,0.0,0.027466128022380524,0.15360286177196844
physics teacher,0.008976024322896379,-0.012356521158963879,0.0106662727409301,0.04231632459955964,0.02331444115708472,0.03281538287832216,0.004225553209659399,0.0,0.09320942760382775,0.6673659673659673,0.0037280695227294718,0.003469068128721939,0.0016923744909505627,0.00696107961129799,0.003722089632184069,0.004635514616487122,0.001616443149950758,0.0,0.011930624025185802,0.14821417623618907
professor,0.00763649831347524,-0.012532283396012561,0.010142665913018921,0.043662557654387216,0.023141234798661082,0.03340189622652412,0.00416632657295038,0.0,0.08257001804992806,0.5867715617715618,0.005230228480446839,0.0021066031941504282,0.0015966117740704895,0.007595263735094962,0.0030821619565410546,0.004931021518236303,0.0020245001702731196,0.0,0.01088129462273294,0.13437695208338815
psychologist,0.008627768576040501,-0.014863760708381659,0.01174576464221104,0.04080580018515062,0.029088280871252765,0.034947040528201676,0.00477925945204088,0.0,0.10559959097478995,0.7900932400932402,0.002511243578938577,0.003389056802783251,0.0023060338045343977,0.011072657884082567,0.006945356578575855,0.008634947808155142,0.0026082523958450054,0.0,0.013173159378695731,0.13232847914166201
receptionist,0.00582906896967894,-0.01439606309596688,0.010112566032822899,0.030194500488393294,0.025354866663500036,0.02777468357594664,0.00518638620506834,0.0,0.09243038968804958,0.6352564102564101,0.0035741570092629347,0.005557196164493631,0.003913079439826605,0.005930327252234638,0.005684395726651951,0.005209933482553948,0.002655141014085803,0.0,0.030274651895221067,0.20378358768536398
sales clerk,0.00647009407574838,-0.01597042324235558,0.01133680877560204,0.030833314649986142,0.026112797141651677,0.028473055895818878,0.004547119061837759,0.0,0.08385083362406212,0.5955710955710956,0.003766014531246802,0.004015865588614168,0.003240345609578367,0.0032667658785677195,0.008057440357802717,0.005212427164144208,0.00341439794301506,0.0,0.016141720253131004,0.18896589607040287
