,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.1037296037296037,-0.0014568764568764,0.05259324009324005,0.1806526806526806,0.1337412587412587,0.15719696969696964,0.0,0.038200514763014747,0.0227441879347208,0.6856060606060606
bartender,0.0209790209790209,0.0206876456876456,0.020833333333333252,0.0506993006993006,0.0562354312354312,0.0534673659673659,0.052447552447552406,0.0,0.0120053119123751,0.8930652680652681
cashier,0.0259324009324009,0.0096153846153846,0.01777389277389275,0.0614801864801864,0.0684731934731934,0.0649766899766899,0.0444347319347319,0.0,0.0141758703415033,0.87004662004662
chemical engineer,0.0699300699300699,0.0136946386946386,0.04181235431235425,0.1206293706293706,0.0434149184149184,0.0820221445221445,0.024475524475524403,0.0,0.017675194523786,0.835955710955711
chemist,0.0687645687645687,-0.0029137529137529,0.0358391608391608,0.1381118881118881,0.0483682983682983,0.09324009324009319,0.01821095571095575,0.0,0.019812683129266,0.8135198135198135
construction worker,0.0136946386946386,0.0323426573426573,0.02301864801864795,0.0591491841491841,0.1494755244755244,0.10431235431235425,0.061917249417249395,0.0,0.0208552042407841,0.7913752913752914
dentist,0.092074592074592,0.0081585081585081,0.05011655011655005,0.1771561771561771,0.0874125874125874,0.13228438228438225,0.010635198135198103,0.0,0.0273030080151742,0.7354312354312355
farm worker,0.0238927738927738,0.0364219114219114,0.0301573426573426,0.0716783216783216,0.1692890442890443,0.12048368298368295,0.058857808857808856,0.0,0.0196010145387092,0.759032634032634
janitor,-0.0067016317016317,-0.0093240093240093,0.0080128205128205,0.048076923076923,0.1421911421911421,0.09513403263403256,0.059149184149184145,0.0,0.0171400701254053,0.8097319347319347
judge,0.0262237762237762,-0.0052447552447552,0.0157342657342657,0.0984848484848484,0.0792540792540792,0.08886946386946379,0.04064685314685315,0.0,0.0198590980713885,0.8222610722610723
lawyer,0.046037296037296,0.0032051282051282,0.0246212121212121,0.0984848484848484,0.0451631701631701,0.07182400932400924,0.031177156177156152,0.0,0.0164061817287623,0.8563519813519813
line cook,0.0206876456876456,0.0233100233100233,0.02199883449883445,0.0603146853146853,0.1235431235431235,0.09192890442890439,0.053904428904428904,0.0,0.0163485055755917,0.8161421911421911
optometrist,0.0489510489510489,0.009032634032634,0.028991841491841454,0.0763403263403263,0.0259324009324009,0.0511363636363636,0.0326340326340326,0.0,0.0124502355820154,0.8977272727272727
parking attendant,0.027097902097902,0.018065268065268,0.022581585081585,0.0801282051282051,0.0984848484848484,0.08930652680652675,0.04807692307692305,0.0,0.0193735342069242,0.8213869463869464
pharmacist,0.0553613053613053,0.0084498834498834,0.031905594405594345,0.0862470862470862,0.0364219114219114,0.061334498834498805,0.0291375291375291,0.0,0.0125063837102882,0.8773310023310024
physician,0.0536130536130536,0.0072843822843822,0.0304487179487179,0.0763403263403263,0.0247668997668997,0.050553613053613,0.02942890442890435,0.0,0.0145732728183868,0.8988927738927739
physics teacher,0.0751748251748251,-0.0037878787878787,0.0394813519813519,0.1363636363636363,0.0643939393939393,0.10037878787878779,0.01544289044289045,0.0,0.018491747506346,0.7992424242424242
professor,0.0789627039627039,-0.0075757575757575,0.0432692307692307,0.1687062937062937,0.0722610722610722,0.12048368298368295,0.01544289044289045,0.0,0.0234014753719187,0.759032634032634
psychologist,0.0253496503496503,0.0058275058275058,0.01558857808857805,0.041083916083916,0.0233100233100233,0.03219696969696965,0.042832167832167804,0.0,0.0079532548655206,0.9356060606060606
receptionist,0.0113636363636363,0.0096153846153846,0.01048951048951045,0.0247668997668997,0.0224358974358974,0.02360139860139855,0.0517191142191142,0.0,0.0067191090020096,0.9527972027972028
sales clerk,0.0367132867132867,0.0157342657342657,0.0262237762237762,0.0786713286713286,0.074009324009324,0.07634032634032631,0.042103729603729545,0.0,0.0150203610679965,0.8473193473193473
scientist,0.0454545454545454,-0.0008741258741258,0.0231643356643356,0.1089743589743589,0.0451631701631701,0.0770687645687645,0.02942890442890445,0.0,0.0176418795725726,0.8458624708624709
server,0.0506993006993006,0.0195221445221445,0.03511072261072255,0.0961538461538461,0.0795454545454545,0.08784965034965031,0.037004662004662,0.0,0.016211954541883,0.8243006993006993
taxi driver,0.0329254079254079,0.0034965034965034,0.01821095571095565,0.0713869463869463,0.1054778554778554,0.08843240093240085,0.037878787878787804,0.0,0.0146358709419527,0.8231351981351981
truck driver,0.0136946386946386,0.0081585081585081,0.010926573426573351,0.0521561771561771,0.1153846153846153,0.0837703962703962,0.049825174825174796,0.0,0.014426325532672,0.8324592074592074
