,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0014568764568764,-0.011072261072261,0.0062645687645687,0.0177738927738927,0.018065268065268,0.01791958041958035,0.0,0.006939732921979882,0.0594530321046373,0.682983682983683
bartender,0.0107808857808857,-0.0168997668997669,0.0138403263403263,0.0305944055944055,0.0343822843822843,0.0324883449883449,0.0075757575757576,0.0,0.0867469879518072,0.2855477855477855
cashier,0.0090352666860973,-0.0148644709997085,0.0119498688429029,0.0288545613523754,0.0375983678227921,0.03322646458758375,0.005685300078334201,0.0,0.0757666867107635,0.2613636363636363
chemical engineer,0.0122377622377622,-0.0157342657342657,0.01398601398601395,0.0483682983682983,0.0268065268065268,0.03758741258741255,0.0077214452214452505,0.0,0.0957545708088007,0.3808275058275058
chemist,0.0134032634032634,-0.0101981351981351,0.01180069930069925,0.0431235431235431,0.0259324009324009,0.034527972027972004,0.00641025641025645,0.0,0.0802563320109857,0.333041958041958
construction worker,0.0064102564102564,-0.0186480186480186,0.0125291375291375,0.0285547785547785,0.0734265734265734,0.05099067599067595,0.0062645687645688005,0.0,0.0730553090801537,0.1523892773892773
dentist,0.0113702623906705,-0.0093294460641399,0.010349854227405201,0.049271137026239,0.0227405247813411,0.036005830903790045,0.005828100470957599,0.0,0.0792383292383291,0.3173076923076923
farm worker,0.0055361305361305,-0.0183566433566433,0.0119463869463869,0.0236013986013986,0.069055944055944,0.0463286713286713,0.005681818181818201,0.0,0.0724724127646883,0.1969696969696969
janitor,0.0072843822843822,-0.0078671328671328,0.0075757575757575,0.0265151515151515,0.0533216783216783,0.0399184149184149,0.0045163170163169996,0.0,0.0565006075334142,0.2756410256410256
judge,0.0107808857808857,-0.0183566433566433,0.0145687645687645,0.0527389277389277,0.0352564102564102,0.04399766899766895,0.0083041958041958,0.0,0.0923450789793438,0.3694638694638694
lawyer,0.0087438064704167,-0.009909647333139,0.00932672690177785,0.0536286796852229,0.0285631011366948,0.041095890410958846,0.0042247718763311504,0.0,0.0862977602108037,0.5291375291375291
line cook,0.0125291375291375,-0.0093240093240093,0.0109265734265734,0.0329254079254079,0.06002331002331,0.04647435897435895,0.0064102564102564,0.0,0.0672294241784745,0.1998834498834499
optometrist,0.0093240093240093,-0.0139860139860139,0.0116550116550116,0.053030303030303,0.0262237762237762,0.0396270396270396,0.0053904428904429,0.0,0.0778739184177996,0.4099650349650349
parking attendant,0.0104925677645001,-0.0209851355290002,0.01573885164675015,0.029728941999417,0.0332264645875837,0.03147770329350035,0.00947428288218145,0.0,0.0945094509450945,0.2491258741258741
pharmacist,0.0061206645292917,-0.0131157097056251,0.009618187117458401,0.0445934129991256,0.0276887204896531,0.03614106674438935,0.0033536183528897006,0.0,0.0764544623819676,0.3668414918414918
physician,0.0157388516467502,-0.0163217720781113,0.01603031186243075,0.0606237248615564,0.0303118624307782,0.0454677936461673,0.00976574309786205,0.0,0.1098051345499535,0.4347319347319347
physics teacher,0.0134032634032634,-0.0099067599067599,0.011655011655011649,0.0501165501165501,0.0291375291375291,0.039627039627039604,0.00655594405594405,0.0,0.0885064535955746,0.4003496503496503
professor,0.0157342657342657,-0.0096153846153846,0.012674825174825152,0.0536130536130536,0.0282634032634032,0.040938228438228405,0.00786713286713285,0.0,0.0857142857142856,0.3717948717948718
psychologist,0.0131157097056251,-0.0169046925094724,0.01501020110754875,0.0626639463713203,0.0396385893325561,0.0511512678519382,0.00874563234298005,0.0,0.1053677932405565,0.5474941724941725
receptionist,0.0081585081585081,-0.0209790209790209,0.0145687645687645,0.0349650349650349,0.032051282051282,0.03350815850815845,0.0083041958041958,0.0,0.0895839659884603,0.3866550116550116
sales clerk,0.0096181871174584,-0.0215680559603614,0.0155931215389099,0.0323520839405421,0.0367239871757505,0.0345380355581463,0.0093285527743412,0.0,0.0907457322551661,0.2741841491841492
scientist,0.0122413290585835,-0.0160303118624307,0.014135820460507102,0.0571262022733896,0.0288545613523754,0.0429903818128825,0.0078712516959384,0.0,0.1050257731958763,0.5128205128205128
server,0.0151515151515151,-0.0186480186480186,0.016899766899766848,0.0407925407925407,0.0349650349650349,0.037878787878787804,0.01063519813519815,0.0,0.1012269938650307,0.4192890442890443
taxi driver,0.009032634032634,-0.0125291375291375,0.01078088578088575,0.0352564102564102,0.0509906759906759,0.04312354312354305,0.004516317016317051,0.0,0.0640096618357488,0.2395104895104895
truck driver,0.0136986301369863,-0.0110754881958612,0.01238705916642375,0.04167881084232,0.0891868259982512,0.0654328184202856,0.0061224904018550505,0.0,0.0681750520988389,0.1643356643356643
