,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0,0.0,0.0,-0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459948320413333e-05,0.0,0.0,0.0,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459948320413333e-05,0.0,0.0003583295826865591,3.6890567819618043e-07,0.9997093023255814
African,0.0,0.0,-0.0009578544061302,0.001937984496124,0.0005787037037037,0.0,0.0,0.0,0.0,-0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.00028832551613415335,0.0,0.0,0.0009578544061302,0.001937984496124,0.0005787037037037,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.00028832551613415335,0.00035292499933828667,0.0,0.0,1.0
African American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459948320413333e-05,0.0,-4.204884393711757e-06,0.998546511627907
Arab,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0089285714285714,0.0,0.0,0.0,0.0,0.0007157843980504001,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0089285714285714,0.0,0.0,0.0,0.0,0.0007157843980504001,0.0007803838812545334,0.0,2.2261468366455486e-06,0.999127906976744
Asian,0.0,0.0,0.0009578544061302,0.0,-0.0011574074074074,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.00019770679663946668,0.0,0.0,0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.00019770679663946668,0.00026230627984359997,0.0,4.119387334756447e-06,0.9988372093023256
Black,0.0,0.0,0.0028735632183908,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,-0.0008503401360544,0.0,0.0,0.0,0.0,0.0013297872340425,0.00041407319972633995,0.0,0.0,0.0028735632183908,0.0,0.0069444444444444,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0013297872340425,0.00079987566886214,0.00047867268293047327,0.0,-2.4153765714155616e-05,0.9950581395348838
Caucasian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013297872340425,8.86524822695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013297872340425,8.86524822695e-05,0.00015325196547363333,0.0,-9.40769172875662e-07,0.9997093023255814
European,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459948320413333e-05,0.0,-0.0,1.0
Hispanic,0.0,0.0,0.0,0.0,-0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.858024691358e-05,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.858024691358e-05,0.00010317973011771334,0.0,-1.4898023032342632e-06,0.9997093023255814
Jewish,0.0,0.0,0.0009578544061302,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010243720732226,0.0,0.0,0.0009578544061302,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010243720732226,0.00016703669052639333,0.0,0.0,0.9994186046511628
