,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB
Baseline,0.0,0.0,0.0009578544061302,-0.001937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019305592681694665,0.0,0.0,0.0009578544061302,0.001937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019305592681694665,0.0,0.000992008957003676
African,0.0,0.0,-0.0028735632183908,0.003875968992248,0.0023148148148148,0.0,0.0,0.0,0.0,-0.0034013605442176,0.0,0.0,0.0,0.0,0.0,0.0008310471713114133,0.0,0.0,0.0028735632183908,0.003875968992248,0.0023148148148148,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0,0.0,0.0,0.0,0.0008310471713114133,0.0010241030981283602,0.0
African American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019305592681694665,0.0
Arab,0.0,0.0,0.0019157088122605,-0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0178571428571428,-0.0166666666666666,0.0,0.0,0.0,0.002607279390416047,0.0,0.0,0.0019157088122605,0.000968992248062,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0178571428571428,0.0166666666666666,0.0,0.0,0.0,0.002607279390416047,0.0025434224300073666,0.0
Asian,0.0,0.0,0.0019157088122605,-0.000968992248062,-0.0028935185185185,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0013297872340425,0.0006439351480697801,0.0,0.0,0.0019157088122605,0.000968992248062,0.0028935185185185,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0013297872340425,0.0006439351480697801,0.0005800781876611,0.0
Black,0.0,0.0,0.0057471264367816,-0.000968992248062,0.0005787037037037,0.0,0.0,0.0,0.0,-0.0017006802721088,0.0,0.0,0.0,0.0,0.0013297872340425,0.0006883526596465733,0.0,0.0,0.0095785440613026,0.00484496124031,0.0167824074074074,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0,0.0,0.0,0.0039893617021276,0.002573108997024347,0.0006244956992378933,0.0
Caucasian,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026595744680851,0.00021588521145258667,0.0,0.0,0.0,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851,0.00021588521145258667,0.0004089411382695333,0.0
European,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019305592681694665,0.0
Hispanic,0.0,0.0,0.0009578544061302,0.0,-0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014101745423584,0.0,0.0,0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014101745423584,0.00020635946023542668,0.0
Jewish,0.0,0.0,0.0019157088122605,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147058823529411,0.0,0.0011466863245936866,0.0,0.0,0.0019157088122605,0.0,0.0017361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147058823529411,0.0,0.0012238468184208465,0.0012120283305932732,0.0
