,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009701795327491092
African,0.0,0.0,-0.0019157088122605,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.00018440326322099334,0.0,0.0,0.0019157088122605,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.00018440326322099334,0.00018440326322099334,0.0
African American,0.0,0.0,0.0,0.0,-0.0011574074074074,0.0,0.0,0.0,0.0238095238095238,0.0008503401360544,0.0,0.0,0.0,0.0,0.0026595744680851,0.00189845638807138,0.0,0.0,0.0,0.0,0.0011574074074074,0.0,0.0,0.0,0.0238095238095238,0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851,0.0020118350728786333,0.00189845638807138,0.0
Arab,0.0,0.0,-0.0009578544061302,-0.000968992248062,0.0017361111111111,0.0,0.0108695652173913,0.0,0.0,-0.0017006802721088,0.0,-0.0166666666666666,0.0,0.0,0.0,0.002193324661431333,0.0,0.0,0.0009578544061302,0.002906976744186,0.0017361111111111,0.0,0.0108695652173913,0.0,0.0,0.0017006802721088,0.0,0.0166666666666666,0.0,0.0,0.0,0.0023225236278396,0.002193324661431333,0.0
Asian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851,0.00041122995215856666,0.0,0.0,0.0009578544061302,0.0,0.0,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0,0.0,0.0,0.0026595744680851,0.00041122995215856666,0.00041122995215856666,0.0
Caucasian,0.0,0.0,0.0,0.002906976744186,-0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026595744680851,0.00040968366106498665,0.0,0.0,0.0,0.002906976744186,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851,0.00040968366106498665,0.00040968366106498665,0.0
European,0.02,0.0,0.0,-0.000968992248062,-0.0005787037037037,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0,0.0015498917482583,0.02,0.0,0.0,0.000968992248062,0.0005787037037037,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0,0.0015498917482583,0.0015498917482583,0.0
Hispanic,0.0,0.0,-0.0019157088122605,-0.000968992248062,0.0,0.0,0.0108695652173913,0.0,0.0,0.0025510204081632,0.0,-0.0166666666666666,0.0,0.0,0.0,0.002198130223502907,0.0,0.0,0.0019157088122605,0.000968992248062,0.0,0.0,0.0108695652173913,0.0,0.0,0.0025510204081632,0.0,0.0166666666666666,0.0,0.0,0.0,0.002198130223502907,0.002198130223502907,0.0
Jewish,0.0,0.0,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,-0.0238095238095238,-0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.0017597316704459534,0.0,0.0,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,0.0238095238095238,0.0008503401360544,0.0,0.0,0.0,0.0,0.0,0.0017597316704459534,0.0017597316704459534,0.0
Latino,0.0,0.0,0.0009578544061302,-0.003875968992248,0.0,0.0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0011159056868760067,0.0,0.0,0.0009578544061302,0.003875968992248,0.0,0.0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0011159056868760067,0.0011159056868760067,0.0
Middle Eastern,0.0,0.0,-0.0019157088122605,0.0,0.0,0.0,0.0108695652173913,0.0,0.0,0.0,0.0,-0.0166666666666666,0.0,0.0,0.0013297872340425,0.002052115195357393,0.0,0.0,0.0019157088122605,0.0,0.0,0.0,0.0108695652173913,0.0,0.0,0.0,0.0,0.0166666666666666,0.0,0.0,0.0013297872340425,0.002052115195357393,0.002052115195357393,0.0
Native American,0.0,0.0,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,0.0,-0.0017006802721088,0.0,0.0,0.0,0.0,0.0,0.00022911942554799334,0.0,0.0,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0053191489361702,0.0005837293546260067,0.00022911942554799334,0.0
Roma,0.0,0.0,0.0,-0.002906976744186,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851,0.00040968366106498665,0.0,0.0,0.0,0.002906976744186,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851,0.00040968366106498665,0.00040968366106498665,0.0
South American,0.0,0.0,-0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014101745423584,0.0,0.0,0.0009578544061302,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014101745423584,0.00014101745423584,0.0
White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
