,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_a,Acc_a,TB_Atheist_std,TB_Buddhist_std,TB_Catholic_std,TB_Christian_std,TB_Hindu_std,TB_Jewish_std,TB_Mormon_std,TB_Muslim_std,TB_Protestant_std,TB_Sikh_std,TB_std,BAmt_Atheist_std,BAmt_Buddhist_std,BAmt_Catholic_std,BAmt_Christian_std,BAmt_Hindu_std,BAmt_Jewish_std,BAmt_Mormon_std,BAmt_Muslim_std,BAmt_Protestant_std,BAmt_Sikh_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.0763888888888889,0.0178571428571428,0.0757575757575757,0.0,-0.3333333333333333,0.0571428571428571,-0.0075757575757575,0.0182926829268292,0.1111111111111111,0.0,0.0697459349593495,0.0763888888888889,0.0178571428571428,0.0757575757575757,0.0,0.3484848484848485,0.0571428571428571,0.0378787878787878,0.0792682926829268,0.1111111111111111,0.0,0.0803889504804138,0.0,0.0130479591546664,0.0033744010951403,0.7933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atheist,0.0833333333333333,0.0357142857142857,0.0606060606060606,0.0,-0.3636363636363636,0.0571428571428571,-0.0151515151515151,0.0365853658536585,0.1388888888888889,0.0,0.0791058670326962,0.0833333333333333,0.0357142857142857,0.0606060606060606,0.0,0.3939393939393939,0.0571428571428571,0.0454545454545454,0.0609756097560975,0.1388888888888889,0.0,0.0876054974835462,0.0123902351036497,0.0,0.0032779097387173,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buddhist,0.0833333333333333,0.0535714285714285,0.0454545454545454,0.0,-0.2878787878787879,0.05,-0.0454545454545454,0.0365853658536585,0.125,0.0,0.0727278006546299,0.0833333333333333,0.0535714285714285,0.0454545454545454,0.0,0.3484848484848485,0.05,0.0454545454545454,0.0609756097560975,0.125,0.0,0.0812274311054798,0.0195619522753669,0.0,0.0035714285714285,0.6233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catholic,0.0833333333333333,0.0357142857142857,0.0833333333333333,0.0128205128205128,-0.3106060606060606,0.0571428571428571,-0.0227272727272727,0.0121951219512195,0.125,0.0,0.0742872777628874,0.0833333333333333,0.0357142857142857,0.0833333333333333,0.0128205128205128,0.3863636363636363,0.0571428571428571,0.0833333333333333,0.0853658536585365,0.125,0.0,0.0952407145699828,0.0103063095441144,0.0,0.0043209876543209,0.7016666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0256410256410256,-0.3712121212121212,0.0571428571428571,-0.0227272727272727,0.0304878048780487,0.125,0.0,0.082701627640652,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0256410256410256,0.3863636363636363,0.0571428571428571,0.0833333333333333,0.0670731707317073,0.1527777777777778,0.0,0.0967136995795532,0.0129556926813024,0.0,0.005037037037037,0.7316666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hindu,0.0763888888888889,0.0357142857142857,0.0757575757575757,0.0128205128205128,-0.3106060606060606,0.0571428571428571,-0.053030303030303,0.0121951219512195,0.1388888888888889,0.0,0.0772544494800592,0.0763888888888889,0.0357142857142857,0.0757575757575757,0.0128205128205128,0.4015151515151515,0.0571428571428571,0.053030303030303,0.0853658536585365,0.1388888888888889,0.0,0.0936624317417,0.0132734812612861,0.0,0.0037320574162679,0.6783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jewish,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0,-0.3333333333333333,0.0571428571428571,-0.0227272727272727,0.0182926829268292,0.1111111111111111,0.0,0.0737412452046598,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0,0.4090909090909091,0.0571428571428571,0.053030303030303,0.0792682926829268,0.1111111111111111,0.0,0.0904448667863301,0.0039953102453102,0.0,0.003301737756714,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mormon,0.0763888888888889,0.0357142857142857,0.053030303030303,0.0128205128205128,-0.3787878787878788,0.0571428571428571,0.0757575757575757,0.0121951219512195,0.1388888888888889,0.0,0.084072631298241,0.0902777777777777,0.0357142857142857,0.053030303030303,0.0128205128205128,0.3787878787878788,0.0571428571428571,0.1515151515151515,0.0853658536585365,0.1388888888888889,0.0,0.1003543509336191,0.0216068145946194,0.0,0.0019905213270142,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muslim,0.0902777777777777,0.0357142857142857,0.0606060606060606,0.0128205128205128,-0.3560606060606061,0.0571428571428571,-0.0151515151515151,0.0182926829268292,0.1111111111111111,0.0,0.0757177409311555,0.0902777777777777,0.0357142857142857,0.0909090909090909,0.0128205128205128,0.4015151515151515,0.0571428571428571,0.0909090909090909,0.0792682926829268,0.1111111111111111,0.0,0.0969668170582804,0.0090021090021089,0.0,0.0032081377151799,0.6866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protestant,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0192307692307692,-0.3333333333333333,0.0571428571428571,-0.0378787878787878,0.0304878048780487,0.1388888888888889,0.0,0.0811767636157879,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.032051282051282,0.4090909090909091,0.0571428571428571,0.0984848484848484,0.0914634146341463,0.1388888888888889,0.0,0.1021927395098126,0.0114308286564384,0.0,0.0050150489089541,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikh,0.0833333333333333,0.0357142857142857,0.0909090909090909,0.0064102564102564,-0.3484848484848485,0.0571428571428571,-0.0378787878787878,0.0304878048780487,0.1388888888888889,0.0277777777777777,0.0857027931418175,0.0833333333333333,0.0357142857142857,0.0909090909090909,0.0192307692307692,0.4090909090909091,0.0571428571428571,0.0681818181818181,0.0670731707317073,0.1388888888888889,0.0277777777777777,0.0997342901001437,0.0159568581824679,0.0,0.0055582137161084,0.6733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
