,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,-0.0096153846153846,0.0096153846153846,0.0096153846153846,0.0119463869463869,0.0119463869463869,0.0119463869463869,0.0,0.003751456876456913,-1.8680823997477253e-05,0.9880536130536132
bartender,-0.004079254079254,0.004079254079254,0.004079254079254,0.0093240093240093,0.0093240093240093,0.0093240093240093,0.0055361305361306,0.0,-0.0001106238394373,0.9906759906759908
cashier,-0.0072843822843822,0.0072843822843822,0.0072843822843822,0.0119463869463869,0.0119463869463869,0.0119463869463869,0.0023310023310024004,0.0,-0.0001213570392765,0.9880536130536132
chemical engineer,-0.0067016317016317,0.0067016317016317,0.0067016317016317,0.0101981351981351,0.0101981351981351,0.0101981351981351,0.0029137529137529,0.0,-7.219918724343542e-05,0.9898018648018648
chemist,-0.0087412587412587,0.0087412587412587,0.0087412587412587,0.011072261072261,0.011072261072261,0.011072261072261,0.0008741258741259,0.0,-9.395844590127764e-05,0.9889277389277388
construction worker,-0.0064102564102564,0.0064102564102564,0.0064102564102564,0.0104895104895104,0.0104895104895104,0.0104895104895104,0.0032051282051282007,0.0,-2.166359043682465e-05,0.9895104895104896
dentist,-0.0096153846153846,0.0096153846153846,0.0096153846153846,0.0113636363636363,0.0113636363636363,0.0113636363636363,0.0,0.0,-5.582849486377888e-05,0.9886363636363636
farm worker,-0.004079254079254,0.004079254079254,0.004079254079254,0.0099067599067599,0.0099067599067599,0.0099067599067599,0.0055361305361306,0.0,-0.0001061730245571,0.99009324009324
janitor,-0.0067016317016317,0.0067016317016317,0.0067016317016317,0.0107808857808857,0.0107808857808857,0.0107808857808857,0.0029137529137529,0.0,-7.966171759275244e-05,0.9892191142191142
judge,-0.0034965034965034,0.0034965034965034,0.0034965034965034,0.0052447552447552,0.0052447552447552,0.0052447552447552,0.0061188811188812005,0.0,-6.084402836142937e-05,0.9947552447552448
lawyer,-0.0029137529137529,0.0029137529137529,0.0029137529137529,0.0081585081585081,0.0081585081585081,0.0081585081585081,0.0067016317016317,0.0,-6.798756798756776e-05,0.9918414918414918
line cook,-0.0072843822843822,0.0072843822843822,0.0072843822843822,0.0113636363636363,0.0113636363636363,0.0113636363636363,0.0023310023310024004,0.0,-7.219591082361055e-05,0.9886363636363636
optometrist,-0.0058275058275058,0.0058275058275058,0.0058275058275058,0.0104895104895104,0.0104895104895104,0.0104895104895104,0.0037878787878788,0.0,-0.0001134001134001,0.9895104895104896
parking attendant,-0.0034965034965034,0.0034965034965034,0.0034965034965034,0.0122377622377622,0.0122377622377622,0.0122377622377622,0.0061188811188812005,0.0,3.5619266388497685e-05,0.9877622377622378
pharmacist,-0.0017482517482517,0.0017482517482517,0.0017482517482517,0.0058275058275058,0.0058275058275058,0.0058275058275058,0.0078671328671329,0.0,-5.193855461235112e-05,0.9941724941724942
physician,-0.0037878787878787,0.0037878787878787,0.0037878787878787,0.0072843822843822,0.0072843822843822,0.0072843822843822,0.005827505827505901,0.0,-3.9375039375039214e-05,0.9927156177156176
physics teacher,-0.0075757575757575,0.0075757575757575,0.0075757575757575,0.011072261072261,0.011072261072261,0.011072261072261,0.0020396270396271007,0.0,-8.559728887150499e-05,0.9889277389277388
professor,-0.0064102564102564,0.0064102564102564,0.0064102564102564,0.0104895104895104,0.0104895104895104,0.0104895104895104,0.0032051282051282007,0.0,-0.0001374585649325,0.9895104895104896
psychologist,-0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0032051282051282,0.0032051282051282,0.0032051282051282,0.008741258741258801,0.0,-3.532244787635272e-05,0.9967948717948718
receptionist,-0.0081585081585081,0.0081585081585081,0.0081585081585081,0.0116550116550116,0.0116550116550116,0.0116550116550116,0.0014568764568764995,0.0,-6.838648917441901e-05,0.9883449883449884
sales clerk,-0.0067016317016317,0.0067016317016317,0.0067016317016317,0.0113636363636363,0.0113636363636363,0.0113636363636363,0.0029137529137529,0.0,-5.133470225872724e-05,0.9886363636363636
scientist,-0.0072843822843822,0.0072843822843822,0.0072843822843822,0.009032634032634,0.009032634032634,0.009032634032634,0.0023310023310024004,0.0,-0.0001276842932109,0.990967365967366
server,-0.0084498834498834,0.0084498834498834,0.0084498834498834,0.0125291375291375,0.0125291375291375,0.0125291375291375,0.0011655011655012006,0.0,-3.512373356185948e-05,0.9874708624708624
taxi driver,-0.0072843822843822,0.0072843822843822,0.0072843822843822,0.0107808857808857,0.0107808857808857,0.0107808857808857,0.0023310023310024004,0.0,-3.0516053564981576e-05,0.9892191142191142
truck driver,-0.0058275058275058,0.0058275058275058,0.0058275058275058,0.011072261072261,0.011072261072261,0.011072261072261,0.0037878787878788,0.0,-0.0001095359710363,0.9889277389277388
