,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.712509712507082e-05,-0.0015637216575449,0.9880536130536132
bartender,-0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0002913752913752,0.0,-0.011864406779661,0.9906759906759908
cashier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101584721657862,0.9880536130536132
chemical engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070796460176991,0.9898018648018648
chemist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084859312192943,0.9889277389277388
construction worker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020652622883106,0.9895104895104896
dentist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049129075480125,0.9886363636363636
farm worker,0.0,-0.0002913752913752,0.0001456876456876,0.0,0.0002913752913752,0.0001456876456876,0.0001456876456876,0.0,-0.0107172300082439,0.9898018648018648
janitor,0.0002913752913752,0.0,0.0001456876456876,0.0002913752913752,0.0,0.0001456876456876,0.0001456876456876,0.0,-0.0073891625615764,0.9892191142191142
judge,-0.0002913752913752,0.0,0.0001456876456876,0.0002913752913752,0.0,0.0001456876456876,0.0001456876456876,0.0,-0.0116009280742459,0.9947552447552448
lawyer,0.0,0.0002913752913752,0.0001456876456876,0.0,0.0002913752913752,0.0001456876456876,0.0001456876456876,0.0,-0.0083333333333333,0.9918414918414918
line cook,0.0,-0.0002913752913752,0.0001456876456876,0.0,0.0002913752913752,0.0001456876456876,0.0001456876456876,0.0,-0.0063532401524777,0.9886363636363636
optometrist,-0.0002913752913752,0.0,0.0001456876456876,0.0002913752913752,0.0,0.0001456876456876,0.0001456876456876,0.0,-0.0108108108108108,0.9895104895104896
parking attendant,0.0,-0.0008741258741258,0.0004370629370629,0.0,0.0008741258741258,0.0004370629370629,0.0004370629370629,0.0,0.0029106029106029,0.9877622377622378
pharmacist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089126559714795,0.9941724941724942
physician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054054054054053,0.9927156177156176
physics teacher,-0.0002913752913752,0.0,0.0001456876456876,0.0002913752913752,0.0,0.0001456876456876,0.0001456876456876,0.0,-0.0077307867212369,0.9889277389277388
professor,0.0,0.0002913752913752,0.0001456876456876,0.0,0.0008741258741258,0.0004370629370629,0.0001456876456876,0.0,-0.0131043831902395,0.9895104895104896
psychologist,0.0002913752913752,0.0,0.0001456876456876,0.0002913752913752,0.0,0.0001456876456876,0.0001456876456876,0.0,-0.011020603737422,0.9967948717948718
receptionist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058675607711651,0.9883449883449884
sales clerk,0.0,-0.0002913752913752,0.0001456876456876,0.0,0.0002913752913752,0.0001456876456876,0.0001456876456876,0.0,-0.004517453798768,0.9886363636363636
scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141358869129046,0.990967365967366
server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028033640368442,0.9874708624708624
taxi driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028305701577031,0.9892191142191142
truck driver,-0.0002913752913752,0.0,0.0001456876456876,0.0002913752913752,0.0,0.0001456876456876,0.0001456876456876,0.0,-0.0098928276999175,0.9889277389277388
