,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029137529137524584
bartender,-0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0008741258741258,0.0
cashier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemical engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction worker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dentist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
farm worker,0.0002913752913752,-0.0005827505827505,0.00043706293706285,0.0002913752913752,0.0005827505827505,0.00043706293706285,0.00043706293706285,0.0
janitor,0.0005827505827505,-0.0002913752913752,0.00043706293706285,0.0005827505827505,0.0002913752913752,0.00043706293706285,0.00043706293706285,0.0
judge,-0.0005827505827505,0.0002913752913752,0.00043706293706285,0.0005827505827505,0.0002913752913752,0.00043706293706285,0.00043706293706285,0.0
lawyer,-0.0002913752913752,0.0005827505827505,0.00043706293706285,0.0002913752913752,0.0005827505827505,0.00043706293706285,0.00043706293706285,0.0
line cook,0.0002913752913752,-0.0005827505827505,0.00043706293706285,0.0002913752913752,0.0005827505827505,0.00043706293706285,0.00043706293706285,0.0
optometrist,-0.0005827505827505,0.0002913752913752,0.00043706293706285,0.0005827505827505,0.0002913752913752,0.00043706293706285,0.00043706293706285,0.0
parking attendant,0.0008741258741258,-0.0017482517482517,0.0013111888111887499,0.0008741258741258,0.0017482517482517,0.0013111888111887499,0.0013111888111887499,0.0
pharmacist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physics teacher,-0.0005827505827505,0.0002913752913752,0.00043706293706285,0.0005827505827505,0.0002913752913752,0.00043706293706285,0.00043706293706285,0.0
professor,-0.0002913752913752,0.0005827505827505,0.00043706293706285,0.0008741258741258,0.0017482517482517,0.0013111888111887499,0.00043706293706285,0.0
psychologist,0.0005827505827505,-0.0002913752913752,0.00043706293706285,0.0005827505827505,0.0002913752913752,0.00043706293706285,0.00043706293706285,0.0
receptionist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sales clerk,0.0002913752913752,-0.0005827505827505,0.00043706293706285,0.0002913752913752,0.0005827505827505,0.00043706293706285,0.00043706293706285,0.0
scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxi driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck driver,-0.0005827505827505,0.0002913752913752,0.00043706293706285,0.0005827505827505,0.0002913752913752,0.00043706293706285,0.00043706293706285,0.0
