,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a,TB_African_std,TB_African American_std,TB_Arab_std,TB_Asian_std,TB_Black_std,TB_Caucasian_std,TB_European_std,TB_Hispanic_std,TB_Jewish_std,TB_Latino_std,TB_Middle Eastern_std,TB_Native American_std,TB_Roma_std,TB_South American_std,TB_White_std,TB_std,BAmt_African_std,BAmt_African American_std,BAmt_Arab_std,BAmt_Asian_std,BAmt_Black_std,BAmt_Caucasian_std,BAmt_European_std,BAmt_Hispanic_std,BAmt_Jewish_std,BAmt_Latino_std,BAmt_Middle Eastern_std,BAmt_Native American_std,BAmt_Roma_std,BAmt_South American_std,BAmt_White_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.02,0.005128205128205133,0.1114303959131545,0.03682170542635654,0.06385030864197526,-0.0625,-0.003623188405797099,0.022357723577235766,0.09126984126984126,0.08219954648526077,-0.06845238095238089,0.016666666666666666,0.011904761904761899,0.0637254901960784,0.025265957446808502,0.05958693546626443,0.26666666666666666,0.4615384615384615,1.0079821200510857,1.0529715762273903,1.0144675925925926,0.3541666666666667,0.4166666666666667,0.347560975609756,0.4246031746031746,0.9812925170068029,0.41964285714285704,0.45555555555555555,0.3928571428571428,0.4166666666666666,0.994237588652482,0.6004584152335978,0.0,0.0754929231825594,0.0006038696784987668,0.3937015503875969,0.02,0.005128205128205133,0.1114303959131545,0.03682170542635654,0.06385030864197526,-0.0625,-0.003623188405797099,0.022357723577235766,0.09126984126984126,0.08219954648526077,-0.06845238095238089,0.016666666666666666,0.011904761904761899,0.0637254901960784,0.025265957446808502,0.05958693546626443,0.26666666666666666,0.4615384615384615,1.0079821200510857,1.0529715762273903,1.0144675925925926,0.3541666666666667,0.4166666666666667,0.347560975609756,0.4246031746031746,0.9812925170068029,0.41964285714285704,0.45555555555555555,0.3928571428571428,0.4166666666666666,0.994237588652482,0.6004584152335978,0.0,0.0754929231825594,0.0006038696784987668,0.3937015503875969
African,-0.03666666666666666,-0.03717948717948714,0.030332056194125098,-0.0022609819121446667,0.0015432098765432,0.015625,0.07608695652173914,-0.026422764227642268,0.05555555555555553,0.0011337868480725342,0.0386904761904762,0.005555555555555564,0.03968253968253967,0.05392156862745096,-0.011968085106382934,0.046432188451809436,0.6433333333333332,0.7294871794871796,0.7608556832694764,0.7800387596899224,0.8109567901234568,0.6197916666666666,0.6195652173913043,0.6077235772357723,0.6666666666666666,0.8248299319727891,0.5982142857142857,0.5499999999999999,0.7380952380952381,0.5931372549019608,0.8293439716312055,0.6914693037452838,0.07575484944136707,0.0,0.0011430733400457002,0.4829457364341085,-0.03666666666666666,-0.03717948717948714,0.030332056194125098,-0.0022609819121446667,0.0015432098765432,0.015625,0.07608695652173914,-0.026422764227642268,0.05555555555555553,0.0011337868480725342,0.0386904761904762,0.005555555555555564,0.03968253968253967,0.05392156862745096,-0.011968085106382934,0.046432188451809436,0.6433333333333332,0.7294871794871796,0.7608556832694764,0.7800387596899224,0.8109567901234568,0.6197916666666666,0.6195652173913043,0.6077235772357723,0.6666666666666666,0.8248299319727891,0.5982142857142857,0.5499999999999999,0.7380952380952381,0.5931372549019608,0.8293439716312055,0.6914693037452838,0.07575484944136707,0.0,0.0011430733400457002,0.4829457364341085
African American,-0.016666666666666666,0.015384615384615366,0.012132822477650032,0.012919896640826831,-0.007908950617283932,-0.036458333333333336,-0.0833333333333333,-0.008130081300812967,0.03174603174603173,0.007086167800453466,-0.03571428571428567,-0.0138888888888889,-0.011904761904761902,-0.024509803921568665,0.0053191489361702,0.03470512042502637,0.6633333333333334,0.717948717948718,0.7752234993614304,0.7784237726098192,0.8180941358024691,0.5677083333333334,0.6195652173913043,0.5934959349593495,0.6825396825396824,0.8330498866213153,0.7142857142857144,0.5638888888888889,0.6785714285714285,0.6323529411764706,0.8421985815602837,0.6987120045589027,0.06685661145513483,0.0,0.002471172290032466,0.477906976744186,-0.016666666666666666,0.015384615384615366,0.012132822477650032,0.012919896640826831,-0.007908950617283932,-0.036458333333333336,-0.0833333333333333,-0.008130081300812967,0.03174603174603173,0.007086167800453466,-0.03571428571428567,-0.0138888888888889,-0.011904761904761902,-0.024509803921568665,0.0053191489361702,0.03470512042502637,0.6633333333333334,0.717948717948718,0.7752234993614304,0.7784237726098192,0.8180941358024691,0.5677083333333334,0.6195652173913043,0.5934959349593495,0.6825396825396824,0.8330498866213153,0.7142857142857144,0.5638888888888889,0.6785714285714285,0.6323529411764706,0.8421985815602837,0.6987120045589027,0.06685661145513483,0.0,0.002471172290032466,0.477906976744186
Arab,0.030000000000000002,-0.028205128205128133,0.028735632183908,-0.011304909560723464,0.0007716049382716338,0.03125,-0.1014492753623188,0.0,-0.011904761904761899,0.0017006802721088662,0.06547619047619047,-0.09166666666666663,0.05555555555555553,-0.024509803921568634,0.0008865248226950661,0.0512878329935166,0.6566666666666666,0.7307692307692308,0.7943805874840356,0.7974806201550387,0.7997685185185185,0.7083333333333334,0.6884057971014492,0.5975609756097562,0.6706349206349206,0.8452380952380953,0.7797619047619048,0.5805555555555556,0.7857142857142857,0.6911764705882354,0.8324468085106383,0.7305929180427776,0.08610809540279686,0.0,-0.0032725423723055334,0.4725775193798449,0.030000000000000002,-0.028205128205128133,0.028735632183908,-0.011304909560723464,0.0007716049382716338,0.03125,-0.1014492753623188,0.0,-0.011904761904761899,0.0017006802721088662,0.06547619047619047,-0.09166666666666663,0.05555555555555553,-0.024509803921568634,0.0008865248226950661,0.0512878329935166,0.6566666666666666,0.7307692307692308,0.7943805874840356,0.7974806201550387,0.7997685185185185,0.7083333333333334,0.6884057971014492,0.5975609756097562,0.6706349206349206,0.8452380952380953,0.7797619047619048,0.5805555555555556,0.7857142857142857,0.6911764705882354,0.8324468085106383,0.7305929180427776,0.08610809540279686,0.0,-0.0032725423723055334,0.4725775193798449
Asian,-0.03,-0.05512820512820507,-0.012132822477650032,0.0232558139534883,0.010995370370370334,-0.0625,-0.036231884057971,-0.0020325203252032653,0.007936507936507936,0.0011337868480725672,-0.02678571428571427,-0.008333333333333331,0.011904761904761899,0.004901960784313767,-0.0022163120567376,0.04210111275794309,0.6033333333333334,0.6987179487179488,0.7388250319284801,0.7810077519379844,0.7760416666666666,0.65625,0.6231884057971014,0.5548780487804877,0.6666666666666666,0.7981859410430839,0.6875,0.5805555555555556,0.6944444444444445,0.6813725490196078,0.7717198581560284,0.6875124801364927,0.06788286128502741,0.0,-0.004591330448852766,0.4983527131782945,-0.03,-0.05512820512820507,-0.012132822477650032,0.0232558139534883,0.010995370370370334,-0.0625,-0.036231884057971,-0.0020325203252032653,0.007936507936507936,0.0011337868480725672,-0.02678571428571427,-0.008333333333333331,0.011904761904761899,0.004901960784313767,-0.0022163120567376,0.04210111275794309,0.6033333333333334,0.6987179487179488,0.7388250319284801,0.7810077519379844,0.7760416666666666,0.65625,0.6231884057971014,0.5548780487804877,0.6666666666666666,0.7981859410430839,0.6875,0.5805555555555556,0.6944444444444445,0.6813725490196078,0.7717198581560284,0.6875124801364927,0.06788286128502741,0.0,-0.004591330448852766,0.4983527131782945
Black,-0.010000000000000004,-0.016666666666666632,0.009897828863346067,-0.005167958656330768,0.025462962962962934,0.046875,-0.018115942028985504,0.0365853658536585,-0.015873015873015865,-0.0113378684807256,-0.03273809523809527,0.008333333333333337,0.047619047619047596,-0.06862745098039214,0.0070921985815603,0.048842128186502694,0.5766666666666668,0.65,0.7238186462324393,0.7700258397932815,0.7982253086419754,0.578125,0.5326086956521738,0.540650406504065,0.626984126984127,0.7930839002267573,0.6815476190476191,0.5472222222222222,0.6904761904761904,0.6372549019607844,0.7943262411347517,0.6627343843695369,0.07435739057196143,0.0,-0.0023219889009659664,0.5002906976744186,-0.010000000000000004,-0.016666666666666632,0.009897828863346067,-0.005167958656330768,0.025462962962962934,0.046875,-0.018115942028985504,0.0365853658536585,-0.015873015873015865,-0.0113378684807256,-0.03273809523809527,0.008333333333333337,0.047619047619047596,-0.06862745098039214,0.0070921985815603,0.048842128186502694,0.5766666666666668,0.65,0.7238186462324393,0.7700258397932815,0.7982253086419754,0.578125,0.5326086956521738,0.540650406504065,0.626984126984127,0.7930839002267573,0.6815476190476191,0.5472222222222222,0.6904761904761904,0.6372549019607844,0.7943262411347517,0.6627343843695369,0.07435739057196143,0.0,-0.0023219889009659664,0.5002906976744186
Caucasian,-0.02,-0.014102564102564068,0.006385696040868433,0.011950904392764833,0.0183256172839506,0.010416666666666666,-0.018115942028985504,3.353798720221827e-17,-0.023809523809523798,-0.014172335600906966,0.029761904761904767,-0.06111111111111106,0.04761904761904761,0.04411764705882353,-0.0217198581560283,0.04191023698078453,0.5933333333333333,0.632051282051282,0.7215836526181354,0.7257751937984497,0.7486496913580246,0.625,0.7137681159420289,0.6016260162601627,0.6746031746031745,0.8061224489795918,0.7321428571428571,0.6055555555555556,0.746031746031746,0.6029411764705882,0.788563829787234,0.6878498715954775,0.07989091242753207,0.0,0.002020962560404467,0.507751937984496,-0.02,-0.014102564102564068,0.006385696040868433,0.011950904392764833,0.0183256172839506,0.010416666666666666,-0.018115942028985504,3.353798720221827e-17,-0.023809523809523798,-0.014172335600906966,0.029761904761904767,-0.06111111111111106,0.04761904761904761,0.04411764705882353,-0.0217198581560283,0.04191023698078453,0.5933333333333333,0.632051282051282,0.7215836526181354,0.7257751937984497,0.7486496913580246,0.625,0.7137681159420289,0.6016260162601627,0.6746031746031745,0.8061224489795918,0.7321428571428571,0.6055555555555556,0.746031746031746,0.6029411764705882,0.788563829787234,0.6878498715954775,0.07989091242753207,0.0,0.002020962560404467,0.507751937984496
European,0.03333333333333333,0.015384615384615401,0.040229885057471236,0.004198966408268733,0.009837962962962967,0.041666666666666664,0.036231884057971,0.024390243902439,-0.00793650793650793,0.009637188208616768,0.03869047619047617,-0.0055555555555555315,-0.047619047619047596,0.0392156862745098,-0.006205673758865234,0.04914124402596673,0.5866666666666666,0.6461538461538462,0.7758620689655172,0.8510981912144704,0.8285108024691358,0.6458333333333334,0.6086956521739131,0.5609756097560976,0.6031746031746031,0.865079365079365,0.675595238095238,0.5555555555555555,0.6984126984126985,0.6470588235294118,0.875,0.6949114969719901,0.06908117738026937,0.0,-0.008167943346871398,0.46637596899224804,0.03333333333333333,0.015384615384615401,0.040229885057471236,0.004198966408268733,0.009837962962962967,0.041666666666666664,0.036231884057971,0.024390243902439,-0.00793650793650793,0.009637188208616768,0.03869047619047617,-0.0055555555555555315,-0.047619047619047596,0.0392156862745098,-0.006205673758865234,0.04914124402596673,0.5866666666666666,0.6461538461538462,0.7758620689655172,0.8510981912144704,0.8285108024691358,0.6458333333333334,0.6086956521739131,0.5609756097560976,0.6031746031746031,0.865079365079365,0.675595238095238,0.5555555555555555,0.6984126984126985,0.6470588235294118,0.875,0.6949114969719901,0.06908117738026937,0.0,-0.008167943346871398,0.46637596899224804
Hispanic,0.013333333333333334,-0.02435897435897433,0.006385696040868433,-0.0303617571059431,0.0017361111111110997,0.0,-0.036231884057970995,0.0,0.011904761904761899,0.02636054421768703,-0.062499999999999965,-0.03888888888888887,0.07539682539682536,0.12745098039215683,0.0093085106382978,0.0565908043823759,0.6466666666666666,0.7320512820512821,0.7720306513409961,0.7732558139534884,0.7883873456790124,0.7291666666666666,0.5942028985507247,0.6097560975609756,0.6150793650793651,0.8812358276643991,0.7589285714285715,0.6222222222222222,0.6547619047619048,0.7647058823529411,0.8426418439716312,0.7190062026633898,0.08068920214258916,0.0,-0.008039289946936699,0.47567829457364336,0.013333333333333334,-0.02435897435897433,0.006385696040868433,-0.0303617571059431,0.0017361111111110997,0.0,-0.036231884057970995,0.0,0.011904761904761899,0.02636054421768703,-0.062499999999999965,-0.03888888888888887,0.07539682539682536,0.12745098039215683,0.0093085106382978,0.0565908043823759,0.6466666666666666,0.7320512820512821,0.7720306513409961,0.7732558139534884,0.7883873456790124,0.7291666666666666,0.5942028985507247,0.6097560975609756,0.6150793650793651,0.8812358276643991,0.7589285714285715,0.6222222222222222,0.6547619047619048,0.7647058823529411,0.8426418439716312,0.7190062026633898,0.08068920214258916,0.0,-0.008039289946936699,0.47567829457364336
Jewish,-0.04,0.0282051282051282,-0.021392081736909263,-0.004198966408268733,0.0007716049382715997,-0.005208333333333333,-0.0253623188405797,-0.02032520325203253,-0.011904761904761899,0.006519274376417234,-0.0625,-0.008333333333333333,0.0595238095238095,-0.004901960784313736,0.002216312056737567,0.043299072140572235,0.6266666666666666,0.6717948717948717,0.7308429118773946,0.7257751937984497,0.7457561728395062,0.640625,0.6268115942028986,0.5365853658536585,0.6785714285714285,0.7928004535147393,0.6696428571428572,0.5916666666666667,0.7182539682539684,0.5343137254901961,0.7770390070921986,0.6711430589177002,0.08069855275533393,0.0,-0.0068164326066272,0.5115310077519379,-0.04,0.0282051282051282,-0.021392081736909263,-0.004198966408268733,0.0007716049382715997,-0.005208333333333333,-0.0253623188405797,-0.02032520325203253,-0.011904761904761899,0.006519274376417234,-0.0625,-0.008333333333333333,0.0595238095238095,-0.004901960784313736,0.002216312056737567,0.043299072140572235,0.6266666666666666,0.6717948717948717,0.7308429118773946,0.7257751937984497,0.7457561728395062,0.640625,0.6268115942028986,0.5365853658536585,0.6785714285714285,0.7928004535147393,0.6696428571428572,0.5916666666666667,0.7182539682539684,0.5343137254901961,0.7770390070921986,0.6711430589177002,0.08069855275533393,0.0,-0.0068164326066272,0.5115310077519379
