,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_d,Acc_d,TB_African_std,TB_African American_std,TB_Arab_std,TB_Asian_std,TB_Black_std,TB_Caucasian_std,TB_European_std,TB_Hispanic_std,TB_Jewish_std,TB_Latino_std,TB_Middle Eastern_std,TB_Native American_std,TB_Roma_std,TB_South American_std,TB_White_std,TB_std,BAmt_African_std,BAmt_African American_std,BAmt_Arab_std,BAmt_Asian_std,BAmt_Black_std,BAmt_Caucasian_std,BAmt_European_std,BAmt_Hispanic_std,BAmt_Jewish_std,BAmt_Latino_std,BAmt_Middle Eastern_std,BAmt_Native American_std,BAmt_Roma_std,BAmt_South American_std,BAmt_White_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.016666666666666666,-0.011538461538461534,0.008301404853129002,0.0009689922480620332,0.009452160493827133,-0.026041666666666668,0.021739130434782605,-0.012195121951219466,-0.01587301587301587,-0.022959183673469333,0.017857142857142867,0.013888888888888867,0.0,-0.06862745098039214,0.0013297872340425662,0.025012983633910763,0.19000000000000003,0.2243589743589743,0.22796934865900378,0.2335271317829457,0.1903935185185185,0.16145833333333334,0.2826086956521739,0.20731707317073167,0.22222222222222218,0.22987528344671201,0.2738095238095238,0.29166666666666663,0.30158730158730157,0.2352941176470588,0.20257092198581558,0.2316439408560654,0.0,0.043945696129566135,0.0009811660471595336,0.6106589147286822,0.026246692913372706,0.018842228790639813,0.009330548656578818,0.005705271877472723,0.0071555698267713585,0.01948779888944761,0.044374814180854656,0.01795073346814599,0.03928371006591929,0.004335900946932621,0.03645074021998773,0.017123372230469346,0.01944039478399347,0.04999038738816454,0.01209058661080299,0.0041204350255977466,0.01414213562373095,0.023778508962809478,0.004063832075784738,0.008373049997942982,0.0016368212527466189,0.03210632293213009,0.026624888508512787,0.031091582399956016,0.03124606299211038,0.005904950866213063,0.01834647024693146,0.04138795673819817,0.029695693545824915,0.024014605321403735,0.013268288605581316,0.0031740501460255414,0.0,0.006943052139933314,0.007133278997758868,0.0043851583329398685
African,0.016666666666666666,-0.02820512820512817,-0.0038314176245210336,0.0,0.026427469135802434,0.010416666666666666,-0.0615942028985507,0.06097560975609753,0.027777777777777762,-0.006802721088435333,0.0148809523809524,-0.04444444444444443,0.047619047619047596,-0.09803921568627445,-0.005319148936170234,0.0431280887558901,0.3633333333333333,0.3897435897435897,0.4016602809706258,0.4018087855297157,0.39988425925925924,0.375,0.36594202898550715,0.3495934959349593,0.3531746031746031,0.4246031746031746,0.45535714285714285,0.3,0.4047619047619047,0.3333333333333333,0.4343971631205674,0.3835062063738477,0.04804856464750263,0.0,0.0024059715046693005,0.33914728682170536,0.03681787005729087,0.01892926033363258,0.02189837573369377,0.0013703619790436748,0.010840294227027075,0.04830009633070679,0.013556729662224418,0.053852200404438055,0.09031592600588126,0.006942998137140472,0.034451895544018514,0.00785674201318388,0.06804138174397714,0.03668291555660724,0.01508395348153678,0.008487726119290264,0.02054804667656325,0.0047969966497101646,0.011529674383951336,0.02542053277771447,0.024908920452919203,0.03375385780420761,0.031167845170444304,0.010363860799985311,0.024461960329241954,0.015295620819990967,0.059672433499295914,0.05443310539518171,0.044543540318737425,0.06043543140165662,0.02856894156794684,0.012019127775980985,0.012700264803932663,0.0,0.01683202983880414,0.02374643964533583
African American,0.036666666666666674,-0.03461538461538457,-0.0015964240102170999,0.011950904392764833,0.021797839506172798,0.0,-0.010869565217391302,0.0284552845528455,0.03174603174603174,-0.004535147392290266,0.05952380952380947,-0.0111111111111111,0.05555555555555553,-0.03431372549019603,-0.012854609929077965,0.028667591534684598,0.3566666666666667,0.41923076923076924,0.42241379310344823,0.4286175710594315,0.4438657407407407,0.3229166666666667,0.30072463768115937,0.32520325203252026,0.35714285714285715,0.44727891156462585,0.46428571428571425,0.3111111111111111,0.42063492063492064,0.37745098039215685,0.4640957446808511,0.39077595579957597,0.03348990112757447,0.0,0.004840210989905101,0.3162790697674418,0.0339934634239519,0.01439098994913054,0.005921850891121074,0.008533491481668529,0.004661668971294172,0.01275775907699572,0.035499851344683725,0.03736743152611831,0.028059792904228064,0.006598892702280462,0.02104484467817104,0.025760051376376946,0.01484784677291246,0.01834145777830366,0.007854629940899529,0.003752367039983598,0.04714045207910319,0.03396831102433789,0.0027092213838565003,0.002995354811206644,0.0009450191908885533,0.06293253111247174,0.027113459324448835,0.020120924667909882,0.042369358142981414,0.004552828345864227,0.0455269599427927,0.014163943093313277,0.00561195858084557,0.0541439265548395,0.012521672776441103,0.00334342888877553,0.005885480350754699,0.0,0.005862774783500265,0.006452353416506421
Arab,0.013333333333333334,-0.0448717948717948,0.007982120051085567,0.010981912144702835,0.011574074074074034,0.015625,-0.0289855072463768,0.016260162601626,0.027777777777777766,-0.004535147392290233,0.05059523809523803,-0.0361111111111111,0.07539682539682536,-0.07352941176470586,-0.000443262411347534,0.034140628020506734,0.32,0.38076923076923075,0.41411238825031926,0.40051679586563305,0.38888888888888884,0.328125,0.34782608695652173,0.3536585365853658,0.3293650793650793,0.4178004535147392,0.4851190476190476,0.32499999999999996,0.3452380952380952,0.4264705882352941,0.4135638297872341,0.3784302680716965,0.04038898422898637,0.0,-0.0060309866741625655,0.3333333333333333,0.012472191289246471,0.011028622137234127,0.012374088362117553,0.011085918799567508,0.005197605549887152,0.03375385780420761,0.020495848730044848,0.0338888861799452,0.02969569354582492,0.006451137571848639,0.004208968935634196,0.04101339738953718,0.011223917161691226,0.08405111862491295,0.009234338056737408,0.006309032021722074,0.02943920288775947,0.008308641921035715,0.0043073874722963,0.018993786082673318,0.01500915406167199,0.03375385780420761,0.06148754619013458,0.0049786376885837,0.05939138709164983,0.011499695450737393,0.02343454724408279,0.04138795673819817,0.019440394783993478,0.08405111862491296,0.011439262323194976,0.007383453544020029,0.013330629002078483,0.0,0.010979706367359652,0.01964785608923554
Asian,0.07333333333333333,-0.05897435897435894,0.0,0.02971576227390177,0.018132716049382668,0.046875,-0.0144927536231884,0.0020325203252032653,0.0,0.0127551020408163,-0.05654761904761899,0.0111111111111111,0.09523809523809519,-0.03431372549019606,-0.030141843971631166,0.037840744326172834,0.3333333333333333,0.38717948717948714,0.4067688378033205,0.41472868217054265,0.4074074074074074,0.3489583333333333,0.31884057971014484,0.29878048780487804,0.31746031746031744,0.4282879818594103,0.40178571428571425,0.3111111111111111,0.43650793650793646,0.2794117647058823,0.41932624113475175,0.367325881053838,0.040747079274724596,0.0,-0.0086922880883711,0.32209302325581396,0.03299831645537222,0.01918798659884075,0.004063832075784749,0.008822028607072162,0.0043903575141747845,0.06629126073623882,0.035867735277578486,0.03041997875425961,0.009720197391996735,0.008531698947444676,0.011135885079684356,0.014163943093313269,0.025717224993681974,0.04852693596378262,0.02409162808812262,0.006520636522655768,0.030912061651652344,0.0036261886214694877,0.01247255746144611,0.012282398799632758,0.0029508214777736242,0.04480377743251368,0.01847470838258254,0.035901466936292065,0.03680007339482421,0.014469670088549005,0.01928791874526147,0.04530418452861134,0.05859056769933889,0.02079725827019255,0.014003164006144778,0.003718302652131807,0.004580798580529391,0.0,0.01524144365954315,0.017268192242197878
Black,0.07333333333333333,-0.07435897435897433,-0.0086206896551724,-0.010012919896640765,0.010995370370370365,0.08854166666666667,-0.0253623188405797,-0.0203252032520325,0.023809523809523798,0.018140589569160967,0.03273809523809523,0.0444444444444444,0.039682539682539666,-0.049019607843137226,-0.015514184397163067,0.037780514265170366,0.36000000000000004,0.3846153846153846,0.3623882503192848,0.35885012919896636,0.3643904320987654,0.4114583333333333,0.31521739130434784,0.3252032520325203,0.30158730158730157,0.39909297052154197,0.4136904761904762,0.31111111111111106,0.30952380952380953,0.2745098039215686,0.386968085106383,0.3519071153909863,0.0505679206584437,0.0,-0.004737330856871167,0.35765503875968996,0.030912061651652344,0.03223026946147833,0.009019442459658682,0.005147731734660602,0.017836846073405566,0.06546773484362778,0.05200253657393956,0.02455903653169629,0.0291605921759902,0.007023532705988596,0.04629865829197632,0.028327886186626593,0.02969569354582492,0.04999038738816456,0.004388073996725021,0.012394098282634249,0.0374165738677394,0.012561485860426578,0.031675240932914205,0.031551408686048346,0.04331223408943853,0.04101045767714485,0.02348094455944875,0.05323496281995443,0.06896090157532841,0.03927757406347654,0.03741013419635874,0.04157397096415489,0.019440394783993478,0.04999038738816458,0.02497263478901293,0.019803909845865927,0.0126709136585641,0.0,0.004861223900581132,0.04954176020739324
Caucasian,0.03666666666666667,-0.06410256410256406,0.0003192848020434,0.011950904392764833,0.0167824074074074,0.036458333333333336,-0.0615942028985507,0.024390243902438966,0.0595238095238095,0.017857142857142835,0.008928571428571433,0.0222222222222222,0.0714285714285714,-0.03431372549019607,-0.016400709219858135,0.0358634992540198,0.3233333333333333,0.358974358974359,0.42816091954022983,0.42732558139534876,0.43846450617283944,0.390625,0.3442028985507246,0.3292682926829268,0.3849206349206349,0.44246031746031744,0.43154761904761907,0.35555555555555546,0.38095238095238093,0.30882352941176466,0.43927304964539005,0.3855925318428948,0.040590509798123696,0.0,0.003583271070931933,0.29302325581395344,0.030912061651652344,0.003626188621469481,0.007053231811741532,0.0037389654078779657,0.014198893687945935,0.048300096330706796,0.04466966668818097,0.008623253429104206,0.033671751485073675,0.005006667157782222,0.03340765523905299,0.02078698548207746,0.07715167498104593,0.0366829155566072,0.006362012453194742,0.007922767295403928,0.004714045207910321,0.05341709398974272,0.012415212065915426,0.005973269382721863,0.019078702517867363,0.11481983169296148,0.027113459324448884,0.0149359130657511,0.06249212598422071,0.011223917161691244,0.07587826657132121,0.015713484026367693,0.04236935814298141,0.04159451654038516,0.01466120160331671,0.020789865462386117,0.0022998230475709904,0.0,0.01554726992231038,0.005581597218571582
European,0.05333333333333334,-0.052564102564102495,0.012771392081736832,0.010981912144702835,0.02314814814814813,-0.020833333333333332,-0.072463768115942,0.04268292682926827,-0.039682539682539666,0.0005668934240362668,0.05059523809523806,-0.024999999999999935,0.05158730158730157,-0.044117647058823505,-0.019503546099290767,0.037307346869889464,0.36000000000000004,0.3833333333333333,0.35887611749680715,0.3585271317829457,0.3317901234567901,0.3229166666666667,0.3550724637681159,0.31504065040650403,0.29365079365079355,0.3701814058956916,0.3720238095238095,0.3138888888888889,0.376984126984127,0.38725490196078427,0.3617021276595745,0.35074950276498873,0.0445554900975762,0.0,-0.0154644029077177,0.4167635658914728,0.018856180831641266,0.031612379502404996,0.006369711795421452,0.012863247901640711,0.00823848630557971,0.051559869461519095,0.020495848730044848,0.02586976028731271,0.03413621137715327,0.019157307538226472,0.03669294049386296,0.011785113019775792,0.07295546155099299,0.020797258270192607,0.011910486562539358,0.006894737997660925,0.03265986323710905,0.0191879865988407,0.008289115571996896,0.005188106719705762,0.013931689880607846,0.05752792196451699,0.027113459324448884,0.012529296754001999,0.055271382052317956,0.018122865491094986,0.044543540318737376,0.014163943093313291,0.034136211377153294,0.04216826111295405,0.015771672761220944,0.0030420969811416417,0.01473115368558381,0.0,0.003302071310882587,0.03477561845897749
Hispanic,0.03666666666666667,-0.015384615384615335,0.0,0.006459948320413433,0.03240740740740733,0.026041666666666668,-0.072463768115942,0.020325203252032468,0.0,-0.0019841269841269662,0.05357142857142853,-0.0361111111111111,0.07936507936507933,-0.07843137254901957,-0.009751773049645399,0.0371484973226845,0.3499999999999999,0.4256410256410256,0.4233716475095785,0.43281653746770027,0.4293981481481481,0.4322916666666667,0.36231884057971014,0.34146341463414637,0.2857142857142857,0.4640022675736961,0.4583333333333333,0.32499999999999996,0.38095238095238093,0.38235294117647056,0.450354609929078,0.396267406621748,0.04360619742716723,0.0,-0.015755688185972033,0.31908914728682164,0.03858612300930075,0.011322770341445947,0.014484414076901295,0.0051477317346606015,0.0037504286449119785,0.07475364632503814,0.04554277206513236,0.012529296754001993,0.0,0.011223917161691192,0.04058982647912456,0.037474271008977836,0.048923920658483916,0.03668291555660728,0.018690752342471608,0.004814010643499592,0.008164965809277244,0.037465741528724256,0.010521875512952774,0.00644377821164731,0.012111371259523352,0.00736569563735987,0.07548067628985386,0.004978637688583677,0.019440394783993453,0.0069891315226405714,0.0042089689356342485,0.0446177177894695,0.019440394783993478,0.08658589084635146,0.0034902517172038026,0.0045713084335202185,0.010699927900304239,0.0,0.017148285718733308,0.008882017843434863
Jewish,0.04666666666666667,-0.04871794871794868,-0.013409961685823731,0.004198966408268733,0.0185185185185185,-0.015625,-0.0326086956521739,0.020325203252032503,0.0714285714285714,0.018140589569160998,-0.0089285714285714,-0.008333333333333333,0.07539682539682536,-0.04901960784313727,-0.003989361702127666,0.0349109363484702,0.3333333333333333,0.382051282051282,0.40996168582375475,0.4034237726098191,0.3950617283950617,0.3802083333333333,0.3297101449275362,0.30894308943089427,0.34920634920634913,0.4257369614512472,0.4672619047619047,0.3527777777777777,0.3531746031746032,0.35294117647058815,0.4091312056737588,0.3768615565614162,0.04500566333772543,0.0,-0.013978756255261834,0.3140503875968992,0.044969125210773474,0.021376066667350077,0.010256946618268856,0.01667742977186762,0.012393810497074855,0.02209708691207961,0.05542412514774764,0.020120924667909827,0.05050762722761051,0.014961046735143547,0.031777018607236016,0.01800205749557735,0.031246062992110347,0.04852693596378263,0.010693562129268414,0.005131884355683636,0.04027681991198192,0.03387139695800746,0.00976823661607812,0.006145444958152628,0.011663747266844885,0.02655739329996242,0.04377915207824123,0.01600408104473947,0.08266931212698277,0.007423923386456246,0.02946278254943948,0.03747427100897791,0.04593586072535807,0.020797258270192527,0.020724591715533605,0.011000564948183262,0.012064271634574382,0.0,0.0037171362816164574,0.009375719830947201
