,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0,0.0115384615384615,-0.0114942528735632,0.0,0.0150462962962962,0.0,-0.0543478260869565,-0.0304878048780487,0.1547619047619047,-0.010204081632653,-0.0089285714285714,0.0333333333333333,0.0476190476190476,0.0,-0.0199468085106383,0.0265138925972983,0.2,0.3423076923076923,0.6360153256704981,0.6918604651162791,0.6863425925925926,0.28125,0.25,0.2378048780487804,0.2738095238095238,0.6496598639455783,0.2946428571428571,0.3166666666666666,0.2142857142857142,0.2941176470588235,0.6928191489361702,0.4041054917054117,0.0,0.04070892791005146,-0.0028017164152363,0.3938953488372093
African,-0.08,0.0,0.0124521072796934,-0.003875968992248,-0.0011574074074074,-0.03125,0.0,-0.024390243902439,0.0714285714285714,0.0076530612244897,-0.0089285714285714,-0.0833333333333333,0.0357142857142857,0.0588235294117647,-0.0053191489361702,0.028288415270598277,0.4,0.5153846153846153,0.5220306513409961,0.5426356589147286,0.5601851851851852,0.3125,0.4565217391304347,0.3658536585365853,0.4047619047619047,0.5433673469387755,0.3839285714285714,0.35,0.5833333333333334,0.3823529411764705,0.5664893617021277,0.4592896645222485,0.03536486501322488,0.0,-0.0112404896868332,0.4726744186046511
African American,0.0,0.0,0.0047892720306513,0.0135658914728682,-0.0144675925925925,0.0,-0.0869565217391304,-0.0182926829268292,0.0238095238095238,0.0085034013605442,-0.0625,-0.0333333333333333,0.0476190476190476,0.0294117647058823,0.0132978723404255,0.02376979359538856,0.4,0.5076923076923077,0.5431034482758621,0.5348837209302325,0.5561342592592593,0.40625,0.4782608695652174,0.4207317073170731,0.4761904761904761,0.5374149659863946,0.5089285714285714,0.4,0.5,0.3529411764705882,0.5558510638297872,0.47855883779638464,0.029883999276563048,0.0,0.0017635015066058,0.4691860465116279
Arab,-0.02,-0.0384615384615384,0.0239463601532567,-0.0125968992248062,0.0052083333333333,-0.078125,-0.108695652173913,0.0365853658536585,0.0357142857142857,-0.0017006802721088,0.0625,-0.025,0.0833333333333333,-0.0294117647058823,-0.0132978723404255,0.03830513903776944,0.4,0.5,0.5296934865900383,0.5552325581395349,0.5653935185185185,0.515625,0.4565217391304347,0.4024390243902439,0.4404761904761904,0.54421768707483,0.5625,0.3916666666666666,0.5119047619047619,0.3823529411764705,0.5851063829787234,0.4895419971364275,0.04376729225291342,0.0,-0.0116238203177786,0.4607558139534883
Asian,-0.02,-0.0346153846153846,-0.0249042145593869,0.0300387596899224,-0.0017361111111111,-0.015625,0.0217391304347826,0.0304878048780487,0.0833333333333333,-0.0025510204081632,-0.0446428571428571,0.0416666666666666,0.0357142857142857,0.0147058823529411,-0.0066489361702127,0.0272272924718064,0.38,0.5038461538461538,0.5210727969348659,0.5242248062015504,0.5399305555555556,0.484375,0.391304347826087,0.3963414634146341,0.4404761904761904,0.5212585034013606,0.5267857142857143,0.425,0.4642857142857143,0.4264705882352941,0.5332446808510638,0.4719077676876123,0.02947402063424299,0.0,-0.0088574028048996,0.4843023255813953
Black,0.02,-0.0038461538461538,0.0105363984674329,0.001937984496124,0.0185185185185185,0.078125,0.0869565217391304,0.0121951219512195,0.0119047619047619,-0.0314625850340136,-0.0714285714285714,-0.0083333333333333,0.0238095238095238,-0.1323529411764706,-0.0119680851063829,0.034891700054109104,0.34,0.45,0.4971264367816091,0.5755813953488372,0.5682870370370371,0.421875,0.391304347826087,0.3536585365853658,0.4404761904761904,0.5535714285714286,0.4821428571428571,0.3583333333333333,0.4761904761904761,0.3382352941176471,0.5651595744680851,0.45412946052526354,0.05049074996098218,0.0,0.0007095258392157,0.4709302325581395
Caucasian,-0.04,0.0,-0.0047892720306513,0.0145348837209302,0.0086805555555555,-0.046875,0.0543478260869565,0.0060975609756097,0.0714285714285714,-0.0136054421768707,0.0267857142857142,-0.0333333333333333,-0.0238095238095238,0.0147058823529411,-0.0159574468085106,0.02499673417101122,0.44,0.4923076923076923,0.4952107279693487,0.5145348837209303,0.5237268518518519,0.421875,0.4456521739130434,0.4451219512195122,0.4761904761904761,0.5510204081632653,0.5803571428571429,0.4833333333333333,0.5714285714285714,0.3382352941176471,0.5372340425531915,0.4877485699750671,0.03670263644085061,0.0,0.0126538987688098,0.4837209302325581
European,0.01,0.023076923076923,0.0325670498084291,-0.0213178294573643,-0.0231481481481481,0.03125,-0.0217391304347826,0.0365853658536585,0.0833333333333333,0.0008503401360544,0.0714285714285714,-0.0666666666666666,-0.0476190476190476,-0.0588235294117647,0.0199468085106383,0.036556849592358796,0.39,0.4307692307692308,0.5,0.5755813953488372,0.5578703703703703,0.4375,0.4782608695652174,0.4512195121951219,0.369047619047619,0.5501700680272109,0.3928571428571428,0.4,0.4523809523809524,0.4117647058823529,0.5784574468085106,0.4650586208835044,0.04752261881544677,0.0,-0.0081934390882488,0.4697674418604651
Hispanic,0.06,0.023076923076923,0.0105363984674329,-0.0348837209302325,0.0017361111111111,-0.078125,-0.0760869565217391,0.0548780487804878,0.0,0.0187074829931972,-0.0535714285714285,-0.0416666666666666,-0.0714285714285714,0.1029411764705882,0.0013297872340425,0.04193121815016139,0.42,0.5307692307692308,0.5277777777777778,0.5193798449612403,0.5399305555555556,0.546875,0.3369565217391304,0.4451219512195122,0.4285714285714285,0.5850340136054422,0.5535714285714286,0.4416666666666666,0.4523809523809524,0.4264705882352941,0.5731382978723404,0.48850961719506675,0.05823831472544628,0.0,0.0020143348749533,0.4656976744186046
Jewish,-0.03,0.023076923076923,-0.0191570881226053,0.002906976744186,0.0011574074074074,0.015625,0.0217391304347826,-0.024390243902439,0.0119047619047619,0.0153061224489795,-0.0357142857142857,-0.0333333333333333,0.0595238095238095,0.0441176470588235,-0.0079787234042553,0.023062096871772797,0.43,0.4538461538461538,0.4904214559386973,0.4718992248062015,0.5150462962962963,0.390625,0.4347826086956521,0.3536585365853658,0.4404761904761904,0.5102040816326531,0.4642857142857143,0.4333333333333333,0.4642857142857143,0.25,0.4893617021276595,0.43948173415397546,0.03290779345860346,0.0,-0.0093256788199021,0.5148255813953488
