,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.16229603729603725,-0.06555944055944053,0.11392773892773887,1.1988150738150738,1.1875485625485627,1.1931818181818181,0.0,0.05817186285936284,0.0152498057729682,0.2045454545454545,0.16229603729603725,-0.06555944055944053,0.11392773892773887,1.1988150738150738,1.1875485625485627,1.1931818181818181,0.0,0.05817186285936284,0.0152498057729682,0.2045454545454545
bartender,0.0699300699300699,0.0107808857808858,0.04987373737373731,1.2084304584304584,1.1997863247863247,1.2041083916083914,0.08435314685314683,0.0,0.022338429382354266,0.19726107226107223,0.0699300699300699,0.0107808857808858,0.04987373737373731,1.2084304584304584,1.1997863247863247,1.2041083916083914,0.08435314685314683,0.0,0.022338429382354266,0.19726107226107223
cashier,0.07177544677544673,0.017288267288267267,0.05045648795648786,0.9629953379953379,0.9743589743589743,0.968677156177156,0.08668414918414913,0.0,0.020403590090688966,0.3542152292152292,0.07177544677544673,0.017288267288267267,0.05045648795648786,0.9629953379953379,0.9743589743589743,0.968677156177156,0.08668414918414913,0.0,0.020403590090688966,0.3542152292152292
chemical engineer,0.13898601398601393,-0.06993006993006987,0.10445804195804187,0.9946581196581196,0.9088966588966589,0.9517773892773893,0.023164335664335633,0.0,0.013317217784798933,0.3654817404817405,0.13898601398601393,-0.06993006993006987,0.10445804195804187,0.9946581196581196,0.9088966588966589,0.9517773892773893,0.023164335664335633,0.0,0.013317217784798933,0.3654817404817405
chemist,0.10421522921522919,-0.03069153069153067,0.0674533799533799,0.9818376068376068,0.9182206682206683,0.9500291375291375,0.04647435897435893,0.0,0.0185756391566169,0.36664724164724166,0.10421522921522919,-0.03069153069153067,0.0674533799533799,0.9818376068376068,0.9182206682206683,0.9500291375291375,0.04647435897435893,0.0,0.0185756391566169,0.36664724164724166
construction worker,0.09314296814296806,-0.02952602952602947,0.061334498834498735,1.1714257964257964,1.189005439005439,1.1802156177156176,0.05259324009324007,0.0,0.0115327177275898,0.21318958818958814,0.09314296814296806,-0.02952602952602947,0.061334498834498735,1.1714257964257964,1.189005439005439,1.1802156177156176,0.05259324009324007,0.0,0.0115327177275898,0.21318958818958814
dentist,0.141025641025641,-0.05652680652680647,0.09877622377622369,0.9831002331002331,0.921911421911422,0.9525058275058275,0.015151515151515133,0.0,0.0269901680607276,0.364996114996115,0.141025641025641,-0.05652680652680647,0.09877622377622369,0.9831002331002331,0.921911421911422,0.9525058275058275,0.015151515151515133,0.0,0.0269901680607276,0.364996114996115
farm worker,0.04623154623154616,0.004273504273504266,0.03127428127428116,1.040986790986791,1.0685703185703186,1.0547785547785546,0.09294871794871788,0.0,0.0017202062738174999,0.29681429681429683,0.04623154623154616,0.004273504273504266,0.03127428127428116,1.040986790986791,1.0685703185703186,1.0547785547785546,0.09294871794871788,0.0,0.0017202062738174999,0.29681429681429683
janitor,0.056138306138306095,0.0226301476301476,0.039675602175602065,0.9685314685314684,0.9868881118881118,0.9777097902097903,0.09717365967365964,0.0,0.0017854453400977,0.3481934731934732,0.056138306138306095,0.0226301476301476,0.039675602175602065,0.9685314685314684,0.9868881118881118,0.9777097902097903,0.09717365967365964,0.0,0.0017854453400977,0.3481934731934732
judge,0.11247086247086242,-0.02476689976689977,0.073572261072261,0.8405205905205905,0.789141414141414,0.8148310023310023,0.0502622377622377,0.0,0.020935182878953833,0.4567793317793318,0.11247086247086242,-0.02476689976689977,0.073572261072261,0.8405205905205905,0.789141414141414,0.8148310023310023,0.0502622377622377,0.0,0.020935182878953833,0.4567793317793318
