,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0836247086247086,0.0125291375291375,0.048076923076923045,0.3965617715617716,0.3953962703962704,0.395979020979021,0.0,0.021173271173271172,0.0009825782158288,0.208041958041958
bartender,0.0381701631701631,0.0495337995337995,0.0438519813519813,0.3837412587412587,0.3974358974358974,0.39058857808857805,0.04122960372960375,0.0,0.0356005214403652,0.2188228438228438
cashier,0.0571095571095571,0.0442890442890442,0.05069930069930065,0.3094405594405594,0.3292540792540792,0.3193473193473193,0.029137529137529098,0.0,0.019103299103299,0.3613053613053613
chemical engineer,0.0702214452214452,0.0075757575757575,0.03889860139860135,0.3446969696969697,0.2680652680652681,0.3063811188811189,0.009178321678321697,0.0,0.0068695318134779,0.3872377622377622
chemist,0.0591491841491841,0.0084498834498834,0.03379953379953375,0.3342074592074592,0.2747668997668998,0.3044871794871795,0.014277389277389297,0.0,0.0151508659677987,0.391025641025641
construction worker,0.0387529137529137,0.0189393939393939,0.0288461538461538,0.3726689976689977,0.3924825174825175,0.38257575757575757,0.025641025641025647,0.0,0.0137178558493299,0.2348484848484848
dentist,0.0673076923076923,0.0163170163170163,0.041812354312354305,0.326048951048951,0.2791375291375291,0.30259324009324007,0.010052447552447545,0.0,0.0271313686930581,0.3948135198135198
farm worker,0.016025641025641,0.0218531468531468,0.018939393939393902,0.3254662004662004,0.3621794871794871,0.3438228438228438,0.03846153846153845,0.0,0.0037304467684213,0.3123543123543124
janitor,0.0457459207459207,0.0367132867132867,0.0412296037296037,0.3237179487179487,0.3298368298368298,0.32677738927738925,0.031031468531468546,0.0,-0.0058794060683229,0.3464452214452214
judge,0.0585664335664335,0.0367132867132867,0.0476398601398601,0.2805944055944055,0.2406759906759907,0.2606351981351981,0.024621212121212148,0.0,0.0081231798734649,0.4787296037296037
lawyer,0.0579836829836829,0.0335081585081585,0.045745920745920696,0.2765151515151515,0.2141608391608391,0.2453379953379953,0.023310023310023346,0.0,0.0124123570763887,0.5093240093240093
line cook,0.0454545454545454,0.0405011655011655,0.042977855477855445,0.3496503496503496,0.3732517482517482,0.3614510489510489,0.033071095571095596,0.0,0.0170844587511253,0.2770979020979021
optometrist,0.0722610722610722,0.009032634032634,0.0406468531468531,0.3304195804195804,0.2607808857808857,0.2956002331002331,0.007430069930069947,0.0,0.0150305203271304,0.4087995337995338
parking attendant,0.0536130536130536,0.0256410256410256,0.039627039627039604,0.3181818181818182,0.3117715617715618,0.31497668997669,0.021561771561771546,0.0,0.0037192819480641,0.37004662004662
pharmacist,0.0935314685314685,0.0084498834498834,0.05099067599067595,0.326048951048951,0.2485431235431235,0.28729603729603725,0.0069930069930070025,0.0,0.0196872184919993,0.4254079254079254
physician,0.0856643356643356,0.0241841491841491,0.05492424242424235,0.3152680652680653,0.2368881118881119,0.2760780885780886,0.006847319347319299,0.0,0.0485897435897436,0.4478438228438228
physics teacher,0.0874125874125874,0.0148601398601398,0.0511363636363636,0.372960372960373,0.31497668997669,0.34396853146853146,0.0030594405594405487,0.0,0.0117191163312946,0.3120629370629371
professor,0.069055944055944,0.0119463869463869,0.04050116550116545,0.3790792540792541,0.3097319347319347,0.3444055944055944,0.007575757575757602,0.0,0.0142886441169703,0.3111888111888112
psychologist,0.0565268065268065,0.0393356643356643,0.0479312354312354,0.2389277389277389,0.2048368298368298,0.22188228438228436,0.02695221445221445,0.0,0.0170831481261204,0.5562354312354313
receptionist,0.0638111888111888,0.0506993006993006,0.0572552447552447,0.3481934731934732,0.3315850815850816,0.33988927738927743,0.028991841491841447,0.0,0.0153689064558629,0.3202214452214452
sales clerk,0.048076923076923,0.0422494172494172,0.045163170163170105,0.3464452214452214,0.3569347319347319,0.35168997668997665,0.032634032634032646,0.0,0.0120441772839032,0.2966200466200466
scientist,0.0658508158508158,0.0206876456876456,0.0432692307692307,0.2884615384615384,0.2363053613053613,0.26238344988344986,0.012966200466200449,0.0,0.0140757271943519,0.4752331002331002
server,0.0568181818181818,0.0294289044289044,0.0431235431235431,0.3283799533799534,0.3342074592074592,0.3312937062937063,0.02185314685314685,0.0,0.0170633682603214,0.3374125874125874
taxi driver,0.053030303030303,0.0209790209790209,0.037004662004661945,0.3817016317016317,0.3817016317016317,0.3817016317016317,0.0195221445221445,0.0,0.0235165629335884,0.2365967365967366
truck driver,0.0337995337995338,0.0262237762237762,0.030011655011655,0.3677156177156177,0.3881118881118881,0.37791375291375295,0.031759906759906746,0.0,0.0243491424992587,0.2441724941724941
