,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB
Baseline,0.0,-0.05,0.0162835249042145,0.0532945736434108,0.0219907407407407,-0.046875,-0.0869565217391304,-0.0548780487804878,0.1071428571428571,0.0170068027210884,-0.0178571428571428,0.0833333333333333,0.0119047619047619,0.1323529411764706,0.0997340425531914,0.053307352766455304,0.4,0.573076923076923,1.0488505747126438,1.1521317829457365,1.0902777777777777,0.390625,0.4782608695652174,0.3475609756097561,0.4166666666666667,1.0391156462585034,0.4464285714285714,0.5333333333333333,0.3928571428571428,0.5147058823529411,1.065159574468085,0.6592700480702199,0.0,0.07232169369987433
African,0.28,0.1038461538461538,0.0708812260536398,0.0581395348837209,0.0677083333333333,0.015625,-0.1847826086956521,0.0060975609756097,-0.0119047619047619,0.0187074829931972,-0.0714285714285714,0.0416666666666666,0.0476190476190476,0.0735294117647058,0.0292553191489361,0.07207944528759974,0.88,0.8192307692307692,0.7701149425287356,0.8604651162790697,0.9496527777777778,0.359375,0.6630434782608695,0.3353658536585366,0.4642857142857143,0.7925170068027211,0.4821428571428571,0.5916666666666667,0.4047619047619047,0.4852941176470588,0.8164893617021277,0.6449603711163205,0.07608740257528199,0.0
African American,0.15,0.1923076923076923,0.0450191570881226,-0.0222868217054263,0.1342592592592592,0.125,-0.0108695652173913,-0.048780487804878,0.0595238095238095,-0.0068027210884353,0.0089285714285714,0.0,0.0476190476190476,-0.0441176470588235,0.0332446808510638,0.061917297396834714,0.59,0.8846153846153846,0.7289272030651341,0.8323643410852714,0.9895833333333334,0.5625,0.5108695652173914,0.2926829268292683,0.4642857142857143,0.7721088435374149,0.3303571428571428,0.5666666666666667,0.5,0.4852941176470588,0.8470744680851063,0.6238219804816592,0.08821164070370874,0.0
Arab,0.08,-0.0692307692307692,0.0727969348659003,0.0591085271317829,0.0416666666666666,0.109375,-0.1195652173913043,-0.048780487804878,0.0357142857142857,0.0025510204081632,0.1517857142857142,-0.1083333333333333,-0.0119047619047619,0.0294117647058823,0.0864361702127659,0.06844404357708052,0.5,0.5153846153846153,0.9042145593869731,0.8517441860465116,0.8877314814814815,0.328125,0.532608695652174,0.3292682926829268,0.3214285714285714,0.7831632653061225,0.5803571428571429,0.4916666666666666,0.369047619047619,0.4117647058823529,0.8151595744680851,0.5747776250860829,0.06422885102707297,0.0
Asian,0.06,0.0653846153846153,0.0469348659003831,0.1676356589147286,0.0179398148148148,0.078125,0.1413043478260869,-0.0182926829268292,0.0833333333333333,0.0,-0.0267857142857142,0.0333333333333333,-0.0357142857142857,-0.0147058823529411,-0.0053191489361702,0.052987245581549054,0.4,0.55,0.7768199233716475,0.993217054263566,0.8894675925925926,0.328125,0.4239130434782608,0.3597560975609756,0.4166666666666667,0.826530612244898,0.5089285714285714,0.45,0.4166666666666667,0.4852941176470588,0.8962765957446809,0.5814441294443724,0.07425001090626052,0.0
Black,0.0,0.0846153846153846,0.018199233716475,0.003875968992248,0.0920138888888889,0.09375,-0.0978260869565217,-0.0609756097560975,-0.0357142857142857,0.0578231292517006,0.0714285714285714,0.0416666666666666,0.0714285714285714,0.1176470588235294,0.0305851063829787,0.05850330417479464,0.48,0.6923076923076923,0.7346743295019157,0.8255813953488372,0.9126157407407408,0.4375,0.6195652173913043,0.3170731707317073,0.3452380952380952,0.7227891156462585,0.3571428571428571,0.4583333333333333,0.3333333333333333,0.3235294117647059,0.7805851063829787,0.5560179199242506,0.05810463005380376,0.0
Caucasian,0.0,-0.023076923076923,0.0411877394636015,0.0232558139534883,-0.0162037037037037,0.234375,-0.0760869565217391,0.0670731707317073,0.0714285714285714,0.0144557823129251,0.0,0.0083333333333333,0.0952380952380952,-0.0441176470588235,0.1023936170212766,0.054481756922945865,0.32,0.3230769230769231,0.5833333333333334,0.687984496124031,0.6666666666666666,0.328125,0.5543478260869565,0.2621951219512195,0.3571428571428571,0.6267006802721088,0.3035714285714285,0.275,0.2857142857142857,0.3382352941176471,0.7007978723404256,0.4408594523598588,0.06184781502418144,0.0
European,0.03,-0.0653846153846153,0.0421455938697318,0.0445736434108527,0.0208333333333333,0.140625,0.2608695652173913,0.024390243902439,-0.0476190476190476,0.0629251700680272,-0.0446428571428571,-0.0833333333333333,0.0,0.2205882352941176,0.0957446808510638,0.07891168796178732,0.39,0.4961538461538461,0.8295019157088123,0.9593023255813954,0.9317129629629628,0.328125,0.7608695652173914,0.3292682926829268,0.4047619047619047,0.858843537414966,0.4017857142857143,0.5333333333333333,0.4047619047619047,0.4852941176470588,0.928191489361702,0.6027937273249279,0.07959876482768717,0.0
Hispanic,0.08,-0.0038461538461538,0.0507662835249042,-0.0339147286821705,0.0532407407407407,0.125,-0.0978260869565217,0.1646341463414634,0.0952380952380952,0.1717687074829932,-0.0982142857142857,0.0083333333333333,0.119047619047619,0.0441176470588235,0.0186170212765957,0.07763765661624668,0.42,0.6423076923076924,0.8419540229885057,0.9486434108527132,0.949074074074074,0.5,0.6630434782608695,0.6646341463414634,0.3809523809523809,0.9710884353741496,0.4017857142857143,0.6083333333333333,0.5,0.5147058823529411,0.9202127659574468,0.661782355805419,0.08532477663335795,0.0
Jewish,0.03,0.0346153846153846,0.0737547892720306,0.0426356589147286,0.0127314814814814,0.078125,0.0108695652173913,0.0792682926829268,0.2857142857142857,0.0178571428571428,-0.0535714285714285,-0.1166666666666666,0.0595238095238095,0.0735294117647058,0.0904255319148936,0.07061922994645839,0.49,0.5115384615384615,0.8381226053639846,0.8875968992248062,0.8356481481481481,0.296875,0.532608695652174,0.3109756097560975,0.7619047619047619,0.7933673469387755,0.4285714285714285,0.5666666666666667,0.3452380952380952,0.3970588235294117,0.848404255319149,0.5896384531901308,0.07199095956546381,0.0
