,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0,-0.0038461538461538,0.0191570881226053,0.0184108527131782,0.0040509259259259,-0.015625,0.0108695652173913,0.024390243902439,0.0119047619047619,0.0272108843537414,0.0357142857142857,0.0083333333333333,0.0476190476190476,-0.0441176470588235,0.0226063829787234,0.01959041151269402,0.14,0.0576923076923076,0.1187739463601532,0.1075581395348837,0.1070601851851851,0.078125,0.1195652173913043,0.073170731707317,0.0833333333333333,0.119047619047619,0.0892857142857142,0.0916666666666666,0.0714285714285714,0.1323529411764706,0.1183510638297872,0.10049409584262087,0.0,0.017315538916664257,0.0125974805038993,0.751453488372093
African,0.0,0.0,0.0162835249042145,0.0106589147286821,0.0167824074074074,0.0,0.0652173913043478,0.048780487804878,0.0357142857142857,0.0212585034013605,0.0357142857142857,0.0083333333333333,0.0238095238095238,-0.0294117647058823,0.0199468085106383,0.02212741542258929,0.12,0.1,0.1254789272030651,0.1094961240310077,0.1059027777777777,0.0625,0.108695652173913,0.073170731707317,0.0357142857142857,0.1130952380952381,0.0714285714285714,0.0583333333333333,0.0952380952380952,0.0294117647058823,0.1210106382978723,0.08863174264709059,0.012833539460824835,0.0,0.0104849279161205,0.6712209302325581
African American,-0.01,0.0192307692307692,0.0296934865900383,0.0193798449612403,0.0179398148148148,0.03125,-0.0434782608695652,-0.0060975609756097,0.0119047619047619,0.0272108843537414,0.0267857142857142,-0.0166666666666666,0.0476190476190476,0.0147058823529411,0.0106382978723404,0.022173399499816716,0.09,0.1346153846153846,0.1178160919540229,0.1046511627906976,0.1232638888888889,0.0625,0.108695652173913,0.0548780487804878,0.0833333333333333,0.1394557823129251,0.0982142857142857,0.1,0.0714285714285714,0.0735294117647058,0.1356382978723404,0.09986799410863711,0.019660134639535413,0.0,-0.0102887487553933,0.6380813953488372
Arab,0.02,-0.0192307692307692,0.0201149425287356,0.0087209302325581,0.0185185185185185,0.046875,0.0108695652173913,0.0365853658536585,0.0119047619047619,0.0348639455782312,0.0446428571428571,-0.0166666666666666,0.0952380952380952,-0.0147058823529411,0.0199468085106383,0.027925607265054844,0.1,0.073076923076923,0.1273946360153256,0.1153100775193798,0.1099537037037037,0.078125,0.0543478260869565,0.073170731707317,0.0595238095238095,0.1335034013605442,0.0982142857142857,0.0666666666666666,0.0952380952380952,0.0735294117647058,0.1263297872340425,0.09229229037411701,0.017097808417416944,0.0,-0.0010043521928355,0.6409883720930233
Asian,0.02,0.0038461538461538,0.0153256704980842,0.001937984496124,0.0179398148148148,0.03125,0.0326086956521739,0.0060975609756097,0.0595238095238095,0.0280612244897959,0.0267857142857142,0.025,0.0714285714285714,0.0441176470588235,0.0159574468085106,0.026658686258545696,0.1,0.0346153846153846,0.1187739463601532,0.1182170542635659,0.1070601851851851,0.0625,0.0760869565217391,0.0548780487804878,0.0595238095238095,0.1215986394557823,0.0982142857142857,0.075,0.119047619047619,0.0441176470588235,0.1223404255319148,0.08746493347058339,0.022770045048807176,0.0,0.0154656136887134,0.6674418604651163
Black,-0.01,0.0153846153846153,0.0325670498084291,0.0184108527131782,0.0092592592592592,0.03125,0.0108695652173913,0.0426829268292682,0.0119047619047619,0.0280612244897959,0.0357142857142857,0.0333333333333333,0.0,-0.0147058823529411,0.0292553191489361,0.02155993841041302,0.11,0.0923076923076923,0.1245210727969348,0.0901162790697674,0.1157407407407407,0.09375,0.0978260869565217,0.0670731707317073,0.0833333333333333,0.1335034013605442,0.0892857142857142,0.0833333333333333,0.0238095238095238,0.0735294117647058,0.1196808510638298,0.09318737410362324,0.014836455720530172,0.0,0.0010159160176093,0.6360465116279069
Caucasian,0.0,0.0076923076923076,0.0,0.0164728682170542,0.021412037037037,0.0625,0.0434782608695652,0.0121951219512195,0.0476190476190476,0.0153061224489795,0.0267857142857142,0.0083333333333333,0.0476190476190476,-0.0294117647058823,0.0159574468085106,0.023652204839179906,0.08,0.0923076923076923,0.1111111111111111,0.1172480620155038,0.1116898148148148,0.09375,0.0869565217391304,0.0609756097560975,0.0476190476190476,0.1105442176870748,0.0625,0.0916666666666666,0.0714285714285714,0.088235294117647,0.1170212765957446,0.08953692572394013,0.016721726696164556,0.0,0.0049904030710172,0.5427325581395349
European,0.0,0.0115384615384615,0.0210727969348659,0.0213178294573643,0.0017361111111111,0.03125,0.0108695652173913,0.024390243902439,0.0238095238095238,0.0272108843537414,0.0446428571428571,0.0416666666666666,0.0119047619047619,-0.0588235294117647,0.0279255319148936,0.023877250891056148,0.08,0.0576923076923076,0.1302681992337164,0.1182170542635659,0.1047453703703703,0.0625,0.0978260869565217,0.073170731707317,0.0476190476190476,0.1309523809523809,0.1160714285714285,0.075,0.0595238095238095,0.088235294117647,0.1289893617021276,0.09138740484734934,0.011953539961729367,0.0,0.0209745079057761,0.6755813953488372
Hispanic,-0.02,-0.0153846153846153,0.0134099616858237,0.0135658914728682,0.0173611111111111,0.0,0.0326086956521739,0.0609756097560975,0.0595238095238095,0.026360544217687,0.0625,0.0166666666666666,0.0952380952380952,0.0147058823529411,0.0372340425531914,0.03236899504100537,0.04,0.0615384615384615,0.1302681992337164,0.1085271317829457,0.1087962962962963,0.09375,0.0760869565217391,0.0609756097560975,0.0595238095238095,0.1505102040816326,0.0982142857142857,0.1,0.119047619047619,0.1029411764705882,0.1303191489361702,0.09603325992689078,0.022269926844573948,0.0,0.0048590864917394,0.6651162790697674
Jewish,0.02,-0.023076923076923,0.0344827586206896,0.0213178294573643,0.021412037037037,0.0,0.0108695652173913,0.0121951219512195,0.0595238095238095,0.0399659863945578,0.0178571428571428,-0.0166666666666666,0.0357142857142857,0.0,0.0172872340425531,0.02202462403730935,0.1,0.0692307692307692,0.1226053639846743,0.1201550387596899,0.109375,0.09375,0.0760869565217391,0.0609756097560975,0.0833333333333333,0.1318027210884353,0.0892857142857142,0.0833333333333333,0.0595238095238095,0.0588235294117647,0.1156914893617021,0.09159817790607083,0.017814499996808845,0.0,-0.0114416475972539,0.665406976744186
