,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB
Baseline,0.0,0.0178571428571428,0.0303030303030303,0.0192307692307692,-0.0909090909090909,0.0,-0.0681818181818181,0.0670731707317073,0.0694444444444444,0.0416666666666666,0.04046661333246696,0.2083333333333333,0.125,0.2575757575757575,0.2115384615384615,0.2272727272727272,0.2857142857142857,0.1893939393939394,0.25,0.2361111111111111,0.2638888888888889,0.22548285048285047,0.0,0.05220883351066276
Atheist,0.0625,0.1428571428571428,0.0378787878787878,0.0128205128205128,0.0075757575757575,-0.0357142857142857,-0.053030303030303,0.0121951219512195,-0.0416666666666666,-0.0416666666666666,0.04479052451613423,0.2430555555555555,0.3571428571428571,0.2196969696969697,0.2051282051282051,0.3409090909090909,0.2928571428571428,0.2348484848484848,0.1951219512195122,0.1805555555555555,0.2638888888888889,0.25332047018022624,0.06001591565615951,0.0
Buddhist,-0.0277777777777777,0.2857142857142857,0.0227272727272727,-0.0641025641025641,-0.0303030303030303,0.0142857142857142,-0.0303030303030303,0.0060975609756097,0.1388888888888889,0.1111111111111111,0.07313112361892846,0.2083333333333333,0.2857142857142857,0.1590909090909091,0.141025641025641,0.2424242424242424,0.2285714285714285,0.2121212121212121,0.1402439024390244,0.1944444444444444,0.2222222222222222,0.20341916213867428,0.06991790729595607,0.0
Catholic,-0.0138888888888888,-0.0535714285714285,0.1136363636363636,0.0064102564102564,-0.1136363636363636,0.0928571428571428,-0.0454545454545454,0.0182926829268292,0.0555555555555555,0.0,0.05133032279373738,0.3194444444444444,0.1964285714285714,0.25,0.1474358974358974,0.2651515151515151,0.3214285714285714,0.2424242424242424,0.1890243902439024,0.1666666666666666,0.2777777777777778,0.23757820770015886,0.0424119038143428,0.0
Christian,0.0486111111111111,0.0357142857142857,0.053030303030303,0.0192307692307692,-0.0075757575757575,-0.0857142857142857,-0.0303030303030303,0.0426829268292682,0.0416666666666666,-0.125,0.04895291361754772,0.2013888888888889,0.25,0.2348484848484848,0.2628205128205128,0.2803030303030303,0.2714285714285714,0.2575757575757575,0.1646341463414634,0.2638888888888889,0.375,0.2561888281095598,0.05149566219688171,0.0
Hindu,0.0347222222222222,0.0535714285714285,0.0151515151515151,0.0,-0.0757575757575757,0.05,0.0378787878787878,0.0426829268292682,0.0138888888888888,-0.1111111111111111,0.04347644564107974,0.2291666666666666,0.4821428571428571,0.1818181818181818,0.2051282051282051,0.4545454545454545,0.15,0.1439393939393939,0.2012195121951219,0.2083333333333333,0.1666666666666666,0.24229602714358806,0.05087544907666858,0.0
Jewish,0.0625,0.0535714285714285,0.0606060606060606,0.0384615384615384,-0.0378787878787878,0.0642857142857142,-0.0378787878787878,0.0182926829268292,-0.0277777777777777,-0.1666666666666666,0.056791944505359085,0.3263888888888889,0.2321428571428571,0.2727272727272727,0.2948717948717949,0.2803030303030303,0.3357142857142857,0.2803030303030303,0.25,0.3055555555555556,0.3055555555555556,0.2883562271062271,0.06497031762275662,0.0
Mormon,0.0763888888888889,0.125,-0.0075757575757575,-0.0064102564102564,-0.0681818181818181,-0.0142857142857142,-0.0303030303030303,0.024390243902439,-0.0277777777777777,-0.0416666666666666,0.042198015399234866,0.2291666666666666,0.2321428571428571,0.2803030303030303,0.1858974358974359,0.3106060606060606,0.2857142857142857,0.2727272727272727,0.1951219512195122,0.1944444444444444,0.1805555555555555,0.23666795602771207,0.05451818168281579,0.0
Muslim,0.0138888888888888,-0.0357142857142857,0.0,-0.0064102564102564,-0.0757575757575757,0.0,0.0075757575757575,0.0975609756097561,0.0138888888888888,-0.0833333333333333,0.03341299621787423,0.2777777777777778,0.2857142857142857,0.2575757575757575,0.1602564102564102,0.2878787878787879,0.2,0.25,0.2195121951219512,0.2083333333333333,0.1944444444444444,0.23414929921027477,0.04253568247470683,0.0
Protestant,0.0416666666666666,-0.0178571428571428,-0.0075757575757575,0.0512820512820512,-0.1212121212121212,0.0571428571428571,0.0075757575757575,0.0548780487804878,0.0972222222222222,0.0,0.045641262531506396,0.2638888888888889,0.2321428571428571,0.25,0.1153846153846153,0.3181818181818182,0.2,0.2348484848484848,0.2378048780487804,0.2916666666666667,0.1388888888888889,0.2282807098051,0.03921540519101489,0.0
Sikh,0.0,0.125,0.053030303030303,0.0256410256410256,-0.0757575757575757,0.0428571428571428,0.0,0.048780487804878,-0.0277777777777777,-0.0416666666666666,0.044051097953536934,0.25,0.2321428571428571,0.1742424242424242,0.1794871794871795,0.2878787878787879,0.2428571428571428,0.1666666666666666,0.1829268292682926,0.1944444444444444,0.0694444444444444,0.19800907764322395,0.0461319100953247,0.0
