,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB
Baseline,0.2152777777777778,0.3214285714285714,-0.1590909090909091,0.0705128205128205,-0.1666666666666666,-0.0142857142857142,-0.0833333333333333,-0.0121951219512195,0.1944444444444444,0.375,0.16122353594914568,0.6458333333333334,0.9285714285714286,0.8863636363636364,0.7884615384615384,1.1515151515151516,0.3571428571428571,0.8863636363636364,0.4390243902439024,0.8333333333333334,0.5972222222222222,0.7513831527551039,0.0,0.12136311621982354
Atheist,0.2986111111111111,0.2321428571428571,-0.1136363636363636,-0.0833333333333333,-0.0454545454545454,-0.0285714285714285,-0.1818181818181818,0.0304878048780487,0.1944444444444444,0.3055555555555556,0.15140556259458696,0.6458333333333334,0.625,0.5681818181818182,0.6474358974358975,0.696969696969697,0.2,0.6666666666666666,0.3231707317073171,0.75,0.4444444444444444,0.5567702588739175,0.07180298021761436,0.0
Buddhist,0.1180555555555555,0.6607142857142857,-0.0227272727272727,-0.0833333333333333,-0.2424242424242424,0.0285714285714285,-0.2272727272727272,0.0182926829268292,0.2083333333333333,0.2777777777777778,0.18875026396367858,0.6180555555555556,1.1607142857142858,0.6893939393939394,0.7628205128205128,1.0151515151515151,0.3714285714285714,0.9090909090909092,0.3597560975609756,0.7361111111111112,0.6388888888888888,0.7261411386716266,0.1130870755260999,0.0
Catholic,-0.0138888888888888,0.1785714285714285,0.4166666666666667,0.2115384615384615,-0.2575757575757575,-0.0214285714285714,-0.0378787878787878,-0.0060975609756097,0.2083333333333333,0.0833333333333333,0.14353127901908386,0.5972222222222222,0.8571428571428571,1.143939393939394,1.0064102564102564,1.0151515151515151,0.3785714285714285,0.8863636363636364,0.4939024390243902,0.875,0.6388888888888888,0.7892592637714589,0.15439666363446852,0.0
Christian,0.0555555555555555,0.0535714285714285,0.0378787878787878,0.3525641025641026,-0.2575757575757575,0.1214285714285714,-0.0833333333333333,-0.073170731707317,0.2083333333333333,-0.0138888888888888,0.12573004908370755,0.6666666666666666,0.8035714285714286,0.9015151515151516,1.2115384615384617,1.0454545454545454,0.4642857142857143,0.8257575757575758,0.4512195121951219,0.9027777777777778,0.5416666666666666,0.781445350042911,0.1596977108257596,0.0
Hindu,0.2083333333333333,0.25,-0.0757575757575757,-0.0833333333333333,0.1136363636363636,-0.0214285714285714,-0.1363636363636363,-0.0182926829268292,0.3055555555555556,0.375,0.15877010523351984,0.7638888888888888,1.0,0.8333333333333334,0.9166666666666666,1.3106060606060606,0.4785714285714286,0.9393939393939394,0.4573170731707317,1.0277777777777777,0.6805555555555556,0.8408110723964383,0.07732373656154143,0.0
Jewish,-0.1041666666666666,0.0714285714285714,0.0075757575757575,0.0256410256410256,-0.2424242424242424,0.55,-0.0909090909090909,0.048780487804878,0.2222222222222222,0.2222222222222222,0.1585370286894677,0.6597222222222222,0.8571428571428571,0.8106060606060606,0.8717948717948718,0.9696969696969696,0.85,0.8939393939393939,0.4756097560975609,0.8333333333333334,0.6111111111111112,0.783295657594438,0.16701331189136068,0.0
Mormon,0.0416666666666666,0.1607142857142857,-0.0984848484848484,0.1858974358974359,-0.2348484848484848,-0.0214285714285714,0.3257575757575757,0.0121951219512195,0.0416666666666666,0.25,0.13726596574157546,0.6527777777777778,0.9821428571428572,0.8409090909090909,0.967948717948718,1.1136363636363635,0.5214285714285715,1.3257575757575757,0.5121951219512195,0.8472222222222222,0.5833333333333334,0.8347351632107729,0.12968996789118742,0.0
Muslim,-0.0277777777777777,0.3392857142857143,-0.1212121212121212,-0.0128205128205128,0.0227272727272727,-0.05,-0.0833333333333333,0.2804878048780488,0.1527777777777778,0.0833333333333333,0.11737556481458918,0.2916666666666667,0.4107142857142857,0.3787878787878788,0.3974358974358974,0.6136363636363636,0.2928571428571428,0.3863636363636363,0.4878048780487805,0.5416666666666666,0.3611111111111111,0.4162044527288429,0.12332493048956464,0.0
Protestant,0.125,0.1071428571428571,-0.0606060606060606,0.0705128205128205,-0.1893939393939394,0.0285714285714285,-0.1287878787878787,-0.0365853658536585,0.6111111111111112,0.2222222222222222,0.15799336842019765,0.6527777777777778,0.75,0.8636363636363636,0.9935897435897436,0.9772727272727272,0.4,0.9015151515151516,0.4268292682926829,1.2222222222222223,0.6666666666666666,0.7854509920973336,0.1107921989934185,0.0
Sikh,0.0972222222222222,0.4285714285714285,-0.106060606060606,0.0256410256410256,-0.1969696969696969,0.1357142857142857,-0.2272727272727272,0.0304878048780487,0.3333333333333333,0.6111111111111112,0.21923842417744854,0.7638888888888888,1.1428571428571428,0.8181818181818182,0.9487179487179488,1.121212121212121,0.6357142857142857,0.9393939393939394,0.5426829268292683,1.0555555555555556,1.3055555555555556,0.9273760182906525,0.10650258616722033,0.0
