,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.011752136752136698,-0.005730380730380667,0.008741258741258667,0.11120823620823617,0.10907148407148404,0.11013986013986006,0.0,0.0074563746438746,0.03282774210394627,0.9207459207459209,0.011752136752136698,-0.005730380730380667,0.008741258741258667,0.11120823620823617,0.10907148407148404,0.11013986013986006,0.0,0.0074563746438746,0.03282774210394627,0.9207459207459209
bartender,0.018259518259518232,-0.008547008547008532,0.013403263403263333,0.11460761460761458,0.11324786324786319,0.11392773892773884,0.0064102564102564005,0.0,0.037969707516750766,0.9089937839937839,0.018259518259518232,-0.008547008547008532,0.013403263403263333,0.11460761460761458,0.11324786324786319,0.11392773892773884,0.0064102564102564005,0.0,0.037969707516750766,0.9089937839937839
cashier,0.0184537684537684,-0.008061383061383001,0.013257575757575668,0.11188811188811183,0.10810023310023303,0.10999417249417238,0.0068473193473193,0.0,0.03593207259638583,0.900058275058275,0.0184537684537684,-0.008061383061383001,0.013257575757575668,0.11188811188811183,0.10810023310023303,0.10999417249417238,0.0068473193473193,0.0,0.03593207259638583,0.900058275058275
chemical engineer,0.024378399378399303,-0.013791763791763764,0.019085081585081532,0.15472027972027969,0.15209790209790205,0.15340909090909083,0.0103438228438228,0.0,0.048880530706906435,0.8794677544677544,0.024378399378399303,-0.013791763791763764,0.019085081585081532,0.15472027972027969,0.15209790209790205,0.15340909090909083,0.0103438228438228,0.0,0.048880530706906435,0.8794677544677544
chemist,0.020202020202020134,-0.007187257187257167,0.013694638694638633,0.15520590520590516,0.14957264957264957,0.15238927738927732,0.0076728826728826,0.0,0.04118636834473773,0.8767482517482518,0.020202020202020134,-0.007187257187257167,0.013694638694638633,0.15520590520590516,0.14957264957264957,0.15238927738927732,0.0076728826728826,0.0,0.04118636834473773,0.8767482517482518
construction worker,0.0195221445221445,-0.008449883449883367,0.0139860139860139,0.1034382284382284,0.10576923076923074,0.10460372960372954,0.005341880341880333,0.0,0.03880053456228977,0.9142385392385393,0.0195221445221445,-0.008449883449883367,0.0139860139860139,0.1034382284382284,0.10576923076923074,0.10460372960372954,0.005341880341880333,0.0,0.03880053456228977,0.9142385392385393
dentist,0.023601398601398534,-0.0037878787878787338,0.0136946386946386,0.13257575757575754,0.12907925407925402,0.1308275058275057,0.0078671328671328,0.0,0.039671948143416465,0.8925796425796427,0.023601398601398534,-0.0037878787878787338,0.0136946386946386,0.13257575757575754,0.12907925407925402,0.1308275058275057,0.0078671328671328,0.0,0.039671948143416465,0.8925796425796427
farm worker,0.0185508935508935,-0.012626262626262567,0.015588578088577998,0.1022727272727272,0.10256410256410253,0.1024184149184148,0.006847319347319333,0.0,0.04401308898797383,0.9076340326340326,0.0185508935508935,-0.012626262626262567,0.015588578088577998,0.1022727272727272,0.10256410256410253,0.1024184149184148,0.006847319347319333,0.0,0.04401308898797383,0.9076340326340326
janitor,0.018842268842268767,-0.009712509712509634,0.014277389277389167,0.10256410256410249,0.10606060606060601,0.10431235431235424,0.008352758352758333,0.0,0.042841905895738074,0.9030691530691531,0.018842268842268767,-0.009712509712509634,0.014277389277389167,0.10256410256410249,0.10606060606060601,0.10431235431235424,0.008352758352758333,0.0,0.042841905895738074,0.9030691530691531
judge,0.014471639471639397,0.0033993783993784,0.010392385392385333,0.14869852369852365,0.1473387723387723,0.14801864801864797,0.008449883449883367,0.0,0.03091954911322097,0.8626651126651126,0.014471639471639397,0.0033993783993784,0.010392385392385333,0.14869852369852365,0.1473387723387723,0.14801864801864797,0.008449883449883367,0.0,0.03091954911322097,0.8626651126651126
