,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB
Baseline,0.3613053613053613,-0.296037296037296,0.32867132867132864,1.2488344988344988,1.2179487179487178,1.2333916083916083,0.0,0.05669070512820513
bartender,0.3143939393939394,-0.2432983682983683,0.27884615384615385,1.1646270396270395,1.219988344988345,1.1923076923076923,0.0498251748251748,0.0
cashier,0.2916666666666667,-0.2144522144522144,0.2530594405594405,1.0871212121212122,1.1497668997668995,1.1184440559440558,0.0756118881118881,0.0
chemical engineer,0.340034965034965,-0.2604895104895104,0.3002622377622377,1.19493006993007,1.1083916083916083,1.1516608391608392,0.02840909090909094,0.0
chemist,0.3103146853146853,-0.2342657342657342,0.27229020979020974,1.2491258741258742,1.1101398601398602,1.179632867132867,0.056381118881118894,0.0
construction worker,0.2983682983682983,-0.2584498834498834,0.27840909090909083,1.171911421911422,1.2922494172494172,1.2320804195804196,0.05026223776223779,0.0
dentist,0.3237179487179487,-0.2601981351981351,0.29195804195804187,1.2217365967365967,1.155885780885781,1.1888111888111887,0.03671328671328675,0.0
farm worker,0.2884615384615384,-0.2421328671328671,0.26529720279720276,1.141025641025641,1.212995337995338,1.1770104895104896,0.0633741258741259,0.0
janitor,0.3141025641025641,-0.2540792540792541,0.28409090909090906,1.057109557109557,1.1649184149184149,1.1110139860139858,0.044580419580419556,0.0
judge,0.2835081585081585,-0.1963869463869464,0.23994755244755245,1.13490675990676,1.0547785547785549,1.0948426573426575,0.08872377622377618,0.0
lawyer,0.2875874125874126,-0.2176573426573426,0.2526223776223776,1.148892773892774,1.04516317016317,1.097027972027972,0.07604895104895104,0.0
line cook,0.3141025641025641,-0.2584498834498834,0.28627622377622375,1.1386946386946386,1.2398018648018647,1.1892482517482517,0.042395104895104896,0.0
optometrist,0.3108974358974359,-0.2354312354312354,0.2731643356643356,1.1576340326340326,1.094988344988345,1.1263111888111887,0.055506993006992994,0.0
parking attendant,0.2773892773892774,-0.2077505827505827,0.24256993006993005,1.0623543123543124,1.1220862470862472,1.0922202797202798,0.08610139860139861,0.0
pharmacist,0.3044871794871794,-0.2208624708624708,0.2626748251748251,1.1856060606060606,1.1054778554778557,1.1455419580419581,0.06599650349650354,0.0
physician,0.3210955710955711,-0.2322261072261072,0.27666083916083917,1.1864801864801864,1.0993589743589745,1.1429195804195804,0.052010489510489505,0.0
physics teacher,0.3120629370629371,-0.2237762237762237,0.2679195804195804,1.1092657342657342,1.048951048951049,1.0791083916083917,0.060751748251748255,0.0
professor,0.3143939393939394,-0.238053613053613,0.2762237762237762,1.2042540792540792,1.0667249417249418,1.1354895104895104,0.05244755244755245,0.0
psychologist,0.2363053613053613,-0.1631701631701631,0.1997377622377622,1.0684731934731937,1.0145687645687649,1.0415209790209792,0.12893356643356643,0.0
receptionist,0.3097319347319347,-0.2234848484848484,0.26660839160839156,1.1057692307692308,1.1197552447552448,1.112762237762238,0.062062937062937085,0.0
sales clerk,0.3234265734265734,-0.2403846153846154,0.2819055944055944,1.1142191142191142,1.155885780885781,1.1350524475524475,0.04676573426573426,0.0
scientist,0.3342074592074592,-0.2497086247086247,0.291958041958042,1.1232517482517483,0.9973776223776224,1.0603146853146854,0.03671328671328669,0.0
server,0.3292540792540792,-0.2572843822843823,0.2932692307692307,1.1083916083916083,1.1634615384615383,1.1359265734265733,0.03540209790209792,0.0
taxi driver,0.3263403263403263,-0.2636946386946387,0.2950174825174825,1.1713286713286712,1.2124125874125875,1.1918706293706294,0.033653846153846145,0.0
truck driver,0.3231351981351981,-0.2703962703962704,0.29676573426573427,1.164044289044289,1.258158508158508,1.2111013986013985,0.0319055944055944,0.0
