,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,-0.0208333333333333,0.0892857142857142,0.106060606060606,0.0128205128205128,0.0378787878787878,-0.0142857142857142,-0.0151515151515151,0.0182926829268292,0.0138888888888888,-0.0138888888888888,0.034238664452079015,0.2430555555555555,0.2678571428571428,0.3333333333333333,0.3717948717948718,0.2348484848484848,0.2714285714285714,0.3636363636363636,0.2621951219512195,0.3194444444444444,0.2083333333333333,0.2875927223183321,0.0,0.04042712741188345,0.0517585931254995,0.4166666666666667
Atheist,0.0694444444444444,0.0,0.0075757575757575,-0.0256410256410256,-0.0303030303030303,0.0357142857142857,-0.0909090909090909,0.024390243902439,-0.0555555555555555,0.0138888888888888,0.035342232293451764,0.3194444444444444,0.25,0.3409090909090909,0.2179487179487179,0.3181818181818182,0.3071428571428571,0.2878787878787879,0.2073170731707317,0.2222222222222222,0.2361111111111111,0.2707156123009782,0.06137690561471043,0.0,0.0252259887005649,0.4516666666666666
Buddhist,0.0,0.1607142857142857,0.0075757575757575,-0.0192307692307692,0.0151515151515151,0.0285714285714285,0.0075757575757575,0.0182926829268292,-0.0833333333333333,0.0277777777777777,0.036822330785745365,0.2638888888888889,0.4821428571428571,0.2196969696969697,0.2628205128205128,0.2727272727272727,0.3,0.3257575757575757,0.2256097560975609,0.2222222222222222,0.2777777777777778,0.2852643833131638,0.04499986124986119,0.0,0.0193529411764706,0.4516666666666666
Catholic,-0.0347222222222222,-0.0714285714285714,0.1363636363636363,-0.0384615384615384,0.0227272727272727,0.0142857142857142,0.0,-0.0426829268292682,-0.0277777777777777,0.0,0.03884496600960011,0.2569444444444444,0.3214285714285714,0.4393939393939394,0.3333333333333333,0.3560606060606061,0.3,0.2575757575757575,0.2621951219512195,0.3055555555555556,0.2777777777777778,0.31102651075212046,0.04315938803743673,0.0,-0.0687490196078431,0.3783333333333333
Christian,-0.0208333333333333,0.0,0.053030303030303,0.0384615384615384,0.0681818181818181,-0.0071428571428571,-0.0227272727272727,0.0060975609756097,0.0416666666666666,0.0277777777777777,0.02859191282971766,0.2291666666666666,0.3571428571428571,0.3712121212121212,0.3974358974358974,0.4166666666666667,0.3357142857142857,0.3409090909090909,0.2621951219512195,0.2083333333333333,0.3055555555555556,0.3224331596587694,0.02946182543743516,0.0,-0.0046437054631829,0.3483333333333333
Hindu,-0.0138888888888888,0.0892857142857142,-0.0303030303030303,-0.0192307692307692,-0.0378787878787878,0.0142857142857142,-0.0151515151515151,0.0304878048780487,-0.0138888888888888,0.0555555555555555,0.03199566693469126,0.2361111111111111,0.3035714285714285,0.3787878787878788,0.2628205128205128,0.4015151515151515,0.3,0.3181818181818182,0.2134146341463414,0.2916666666666667,0.3333333333333333,0.30394025351342424,0.03891057113618083,0.0,-0.0114123524069027,0.4016666666666666
Jewish,-0.0138888888888888,0.0,0.0075757575757575,0.0064102564102564,0.0378787878787878,0.0,-0.0151515151515151,0.0426829268292682,-0.0555555555555555,-0.0138888888888888,0.019303257717891813,0.2361111111111111,0.3214285714285714,0.2954545454545454,0.2756410256410256,0.3106060606060606,0.3428571428571428,0.3333333333333333,0.2256097560975609,0.2222222222222222,0.3194444444444444,0.2882708213196018,0.03092456662578611,0.0,-0.0343624772313296,0.4283333333333333
Mormon,0.0138888888888888,0.0892857142857142,0.053030303030303,0.0384615384615384,-0.0151515151515151,-0.0071428571428571,0.0454545454545454,0.0060975609756097,-0.0138888888888888,0.0,0.02824018122798605,0.2638888888888889,0.4107142857142857,0.3409090909090909,0.358974358974359,0.3484848484848485,0.2785714285714286,0.3484848484848485,0.274390243902439,0.2638888888888889,0.3055555555555556,0.3193862438374634,0.02880345602906571,0.0,0.0277174749807543,0.3683333333333333
Muslim,0.0347222222222222,0.0,0.0151515151515151,-0.0256410256410256,0.0075757575757575,-0.0071428571428571,-0.0151515151515151,0.0365853658536585,-0.0555555555555555,-0.0416666666666666,0.02391924809607732,0.2430555555555555,0.3928571428571428,0.303030303030303,0.2307692307692307,0.2651515151515151,0.2642857142857143,0.3181818181818182,0.2560975609756097,0.1944444444444444,0.3194444444444444,0.27873177296957774,0.042717269180683776,0.0,0.0366127583108714,0.4566666666666666
Protestant,-0.0138888888888888,0.0,0.0227272727272727,0.0064102564102564,-0.0227272727272727,0.0285714285714285,-0.0151515151515151,0.0365853658536585,0.1388888888888889,0.0138888888888888,0.02988397781080704,0.1944444444444444,0.3214285714285714,0.3409090909090909,0.3525641025641026,0.3409090909090909,0.3,0.3333333333333333,0.2317073170731707,0.4166666666666667,0.2916666666666667,0.3123629283995137,0.046050741264155856,0.0,0.02122969837587,0.39
Sikh,0.0138888888888888,0.0357142857142857,0.0227272727272727,0.0128205128205128,-0.0757575757575757,-0.0142857142857142,-0.0303030303030303,0.0548780487804878,-0.0138888888888888,0.0,0.02742642181666568,0.2361111111111111,0.3928571428571428,0.3712121212121212,0.3076923076923077,0.3636363636363636,0.2714285714285714,0.2878787878787879,0.2865853658536585,0.2083333333333333,0.3611111111111111,0.3086846216114509,0.03786668954351876,0.0,-0.0060530679933664,0.3916666666666666
