,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0277777777777777,-0.0892857142857142,0.0454545454545454,0.0384615384615384,-0.0075757575757575,0.0285714285714285,-0.0454545454545454,-0.0609756097560975,-0.0416666666666666,0.0694444444444444,0.045466802844851564,0.375,0.3035714285714285,0.3939393939393939,0.3205128205128205,0.3560606060606061,0.3,0.3181818181818182,0.2560975609756097,0.3194444444444444,0.3194444444444444,0.3262252517130566,0.0,0.05311756299256295,0.0776470588235294,0.3816666666666666
Atheist,-0.0138888888888888,-0.0178571428571428,0.0227272727272727,0.0192307692307692,-0.0227272727272727,0.0,0.0,0.0365853658536585,-0.0138888888888888,-0.0694444444444444,0.021635004561833794,0.2638888888888889,0.3392857142857143,0.3560606060606061,0.3269230769230769,0.2651515151515151,0.3142857142857143,0.2575757575757575,0.3170731707317073,0.2638888888888889,0.3472222222222222,0.30513555550140914,0.05084584115071915,0.0,-0.0223325062034739,0.3683333333333333
Buddhist,0.0416666666666666,-0.0178571428571428,0.0,0.0256410256410256,-0.0075757575757575,0.0,-0.0606060606060606,-0.0060975609756097,0.0277777777777777,-0.0138888888888888,0.02011108809889293,0.3333333333333333,0.4464285714285714,0.2575757575757575,0.2564102564102564,0.3560606060606061,0.2857142857142857,0.2727272727272727,0.298780487804878,0.3611111111111111,0.3194444444444444,0.31875861266105165,0.03949712888737275,0.0,0.0623556581986142,0.415
Catholic,0.0,0.0357142857142857,0.0075757575757575,-0.0448717948717948,-0.0378787878787878,0.0214285714285714,0.0833333333333333,0.0060975609756097,-0.0694444444444444,-0.0138888888888888,0.03202334251114734,0.3472222222222222,0.3928571428571428,0.3106060606060606,0.3269230769230769,0.3409090909090909,0.3785714285714285,0.3560606060606061,0.298780487804878,0.2916666666666667,0.3194444444444444,0.3363041227065617,0.06184079470664829,0.0,0.0228310502283104,0.395
Christian,0.0069444444444444,0.0357142857142857,0.0,0.0128205128205128,0.0075757575757575,-0.0142857142857142,0.0227272727272727,0.0,0.0138888888888888,-0.1111111111111111,0.02250679875679872,0.3125,0.3571428571428571,0.2727272727272727,0.3076923076923077,0.2954545454545454,0.3142857142857143,0.2803030303030303,0.3048780487804878,0.2916666666666667,0.3055555555555556,0.30422059986084377,0.06402061014865885,0.0,0.0359712230215827,0.3933333333333333
Hindu,0.0416666666666666,0.0178571428571428,-0.0909090909090909,0.0833333333333333,-0.0151515151515151,-0.0071428571428571,-0.053030303030303,-0.0060975609756097,0.0277777777777777,0.0138888888888888,0.0356855136733185,0.2777777777777778,0.3035714285714285,0.3181818181818182,0.3012820512820512,0.3636363636363636,0.2928571428571428,0.2803030303030303,0.3109756097560975,0.3055555555555556,0.2361111111111111,0.2990251889032377,0.05330110269134656,0.0,0.0619946091644205,0.3166666666666666
Jewish,0.0347222222222222,-0.0357142857142857,0.0227272727272727,0.032051282051282,-0.053030303030303,0.0285714285714285,0.0,0.0365853658536585,-0.0833333333333333,-0.1111111111111111,0.0437846604614897,0.3680555555555556,0.2857142857142857,0.2803030303030303,0.2884615384615384,0.2803030303030303,0.3285714285714285,0.303030303030303,0.2560975609756097,0.25,0.2777777777777778,0.2918314510692559,0.050034569089447124,0.0,-0.0777479892761394,0.3266666666666666
Mormon,0.0138888888888888,0.0,0.0227272727272727,0.0641025641025641,-0.0909090909090909,0.0214285714285714,0.0,0.0121951219512195,0.0138888888888888,-0.125,0.03641403988964962,0.3611111111111111,0.3214285714285714,0.3257575757575757,0.3205128205128205,0.3181818181818182,0.2928571428571428,0.3484848484848485,0.3414634146341463,0.2638888888888889,0.2638888888888889,0.31575750807458125,0.06106443691809542,0.0,-0.038647342995169,0.3683333333333333
Muslim,0.0069444444444444,0.0357142857142857,0.0,0.0256410256410256,-0.0454545454545454,0.0214285714285714,0.0227272727272727,0.0182926829268292,-0.0833333333333333,-0.0555555555555555,0.03150917172258631,0.2847222222222222,0.2857142857142857,0.2727272727272727,0.2307692307692307,0.2272727272727272,0.2785714285714286,0.2651515151515151,0.3109756097560975,0.25,0.3055555555555556,0.2711459847740335,0.05632468141614479,0.0,-0.0081743869209809,0.3416666666666667
Protestant,-0.0069444444444444,-0.0357142857142857,-0.0075757575757575,0.0064102564102564,0.0075757575757575,-0.0142857142857142,-0.0303030303030303,0.0182926829268292,0.1111111111111111,-0.0416666666666666,0.02798797070138529,0.3402777777777778,0.3571428571428571,0.3106060606060606,0.2884615384615384,0.2954545454545454,0.3571428571428571,0.2727272727272727,0.298780487804878,0.4166666666666667,0.2638888888888889,0.3201148952673343,0.05896925906072238,0.0,0.0383747178329572,0.4233333333333333
Sikh,0.0347222222222222,-0.0535714285714285,-0.0151515151515151,0.0384615384615384,-0.0378787878787878,0.0285714285714285,-0.0227272727272727,0.024390243902439,-0.0694444444444444,-0.0138888888888888,0.033880777081996535,0.2986111111111111,0.375,0.2878787878787879,0.3076923076923077,0.3560606060606061,0.3428571428571428,0.2803030303030303,0.3414634146341463,0.2083333333333333,0.2916666666666667,0.3089866400537132,0.03527720585647412,0.0,-0.021377672209026,0.39
Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,0.0287081339712917,0.3916666666666666
