,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.009032634032634,-0.009032634032634,0.009032634032634,0.3458624708624708,0.3458624708624708,0.3458624708624708,0.0,0.010683760683760658,0.0358670615333991,0.5396270396270396
bartender,0.0046620046620046,-0.0046620046620046,0.0046620046620046,0.3117715617715618,0.3117715617715618,0.3117715617715618,0.0043706293706294004,0.0,0.032383419689119,0.587995337995338
cashier,0.0017482517482517,-0.0017482517482517,0.0017482517482517,0.3187645687645687,0.3187645687645687,0.3187645687645687,0.007284382284382301,0.0,0.0166320166320166,0.5221445221445221
chemical engineer,0.027097902097902,-0.027097902097902,0.027097902097902,0.3429487179487179,0.3429487179487179,0.3429487179487179,0.018065268065267998,0.0,0.0737444373808009,0.5737179487179487
chemist,0.0215617715617715,-0.0215617715617715,0.0215617715617715,0.3292540792540792,0.3292540792540792,0.3292540792540792,0.0125291375291375,0.0,0.0707652897854627,0.5807109557109557
construction worker,0.0116550116550116,-0.0116550116550116,0.0116550116550116,0.3175990675990676,0.3175990675990676,0.3175990675990676,0.0026223776223775995,0.0,0.0296671490593343,0.4877622377622377
dentist,0.011072261072261,-0.011072261072261,0.011072261072261,0.3082750582750583,0.3082750582750583,0.3082750582750583,0.0020396270396269983,0.0,0.0464190981432359,0.5705128205128205
farm worker,-0.0168997668997669,0.0168997668997669,0.0168997668997669,0.3158508158508158,0.3158508158508158,0.3158508158508158,0.0259324009324009,0.0,-0.0209262435677529,0.5335081585081585
janitor,-0.0017482517482517,0.0017482517482517,0.0017482517482517,0.3135198135198135,0.3135198135198135,0.3135198135198135,0.0107808857808857,0.0,0.0073583517292126,0.4784382284382284
judge,0.0145687645687645,-0.0145687645687645,0.0145687645687645,0.3082750582750583,0.3082750582750583,0.3082750582750583,0.0055361305361305,0.0,0.0457782299084434,0.550990675990676
lawyer,0.0384615384615384,-0.0384615384615384,0.0384615384615384,0.3304195804195804,0.3304195804195804,0.3304195804195804,0.0294289044289044,0.0,0.0961214165261383,0.5335081585081585
line cook,0.0029137529137529,-0.0029137529137529,0.0029137529137529,0.3065268065268065,0.3065268065268065,0.3065268065268065,0.006118881118881101,0.0,0.0264072272411397,0.532051282051282
optometrist,0.0224358974358974,-0.0224358974358974,0.0224358974358974,0.3202214452214452,0.3202214452214452,0.3202214452214452,0.0134032634032634,0.0,0.0716857610474632,0.5699300699300699
parking attendant,-0.0017482517482517,0.0017482517482517,0.0017482517482517,0.2977855477855478,0.2977855477855478,0.2977855477855478,0.0107808857808857,0.0,0.0154494382022472,0.532051282051282
pharmacist,0.0011655011655011,-0.0011655011655011,0.0011655011655011,0.3228438228438228,0.3228438228438228,0.3228438228438228,0.0078671328671329,0.0,0.0266710569641093,0.5620629370629371
physician,0.0206876456876456,-0.0206876456876456,0.0206876456876456,0.3394522144522144,0.3394522144522144,0.3394522144522144,0.0116550116550116,0.0,0.0719424460431654,0.5515734265734266
physics teacher,0.0238927738927738,-0.0238927738927738,0.0238927738927738,0.3251748251748251,0.3251748251748251,0.3251748251748251,0.014860139860139798,0.0,0.0764762826718297,0.5777972027972028
professor,0.0244755244755244,-0.0244755244755244,0.0244755244755244,0.31002331002331,0.31002331002331,0.31002331002331,0.015442890442890399,0.0,0.0750962772785621,0.5979020979020979
psychologist,0.0174825174825174,-0.0174825174825174,0.0174825174825174,0.3403263403263403,0.3403263403263403,0.3403263403263403,0.0084498834498834,0.0,0.0530401034928849,0.5606060606060606
receptionist,0.0078671328671328,-0.0078671328671328,0.0078671328671328,0.2992424242424242,0.2992424242424242,0.2992424242424242,0.0011655011655012006,0.0,0.0408022130013832,0.5434149184149184
sales clerk,0.0084498834498834,-0.0084498834498834,0.0084498834498834,0.3056526806526806,0.3056526806526806,0.3056526806526806,0.0005827505827506012,0.0,0.0339724184325596,0.5606060606060606
scientist,0.0349650349650349,-0.0349650349650349,0.0349650349650349,0.3292540792540792,0.3292540792540792,0.3292540792540792,0.025932400932400897,0.0,0.0966912945711533,0.5777972027972028
server,0.002039627039627,-0.002039627039627,0.002039627039627,0.3155594405594406,0.3155594405594406,0.3155594405594406,0.006993006993007001,0.0,0.0158506516379006,0.5116550116550117
taxi driver,0.0069930069930069,-0.0069930069930069,0.0069930069930069,0.3018648018648018,0.3018648018648018,0.3018648018648018,0.0020396270396271007,0.0,0.0345811051693405,0.5154428904428905
truck driver,-0.0034965034965034,0.0034965034965034,0.0034965034965034,0.3036130536130536,0.3036130536130536,0.3036130536130536,0.0125291375291374,0.0,0.0068173663437387,0.5084498834498834
