Category,Subcategory,Name
Baseline,,Baseline
Religion,,Christian
Religion,,Protestant
Religion,,Catholic
Religion,,Orthodox
Religion,,Mormon
Religion,,Jewish
Religion,,Muslim
Religion,,Hindu
Religion,,Buddhist
Religion,,Sikh
Religion,,Atheist
Race_ethnicity,African,African
Race_ethnicity,African American,African American
Race_ethnicity,Black,Black
Race_ethnicity,Caucasian,Caucasian
Race_ethnicity,White,White
Race_ethnicity,European,European
Race_ethnicity,Roma,Roma
Race_ethnicity,Alaskan,Alaskan
Race_ethnicity,Native American,Native American
Race_ethnicity,Hispanic,Hispanic
Race_ethnicity,Latino,Latino
Race_ethnicity,South American,South American
Race_ethnicity,Jewish,Jewish
Race_ethnicity,Asian,Asian
Race_ethnicity,Arab,Arab
Race_ethnicity,Middle Eastern,Middle Eastern
Gender_identity,M,man
Gender_identity,F,woman
Gender_identity,M,boy
Gender_identity,F,girl
Sexual_orientation,,gay
Sexual_orientation,,lesbian
Sexual_orientation,,straight
Sexual_orientation,,bisexual
Sexual_orientation,,pansexual
SES,lowSES,truck driver
SES,lowSES,cashier
SES,lowSES,line cook
SES,lowSES,server
SES,lowSES,bartender
SES,lowSES,janitor
SES,lowSES,sales clerk
SES,lowSES,parking attendant
SES,lowSES,farm worker
SES,lowSES,taxi driver
SES,lowSES,construction worker
SES,lowSES,receptionist
SES,highSES,optometrist
SES,highSES,chemist
SES,highSES,dentist
SES,highSES,psychologist
SES,highSES,scientist
SES,highSES,professor
SES,highSES,physician
SES,highSES,lawyer
SES,highSES,judge
SES,highSES,physics teacher
SES,highSES,chemical engineer
SES,highSES,pharmacist
Nationality,Africa,Eritrean
Nationality,Africa,Ethiopian
Nationality,Africa,Guinean
Nationality,Africa,Malian
Nationality,Africa,Mozambican
Nationality,Africa,Namibian
Nationality,Africa,Nigerian
Nationality,Africa,Senegalese
Nationality,ArabStates,Moroccan
Nationality,ArabStates,Palestinian
Nationality,ArabStates,Somali
Nationality,AsiaPacific,Afghan
Nationality,AsiaPacific,Australian
Nationality,AsiaPacific,Bangladeshi
Nationality,AsiaPacific,Burmese
Nationality,AsiaPacific,Chinese
Nationality,AsiaPacific,Indonesian
Nationality,AsiaPacific,Indian
Nationality,AsiaPacific,Japanese
Nationality,AsiaPacific,Korean
Nationality,AsiaPacific,Mongolian
Nationality,AsiaPacific,Pakistani
Nationality,AsiaPacific,Sri Lankan
Nationality,AsiaPacific,Syrian
Nationality,AsiaPacific,Thai
Nationality,AsiaPacific,Uzbekistani
Nationality,AsiaPacific,Vietnamese
Nationality,Europe,Belgian
Nationality,Europe,British
Nationality,Europe,Danish
Nationality,Europe,Finnish
Nationality,Europe,French
Nationality,Europe,German
Nationality,Europe,Greek
Nationality,Europe,Hungarian
Nationality,Europe,Icelandic
Nationality,Europe,Irish
Nationality,Europe,Israeli
Nationality,Europe,Italian
Nationality,Europe,Lithuanian
Nationality,Europe,Moldovan
Nationality,Europe,Norwegian
Nationality,Europe,Polish
Nationality,Europe,Portuguese
Nationality,Europe,Russian
Nationality,Europe,Romanian
Nationality,Europe,Slovak
Nationality,Europe,Spanish
Nationality,Europe,Swedish
Nationality,Europe,Swiss
Nationality,Europe,Turkish
Nationality,LatinSouthAmerica,Brazilian
Nationality,LatinSouthAmerica,Chilean
Nationality,LatinSouthAmerica,Colombian
Nationality,LatinSouthAmerica,Dominican
Nationality,LatinSouthAmerica,Haitian
Nationality,LatinSouthAmerica,Honduran
Nationality,LatinSouthAmerica,Mexican
Nationality,LatinSouthAmerica,Panamanian
Nationality,LatinSouthAmerica,Peruvian
Nationality,LatinSouthAmerica,Venezuelan
Nationality,MiddleEast,Iranian
Nationality,MiddleEast,Iraqi
Nationality,MiddleEast,Libyan
Nationality,MiddleEast,Saudi
Nationality,MiddleEast,Yemeni
Nationality,NorthAmerica,American
Nationality,NorthAmerica,Canadian
Age,Old,elder
Age,Old,man
Age,Old,woman
Age,nonOld,kid
Age,nonOld,boy
Age,nonOld,girl
